"Senegal, Retail, Fatick, Millet",,
Date-Monthly,Ipa series,Real Price
Dec-20,-0.14,
Nov-20,-0.16,207.57
Oct-20,-0.09,229.86
Sep-20,0.21,235.52
Aug-20,-1.89,194.85
Jul-20,0.54,238.50
Jun-20,0.81,253.46
May-20,1.40,270.94
Apr-20,0.27,239.68
Mar-20,0.35,244.93
Feb-20,1.71,236.99
Jan-20,1.15,238.02
Dec-19,2.25,242.88
Nov-19,1.00,228.48
Oct-19,0.79,232.21
Sep-19,-0.52,201.60
Aug-19,-0.72,202.43
Jul-19,-1.20,206.30
Jun-19,-1.25,206.84
May-19,-0.01,216.04
Apr-19,1.12,219.84
Mar-19,1.20,218.51
Feb-19,-0.62,190.33
Jan-19,-0.41,193.72
Dec-18,-0.20,197.72
Nov-18,0.74,211.98
Oct-18,-0.69,205.08
Sep-18,-0.99,214.72
Aug-18,-0.97,210.60
Jul-18,-0.11,215.40
Jun-18,0.28,211.15
May-18,1.25,225.07
Apr-18,-0.55,199.78
Mar-18,-0.48,186.65
Feb-18,0.03,188.31
Jan-18,-0.85,204.23
Dec-17,-1.11,198.47
Nov-17,-0.28,191.64
Oct-17,1.63,260.43
Sep-17,2.84,253.61
Aug-17,1.44,220.53
Jul-17,0.78,216.56
Jun-17,0.58,204.57
May-17,1.62,201.26
Apr-17,0.52,205.70
Mar-17,1.19,192.46
Feb-17,-0.42,180.85
Jan-17,0.57,191.91
Dec-16,1.08,188.83
Nov-16,1.82,194.83
Oct-16,1.52,198.66
Sep-16,0.43,185.53
Aug-16,-0.06,176.84
Jul-16,-1.78,186.43
Jun-16,-1.48,175.53
May-16,-1.27,168.00
Apr-16,1.42,193.51
Mar-16,-1.65,153.88
Feb-16,-2.23,174.94
Jan-16,-1.85,163.92
Dec-15,-1.38,165.39
Nov-15,-2.14,163.44
Oct-15,-3.18,158.50
Sep-15,-1.37,180.32
Aug-15,-2.05,185.66
Jul-15,-0.13,209.85
Jun-15,-0.01,218.13
May-15,-1.58,195.24
Apr-15,-3.35,189.98
Mar-15,-1.35,192.94
Feb-15,-1.48,211.20
Jan-15,-1.81,209.86
Dec-14,0.06,195.44
Nov-14,0.15,220.78
Oct-14,0.38,243.23
Sep-14,-0.15,
Aug-14,0.00,230.59
Jul-14,-1.13,
Jun-14,-1.39,217.79
May-14,-1.10,213.04
Apr-14,-0.25,221.66
Mar-14,1.08,219.26
Feb-14,0.06,216.35
Jan-14,-0.33,220.85
Dec-13,0.12,
Nov-13,0.69,
Oct-13,0.68,
Sep-13,-0.18,
Aug-13,-0.20,226.84
Jul-13,0.06,236.30
Jun-13,1.13,226.95
May-13,0.89,218.95
Apr-13,0.45,210.76
Mar-13,-1.22,186.67
Feb-13,0.45,198.12
Jan-13,1.21,208.29
Dec-12,2.27,211.58
Nov-12,-0.04,183.17
Oct-12,-0.17,181.79
Sep-12,0.63,219.74
Aug-12,1.47,220.13
Jul-12,2.31,223.43
Jun-12,1.23,212.00
May-12,0.27,191.49
Apr-12,0.12,185.48
Mar-12,0.35,185.37
Feb-12,0.02,183.46
Jan-12,0.55,182.01
Dec-11,2.46,166.43
Nov-11,4.26,173.47
Oct-11,1.09,172.96
Sep-11,1.89,191.11
Aug-11,0.69,183.12
Jul-11,0.21,189.20
Jun-11,-0.13,187.05
May-11,-0.44,176.96
Apr-11,1.20,177.55
Mar-11,2.34,178.61
Feb-11,2.57,175.68
Jan-11,0.71,168.22
Dec-10,0.16,154.37
Nov-10,-0.66,141.92
Oct-10,-0.15,148.34
Sep-10,-0.86,154.91
Aug-10,-2.17,171.16
Jul-10,-32.31,176.16
Jun-10,-1.04,173.72
May-10,-1.11,173.53
Apr-10,-2.96,162.60
Mar-10,-1.35,161.08
Feb-10,-2.78,161.88
Jan-10,-1.17,165.86
Dec-09,,165.07
Nov-09,,160.02
Oct-09,,165.72
Sep-09,,183.78
Aug-09,,208.35
Jul-09,,216.09
Jun-09,,199.75
May-09,,199.41
Apr-09,,193.26
Mar-09,,176.99
Feb-09,,173.90
Jan-09,,188.85
