"Senegal, Retail, Zguinchor, Millet",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.03,225.88
Oct-20,0.85,253.46
Sep-20,-0.07,252.15
Aug-20,0.56,254.53
Jul-20,0.16,226.84
Jun-20,1.01,242.59
May-20,0.89,248.36
Apr-20,-0.47,210.06
Mar-20,-0.07,208.65
Feb-20,0.81,214.29
Jan-20,1.03,216.30
Dec-19,1.17,221.13
Nov-19,0.52,205.99
Oct-19,-0.38,205.31
Sep-19,1.07,244.80
Aug-19,0.46,212.37
Jul-19,0.45,215.51
Jun-19,0.03,201.30
May-19,0.49,198.43
Apr-19,0.81,202.21
Mar-19,0.70,195.27
Feb-19,0.31,179.24
Jan-19,0.12,180.74
Dec-18,-1.67,179.33
Nov-18,-0.55,179.58
Oct-18,-0.67,211.52
Sep-18,0.50,214.72
Aug-18,0.24,195.88
Jul-18,-0.38,187.18
Jun-18,-0.48,187.16
May-18,-1.43,170.94
Apr-18,-1.12,167.89
Mar-18,-0.97,179.15
Feb-18,-0.78,167.08
Jan-18,-1.06,171.59
Dec-17,0.11,199.40
Nov-17,-0.05,199.08
Oct-17,1.00,260.43
Sep-17,0.90,215.80
Aug-17,1.42,221.45
Jul-17,1.17,220.31
Jun-17,0.87,205.52
May-17,1.19,217.48
Apr-17,0.90,201.91
Mar-17,1.34,197.16
Feb-17,0.81,181.79
Jan-17,0.95,188.17
Dec-16,0.29,186.06
Nov-16,0.55,187.37
Oct-16,0.51,207.90
Sep-16,-0.07,174.40
Aug-16,-1.16,162.73
Jul-16,-0.35,170.18
Jun-16,-1.95,157.21
May-16,-0.82,174.79
Apr-16,-1.24,154.81
Mar-16,-2.04,156.76
Feb-16,-1.14,146.26
Jan-16,-0.97,145.81
Dec-15,-0.59,187.13
Nov-15,-0.08,184.92
Oct-15,0.01,206.42
Sep-15,-0.06,211.32
Aug-15,-0.74,199.94
Jul-15,-0.64,197.39
Jun-15,0.56,213.28
May-15,1.56,213.70
Apr-15,1.70,202.64
Mar-15,-0.77,170.52
Feb-15,-0.67,161.79
Jan-15,-1.41,159.57
Dec-14,-0.09,
Nov-14,0.12,
Oct-14,0.00,213.18
Sep-14,0.40,214.83
Aug-14,0.83,215.34
Jul-14,0.76,212.44
Jun-14,0.35,211.93
May-14,-0.37,198.38
Apr-14,-0.86,183.91
Mar-14,-1.74,182.72
Feb-14,-1.05,183.80
Jan-14,-0.92,177.44
Dec-13,-0.11,
Nov-13,0.16,
Oct-13,-0.01,
Sep-13,-0.56,193.27
Aug-13,-1.59,186.36
Jul-13,-2.29,186.56
Jun-13,-0.78,207.64
May-13,-0.48,212.22
Apr-13,-0.12,213.63
Mar-13,1.19,216.34
Feb-13,0.68,217.17
Jan-13,0.64,214.95
Dec-12,1.28,201.23
Nov-12,0.06,198.12
Oct-12,0.25,214.42
Sep-12,1.07,222.57
Aug-12,1.65,216.32
Jul-12,3.96,214.72
Jun-12,1.97,209.08
May-12,0.83,191.49
Apr-12,0.91,181.64
Mar-12,0.26,172.95
Feb-12,-0.40,172.00
Jan-12,-0.19,166.68
Dec-11,2.01,160.72
Nov-11,7.40,191.58
Oct-11,4.25,191.01
Sep-11,1.73,165.31
Aug-11,1.19,175.41
Jul-11,-0.14,163.01
Jun-11,-0.22,165.62
May-11,0.09,163.28
Apr-11,0.22,153.03
Mar-11,0.64,164.87
Feb-11,1.83,151.28
Jan-11,0.56,140.99
Dec-10,2.39,146.56
Nov-10,-1.78,107.66
Oct-10,-182.22,115.16
Sep-10,-9.30,129.41
Aug-10,-4.90,164.24
Jul-10,-0.86,171.16
Jun-10,-9.16,163.56
May-10,-2.46,165.31
Apr-10,-2.17,157.49
Mar-10,-1.46,161.08
Feb-10,-0.44,154.80
Jan-10,-1.78,154.73
Dec-09,,159.97
Nov-09,,138.89
Oct-09,,156.73
Sep-09,,188.83
Aug-09,,205.31
Jul-09,,221.21
Jun-09,,211.07
May-09,,217.82
Apr-09,,207.42
Mar-09,,188.05
Feb-09,,183.95
Jan-09,,194.88
