"Senegal, Retail, Louga, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.77,392.46
Oct-20,1.18,393.30
Sep-20,1.02,393.99
Aug-20,0.41,376.53
Jul-20,0.00,358.65
Jun-20,0.31,369.32
May-20,0.29,374.79
Apr-20,-0.10,
Mar-20,0.07,362.87
Feb-20,0.02,363.20
Jan-20,-0.84,343.90
Dec-19,-0.57,348.91
Nov-19,-0.23,359.81
Oct-19,0.27,358.62
Sep-19,0.78,360.00
Aug-19,0.81,361.49
Jul-19,1.21,368.40
Jun-19,1.03,369.35
May-19,0.98,370.89
Apr-19,0.08,371.03
Mar-19,-0.15,371.93
Feb-19,0.05,369.57
Jan-19,0.29,363.33
Dec-18,1.46,367.86
Nov-18,1.37,370.26
Oct-18,0.53,344.86
Sep-18,-0.51,319.79
Aug-18,-0.72,321.87
Jul-18,-2.99,329.22
Jun-18,-1.68,335.92
May-18,-2.06,332.38
Apr-18,0.78,375.18
Mar-18,1.31,375.18
Feb-18,0.96,369.23
Jan-18,0.46,361.83
Dec-17,0.64,349.41
Nov-17,-0.01,348.85
Oct-17,-0.15,345.09
Sep-17,-0.04,345.83
Aug-17,1.01,361.71
Jul-17,-0.68,354.37
Jun-17,0.00,356.80
May-17,-0.14,357.70
Apr-17,0.06,355.47
Mar-17,0.65,352.06
Feb-17,0.32,351.40
Jan-17,-0.59,351.06
Dec-16,-0.22,337.87
Nov-16,0.47,344.91
Oct-16,0.93,369.61
Sep-16,0.04,347.87
Aug-16,-0.96,329.22
Jul-16,2.65,382.43
Jun-16,1.63,369.39
May-16,0.25,364.15
Apr-16,0.29,362.84
Mar-16,-0.41,350.07
Feb-16,0.56,358.49
Jan-16,1.06,357.39
Dec-15,0.65,354.42
Nov-15,0.24,
Oct-15,-0.63,317.93
Sep-15,-0.42,333.41
Aug-15,0.31,357.04
Jul-15,0.00,359.32
Jun-15,-0.93,349.01
May-15,-0.23,349.69
Apr-15,-0.04,359.49
Mar-15,0.14,365.41
Feb-15,0.10,341.99
Jan-15,0.07,362.66
Dec-14,0.05,355.78
Nov-14,0.06,355.33
Oct-14,-0.06,352.16
Sep-14,-1.40,354.89
Aug-14,-1.12,357.32
Jul-14,-1.45,363.76
Jun-14,-3.22,366.24
May-14,-1.04,366.46
Apr-14,-1.23,362.99
Mar-14,-1.02,378.89
Feb-14,-1.94,339.84
Jan-14,-0.79,377.53
Dec-13,-1.71,376.43
Nov-13,-1.92,370.52
Oct-13,-1.89,368.24
Sep-13,-0.55,443.50
Aug-13,-1.15,423.55
Jul-13,1.61,430.51
Jun-13,0.14,434.59
May-13,0.00,432.13
Apr-13,-1.09,419.60
Mar-13,-0.10,435.56
Feb-13,-0.99,428.62
Jan-13,-0.74,446.06
Dec-12,-1.02,427.85
Nov-12,-0.43,467.27
Oct-12,-0.30,466.14
Sep-12,0.22,471.54
Aug-12,1.01,476.47
Jul-12,-0.24,465.23
Jun-12,-0.35,413.30
May-12,-0.48,413.12
Apr-12,-0.59,
Mar-12,-0.37,
Feb-12,-0.36,
Jan-12,-0.47,
Dec-11,-0.36,
Nov-11,-0.42,
Oct-11,-0.38,
Sep-11,-0.37,
Aug-11,-0.22,
Jul-11,-0.30,
Jun-11,-0.44,
May-11,-0.66,
Apr-11,-0.84,
Mar-11,-4.73,417.08
Feb-11,-0.50,
Jan-11,-0.64,
Dec-10,-0.48,
Nov-10,-0.57,
Oct-10,-0.52,
Sep-10,-0.50,
Aug-10,-0.30,
Jul-10,-0.40,
Jun-10,-0.61,
May-10,-2.57,
Apr-10,-2.95,
Mar-10,-2.81,430.56
Feb-10,-1.63,
Jan-10,-1.40,
Dec-09,,
Nov-09,,
Oct-09,,
Sep-09,,
Aug-09,,
Jul-09,,
Jun-09,,
May-09,,378.38
Apr-09,,430.02
Mar-09,,364.04
Feb-09,,382.98
Jan-09,,401.82
