"Senegal, Retail, SaintLouis, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,1.21,436.07
Oct-20,1.13,437.00
Sep-20,0.92,437.76
Aug-20,0.06,438.84
Jul-20,1.41,448.31
Jun-20,3.02,452.60
May-20,2.06,451.56
Apr-20,-0.06,
Mar-20,-0.44,362.87
Feb-20,-0.09,363.20
Jan-20,-0.23,362.00
Dec-19,-0.05,362.51
Nov-19,-0.67,359.81
Oct-19,-0.05,358.62
Sep-19,-0.02,360.00
Aug-19,1.29,406.67
Jul-19,0.07,368.40
Jun-19,-0.19,369.35
May-19,-0.26,370.89
Apr-19,-0.14,371.03
Mar-19,-0.31,371.93
Feb-19,-0.07,369.57
Jan-19,-0.16,370.75
Dec-18,-0.05,367.86
Nov-18,0.11,370.26
Oct-18,0.10,367.86
Sep-18,-0.10,365.48
Aug-18,-0.20,367.86
Jul-18,0.39,376.25
Jun-18,0.29,383.91
May-18,-0.06,379.86
Apr-18,-0.12,375.18
Mar-18,-0.33,375.18
Feb-18,-0.16,369.23
Jan-18,-0.15,373.02
Dec-17,0.09,372.70
Nov-17,0.16,372.11
Oct-17,0.13,368.09
Sep-17,0.59,368.88
Aug-17,-0.87,369.09
Jul-17,0.45,375.00
Jun-17,0.14,380.59
May-17,-0.18,381.54
Apr-17,0.05,379.17
Mar-17,-0.18,375.53
Feb-17,0.54,374.82
Jan-17,-0.84,374.47
Dec-16,1.02,370.26
Nov-16,0.13,
Oct-16,0.24,
Sep-16,-1.11,324.68
Aug-16,1.75,423.28
Jul-16,-0.18,358.53
Jun-16,0.94,385.78
May-16,1.85,388.43
Apr-16,-2.00,374.45
Mar-16,-0.57,365.46
Feb-16,-1.24,310.69
Jan-16,1.45,428.86
Dec-15,-0.02,354.42
Nov-15,0.16,358.64
Oct-15,-0.80,331.75
Sep-15,-0.51,370.98
Aug-15,-1.14,360.85
Jul-15,-2.44,359.32
Jun-15,-1.22,363.55
May-15,-1.04,374.95
Apr-15,-0.72,389.69
Mar-15,-0.50,389.77
Feb-15,-0.32,387.52
Jan-15,-0.94,373.30
Dec-14,-2.11,355.78
Nov-14,-1.52,355.33
Oct-14,-0.64,391.60
Sep-14,-0.19,425.87
Aug-14,-0.25,428.78
Jul-14,0.18,436.51
Jun-14,0.25,439.49
May-14,0.03,439.76
Apr-14,-0.50,435.59
Mar-14,-0.65,432.75
Feb-14,-0.32,430.79
Jan-14,-0.32,424.72
Dec-13,-0.23,423.48
Nov-13,-0.31,416.83
Oct-13,-0.33,414.27
Sep-13,-0.32,420.16
Aug-13,-0.36,423.55
Jul-13,-0.26,430.51
Jun-13,-0.12,434.59
May-13,-0.47,432.13
Apr-13,-0.91,436.84
Mar-13,-0.87,445.13
Feb-13,-0.44,444.81
Jan-13,-0.06,432.75
Dec-12,0.18,423.15
Nov-12,0.35,420.54
Oct-12,0.40,421.39
Sep-12,0.39,425.33
Aug-12,0.52,428.83
Jul-12,0.63,433.31
Jun-12,0.29,437.61
May-12,-0.11,440.34
Apr-12,0.75,442.09
Mar-12,1.60,477.76
Feb-12,2.34,477.77
Jan-12,1.14,407.12
Dec-11,0.81,380.41
Nov-11,-0.56,343.12
Oct-11,-0.50,342.11
Sep-11,-0.50,344.00
Aug-11,-0.88,346.97
Jul-11,-0.86,349.30
Jun-11,-1.72,350.73
May-11,-0.80,351.97
Apr-11,-1.03,353.14
Mar-11,-0.23,392.55
Feb-11,-2.23,335.74
Jan-11,-1.94,330.60
Dec-10,-0.99,361.50
Nov-10,-0.48,391.51
Oct-10,-0.31,390.37
Sep-10,-0.45,392.17
Aug-10,-1.88,395.75
Jul-10,-0.96,400.37
Jun-10,-0.92,406.37
May-10,-0.95,410.72
Apr-10,-3.14,409.06
Mar-10,-2.36,405.23
Feb-10,-1.08,404.70
Jan-10,-0.90,402.50
Dec-09,,407.57
Nov-09,,402.57
Oct-09,,387.34
Sep-09,,403.91
Aug-09,,404.56
Jul-09,,401.46
Jun-09,,411.85
May-09,,409.05
Apr-09,,413.83
Mar-09,,427.39
Feb-09,,432.24
Jan-09,,381.73
