"Senegal, Retail, Louga, Millet",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.59,269.49
Oct-20,0.35,274.43
Sep-20,-0.23,266.16
Aug-20,0.40,269.45
Jul-20,1.28,256.43
Jun-20,1.22,258.89
May-20,0.77,248.36
Apr-20,-0.79,213.65
Mar-20,0.68,231.33
Feb-20,1.29,239.71
Jan-20,1.18,240.73
Dec-19,0.95,243.79
Nov-19,0.55,232.08
Oct-19,1.02,246.55
Sep-19,0.56,261.90
Aug-19,1.52,238.58
Jul-19,0.59,218.27
Jun-19,0.41,212.38
May-19,0.87,206.77
Apr-19,0.90,198.50
Mar-19,0.95,198.05
Feb-19,0.58,196.80
Jan-19,0.33,192.79
Dec-18,-1.35,193.12
Nov-18,0.10,199.02
Oct-18,-1.29,189.45
Sep-18,0.23,246.70
Aug-18,-1.31,183.93
Jul-18,-0.76,190.95
Jun-18,-0.19,194.83
May-18,-1.49,180.43
Apr-18,-1.83,175.40
Mar-18,-1.49,173.52
Feb-18,-1.45,181.84
Jan-18,-2.91,189.31
Dec-17,-0.16,226.42
Nov-17,0.04,224.20
Oct-17,1.97,291.71
Sep-17,2.49,285.88
Aug-17,1.71,245.44
Jul-17,2.02,247.50
Jun-17,2.02,232.16
May-17,1.77,219.39
Apr-17,1.34,213.28
Mar-17,1.46,207.48
Feb-17,1.03,204.28
Jan-17,1.17,205.96
Dec-16,-0.97,192.54
Nov-16,1.23,206.02
Oct-16,1.02,199.59
Sep-16,0.50,192.95
Aug-16,-0.42,188.12
Jul-16,-1.14,181.65
Jun-16,-0.64,183.25
May-16,-0.92,180.62
Apr-16,-0.67,179.00
Mar-16,-2.49,175.04
Feb-16,-1.67,173.99
Jan-16,-1.99,174.40
Dec-15,0.18,227.77
Nov-15,-2.13,182.12
Oct-15,-1.94,180.62
Sep-15,-2.47,185.96
Aug-15,-1.34,209.46
Jul-15,-1.06,221.34
Jun-15,-2.46,210.37
May-15,-1.51,210.79
Apr-15,-1.14,213.36
Mar-15,-1.93,215.35
Feb-15,-1.54,213.14
Jan-15,-0.55,222.43
Dec-14,0.79,259.95
Nov-14,0.63,253.94
Oct-14,-0.10,239.47
Sep-14,0.47,254.58
Aug-14,0.35,250.60
Jul-14,0.74,257.06
Jun-14,1.17,246.12
May-14,0.29,231.61
Apr-14,0.65,230.38
Mar-14,-0.18,224.07
Feb-14,-0.71,219.22
Jan-14,-0.53,220.85
Dec-13,-0.32,225.86
Nov-13,0.27,228.80
Oct-13,-0.43,223.71
Sep-13,-0.34,226.88
Aug-13,-0.61,230.60
Jul-13,-0.61,225.78
Jun-13,-0.43,225.99
May-13,-0.17,222.79
Apr-13,-0.37,220.34
Mar-13,-0.93,218.26
Feb-13,-0.60,219.07
Jan-13,-0.41,227.31
Dec-12,0.79,233.20
Nov-12,0.13,225.22
Oct-12,0.65,245.19
Sep-12,0.61,233.88
Aug-12,1.61,248.72
Jul-12,1.72,237.93
Jun-12,1.08,221.72
May-12,0.55,213.85
Apr-12,0.96,210.47
Mar-12,1.28,210.21
Feb-12,1.05,211.17
Jan-12,1.16,211.70
Dec-11,1.08,199.71
Nov-11,2.69,203.97
Oct-11,2.74,203.37
Sep-11,1.94,203.53
Aug-11,1.38,200.47
Jul-11,0.52,188.23
Jun-11,0.03,188.03
May-11,0.00,186.74
Apr-11,-1.11,174.61
Mar-11,-0.09,178.61
Feb-11,0.62,178.61
Jan-11,3.03,179.89
Dec-10,0.58,174.89
Nov-10,-0.49,156.60
Oct-10,-56.98,156.15
Sep-10,-2.13,169.61
Aug-10,-12.19,180.07
Jul-10,-1.82,185.17
Jun-10,-0.90,190.99
May-10,-1.48,189.96
Apr-10,-0.09,195.33
Mar-10,-0.47,184.38
Feb-10,-0.53,188.19
Jan-10,-0.23,192.15
Dec-09,,185.45
Nov-09,,189.21
Oct-09,,198.66
Sep-09,,211.04
Aug-09,,220.48
Jul-09,,221.21
Jun-09,,214.16
May-09,,213.73
Apr-09,,194.27
Mar-09,,194.09
Feb-09,,190.99
Jan-09,,194.88
