"Senegal, Retail, Diourbel, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,-0.21,389.85
Oct-20,-0.02,393.30
Sep-20,0.02,388.73
Aug-20,-0.46,381.79
Jul-20,-0.24,396.31
Jun-20,-0.47,397.38
May-20,-0.41,406.40
Apr-20,-0.12,
Mar-20,-0.20,400.97
Feb-20,-0.03,403.15
Jan-20,-0.03,401.82
Dec-19,0.76,402.38
Nov-19,0.65,399.39
Oct-19,0.55,398.07
Sep-19,0.65,399.60
Aug-19,0.05,395.83
Jul-19,1.19,414.45
Jun-19,0.69,415.52
May-19,1.18,433.01
Apr-19,0.80,398.86
Mar-19,1.06,395.18
Feb-19,1.23,388.98
Jan-19,1.30,390.21
Dec-18,-0.91,327.39
Nov-18,-0.34,339.72
Oct-18,0.00,337.51
Sep-18,0.20,338.07
Aug-18,-0.16,333.83
Jul-18,0.04,336.74
Jun-18,-0.35,352.24
May-18,-0.76,332.38
Apr-18,-0.75,328.28
Mar-18,-0.27,346.10
Feb-18,-0.08,346.15
Jan-18,-0.19,342.25
Dec-17,0.63,361.52
Nov-17,0.22,360.95
Oct-17,-0.15,352.45
Sep-17,-0.47,330.15
Aug-17,-0.23,361.71
Jul-17,0.09,375.00
Jun-17,0.29,380.59
May-17,0.70,381.54
Apr-17,0.30,379.17
Mar-17,0.16,346.43
Feb-17,-0.21,327.97
Jan-17,0.04,343.57
Dec-16,-0.82,326.76
Nov-16,-0.69,329.07
Oct-16,0.32,346.51
Sep-16,0.29,347.87
Aug-16,0.39,352.73
Jul-16,0.54,358.53
Jun-16,1.69,385.78
May-16,0.57,356.39
Apr-16,-0.06,
Mar-16,-0.21,336.61
Feb-16,-0.26,334.59
Jan-16,0.25,333.56
Dec-15,0.67,342.60
Nov-15,0.29,339.03
Oct-15,-0.86,311.47
Sep-15,-1.09,294.91
Aug-15,-1.38,309.44
Jul-15,-1.37,311.41
Jun-15,-2.32,315.08
May-15,-1.63,315.69
Apr-15,-1.76,316.63
Mar-15,-1.22,341.05
Feb-15,-1.63,339.08
Jan-15,-2.44,338.48
Dec-14,-0.29,
Nov-14,-0.20,
Oct-14,-0.34,401.94
Sep-14,-0.24,405.05
Aug-14,-0.31,428.78
Jul-14,-0.06,436.51
Jun-14,-0.17,439.49
May-14,-0.21,439.76
Apr-14,-0.35,435.59
Mar-14,-0.42,432.75
Feb-14,-0.57,430.79
Jan-14,-0.01,424.72
Dec-13,-0.35,
Nov-13,-0.24,
Oct-13,-0.73,394.02
Sep-13,-0.50,399.62
Aug-13,-0.39,423.55
Jul-13,-0.16,430.51
Jun-13,-0.37,434.59
May-13,-0.39,432.13
Apr-13,-0.73,431.10
Mar-13,-0.93,430.77
Feb-13,0.52,428.62
Jan-13,0.54,427.99
Dec-12,0.43,423.15
Nov-12,0.43,420.54
Oct-12,0.36,417.66
Sep-12,0.59,422.50
Aug-12,0.30,424.06
Jul-12,0.47,430.41
Jun-12,-0.04,437.61
May-12,2.14,436.45
Apr-12,1.67,451.22
Mar-12,2.36,468.20
Feb-12,-0.18,350.68
Jan-12,0.19,347.73
Dec-11,-0.14,325.25
Nov-11,-0.27,325.97
Oct-11,-0.26,325.00
Sep-11,-0.15,310.55
Aug-11,0.35,331.55
Jul-11,-0.12,321.16
Jun-11,0.26,348.78
May-11,-0.72,309.93
Apr-11,-0.54,331.56
Mar-11,-0.75,332.68
Feb-11,-1.18,349.41
Jan-11,-0.36,345.51
Dec-10,1.57,344.57
Nov-10,0.49,342.57
Oct-10,0.01,341.58
Sep-10,-0.78,294.12
Aug-10,-1.20,300.77
Jul-10,-3.74,311.29
Jun-10,-15.62,321.03
May-10,-9.91,332.68
Apr-10,-8.49,340.55
Mar-10,-1.73,343.43
Feb-10,-3.02,379.41
Jan-10,-0.18,361.04
Dec-09,,332.17
Nov-09,,313.00
Oct-09,,344.41
Sep-09,,368.57
Aug-09,,379.27
Jul-09,,397.37
Jun-09,,373.75
May-09,,379.40
Apr-09,,378.42
Mar-09,,339.90
Feb-09,,361.87
Jan-09,,355.61
