"Senegal, Retail, Matam, Sorghum",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.24,239.84
Oct-20,-0.37,262.20
Sep-20,-0.68,232.01
Aug-20,-1.48,219.42
Jul-20,-0.33,
Jun-20,-0.44,
May-20,-0.60,
Apr-20,-0.34,
Mar-20,-0.40,272.15
Feb-20,-0.17,
Jan-20,-0.16,271.50
Dec-19,0.06,271.88
Nov-19,-0.26,
Oct-19,-1.45,280.62
Sep-19,-1.38,270.00
Aug-19,0.89,316.30
Jul-19,0.31,322.35
Jun-19,2.37,323.19
May-19,-0.75,278.17
Apr-19,0.56,278.28
Mar-19,0.62,278.95
Feb-19,-0.46,277.18
Jan-19,-0.97,266.94
Dec-18,-0.72,266.69
Nov-18,1.11,300.84
Oct-18,0.95,321.87
Sep-18,0.92,289.64
Aug-18,0.80,291.53
Jul-18,5.42,316.05
Jun-18,1.11,256.26
May-18,1.94,284.89
Apr-18,-0.90,247.62
Mar-18,-0.77,243.87
Feb-18,1.52,265.84
Jan-18,1.63,274.17
Dec-17,4.08,299.10
Nov-17,1.58,246.52
Oct-17,1.03,239.26
Sep-17,0.83,239.77
Aug-17,0.52,226.99
Jul-17,0.14,210.94
Jun-17,-0.26,214.08
May-17,-0.51,214.62
Apr-17,0.14,213.28
Mar-17,-0.12,211.24
Feb-17,0.19,210.84
Jan-17,-0.17,201.28
Dec-16,-0.25,197.17
Nov-16,-0.41,209.75
Oct-16,-0.49,207.90
Sep-16,-1.23,208.72
Aug-16,-0.78,211.64
Jul-16,-0.51,212.25
Jun-16,0.75,233.40
May-16,0.44,223.35
Apr-16,0.07,218.67
Mar-16,-0.48,220.24
Feb-16,-1.42,204.58
Jan-16,-1.04,203.00
Dec-15,-0.97,209.81
Nov-15,-1.08,226.02
Oct-15,-1.13,225.77
Sep-15,-1.72,230.10
Aug-15,-0.19,238.03
Jul-15,-0.93,227.09
Jun-15,-0.05,239.46
May-15,-0.79,237.98
Apr-15,0.10,243.56
Mar-15,-0.43,238.73
Feb-15,-0.60,237.36
Jan-15,-1.20,234.04
Dec-14,-0.40,237.18
Nov-14,0.03,253.00
Oct-14,1.65,272.34
Sep-14,0.77,274.45
Aug-14,-0.55,238.21
Jul-14,0.35,242.51
Jun-14,0.39,242.21
May-14,-0.14,244.31
Apr-14,-0.10,241.99
Mar-14,-0.23,240.41
Feb-14,-1.11,234.54
Jan-14,0.17,235.95
Dec-13,0.03,227.74
Nov-13,-0.12,254.73
Oct-13,-0.61,207.14
Sep-13,-1.64,228.75
Aug-13,-1.20,251.31
Jul-13,-0.41,229.61
Jun-13,-1.05,212.46
May-13,-0.90,
Apr-13,-0.42,
Mar-13,-0.53,
Feb-13,-0.75,
Jan-13,-0.52,
Dec-12,0.06,
Nov-12,-0.21,
Oct-12,-0.27,
Sep-12,2.19,306.50
Aug-12,6.39,333.53
Jul-12,1.67,241.80
Jun-12,6.74,291.74
May-12,6.76,288.70
Apr-12,2.62,282.55
Mar-12,3.53,281.88
Feb-12,3.72,275.19
Jan-12,6.41,288.34
Dec-11,1.43,237.76
Nov-11,15.97,238.28
Oct-11,5.03,237.58
Sep-11,2.04,231.24
Aug-11,-0.99,203.36
Jul-11,0.74,201.82
Jun-11,-0.41,192.90
May-11,0.64,208.25
Apr-11,-0.75,192.26
Mar-11,-1.21,196.27
Feb-11,0.73,199.10
Jan-11,-0.88,181.83
Dec-10,0.82,193.45
Nov-10,0.02,188.90
Oct-10,-1.69,183.48
Sep-10,-0.65,218.63
Aug-10,-0.06,218.65
Jul-10,-1.52,203.19
Jun-10,-4.37,203.19
May-10,0.37,205.36
Apr-10,0.71,213.74
Mar-10,2.49,215.78
Feb-10,-1.54,192.23
Jan-10,-0.95,202.26
Dec-09,,181.37
Nov-09,,194.24
Oct-09,,203.65
Sep-09,,232.25
Aug-09,,225.54
Jul-09,,213.02
Jun-09,,215.19
May-09,,211.69
Apr-09,,206.41
Mar-09,,210.18
Feb-09,,213.10
Jan-09,,214.97
