"Senegal, Retail, Zguinchor, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.63,392.46
Oct-20,-0.26,393.30
Sep-20,-0.61,393.99
Aug-20,-0.31,394.96
Jul-20,0.06,403.48
Jun-20,0.09,407.34
May-20,-0.11,
Apr-20,-0.07,
Mar-20,-0.22,408.22
Feb-20,0.31,408.60
Jan-20,0.30,407.25
Dec-19,0.88,407.82
Nov-19,-1.77,359.81
Oct-19,-0.08,381.04
Sep-19,-0.18,405.00
Aug-19,-0.14,406.67
Jul-19,0.06,
Jun-19,0.14,
May-19,-0.12,
Apr-19,-0.08,
Mar-19,-0.25,
Feb-19,-0.20,
Jan-19,-0.07,
Dec-18,0.07,367.86
Nov-18,0.04,
Oct-18,-0.08,
Sep-18,-0.20,
Aug-18,-0.16,
Jul-18,0.07,
Jun-18,0.15,
May-18,-0.13,
Apr-18,-0.09,
Mar-18,-0.27,
Feb-18,-0.22,
Jan-18,-0.07,
Dec-17,0.08,
Nov-17,0.04,
Oct-17,-0.09,
Sep-17,-0.22,
Aug-17,-0.18,
Jul-17,0.08,
Jun-17,0.16,
May-17,-0.15,
Apr-17,-0.10,
Mar-17,-0.30,
Feb-17,-0.25,
Jan-17,-0.08,
Dec-16,0.09,
Nov-16,0.04,
Oct-16,-0.10,
Sep-16,-0.24,
Aug-16,-0.44,470.31
Jul-16,-0.05,478.03
Jun-16,0.14,482.23
May-16,1.56,485.54
Apr-16,1.05,483.78
Mar-16,-0.34,
Feb-16,-0.47,454.09
Jan-16,-0.46,452.69
Dec-15,-0.19,448.93
Nov-15,-0.27,443.63
Oct-15,-0.12,
Sep-15,-0.28,
Aug-15,-0.28,
Jul-15,0.07,479.10
Jun-15,0.13,484.73
May-15,-0.01,
Apr-15,0.05,
Mar-15,-0.29,487.21
Feb-15,-0.29,484.40
Jan-15,-0.06,483.55
Dec-14,0.09,474.37
Nov-14,-0.09,473.78
Oct-14,-0.13,469.55
Sep-14,-0.27,473.19
Aug-14,-0.27,476.42
Jul-14,0.08,
Jun-14,0.20,
May-14,-0.01,
Apr-14,0.06,
Mar-14,-0.42,
Feb-14,-0.40,
Jan-14,-0.18,
Dec-13,0.06,
Nov-13,-0.05,
Oct-13,-0.16,
Sep-13,0.44,466.84
Aug-13,0.28,470.62
Jul-13,0.09,
Jun-13,0.24,
May-13,-0.01,
Apr-13,0.07,
Mar-13,-0.50,
Feb-13,-0.36,428.62
Jan-13,-0.68,380.44
Dec-12,0.85,376.13
Nov-12,0.73,392.50
Oct-12,1.02,419.52
Sep-12,0.58,377.23
Aug-12,0.85,399.28
Jul-12,0.11,
Jun-12,0.28,
May-12,-0.01,
Apr-12,0.08,
Mar-12,2.44,429.98
Feb-12,3.27,446.24
Jan-12,1.69,387.00
Dec-11,-0.05,309.08
Nov-11,-0.23,309.76
Oct-11,-0.31,308.85
Sep-11,-0.24,310.55
Aug-11,-0.36,313.24
Jul-11,-0.38,315.34
Jun-11,-1.78,308.83
May-11,-0.73,317.75
Apr-11,-2.57,318.81
Mar-11,-0.21,343.48
Feb-11,-0.71,323.06
Jan-11,-0.13,340.33
Dec-10,0.00,341.96
Nov-10,-0.22,342.57
Oct-10,-0.54,341.58
Sep-10,-0.70,343.15
Aug-10,-1.07,346.28
Jul-10,-1.75,350.32
Jun-10,-2.68,355.58
May-10,-1.19,359.38
Apr-10,-2.28,357.93
Mar-10,-2.39,354.58
Feb-10,-2.00,354.12
Jan-10,-2.45,353.96
Dec-09,,372.93
Nov-09,,368.35
Oct-09,,389.33
Sep-09,,403.91
Aug-09,,404.56
Jul-09,,409.66
Jun-09,,411.85
May-09,,422.35
Apr-09,,442.16
Mar-09,,421.36
Feb-09,,431.23
Jan-09,,430.95
