"Senegal, Retail, Thies, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.00,353.22
Oct-20,0.05,354.84
Sep-20,-0.16,351.96
Aug-20,-0.19,351.07
Jul-20,-0.11,358.65
Jun-20,-1.03,362.08
May-20,-0.33,361.25
Apr-20,-0.30,
Mar-20,1.13,428.18
Feb-20,-0.36,363.20
Jan-20,-0.43,362.00
Dec-19,-0.21,362.51
Nov-19,-0.18,359.81
Oct-19,-0.13,358.62
Sep-19,-0.13,360.00
Aug-19,-0.12,361.49
Jul-19,-0.17,368.40
Jun-19,-0.21,369.35
May-19,-0.28,370.89
Apr-19,-0.39,371.03
Mar-19,-0.35,371.93
Feb-19,-0.35,369.57
Jan-19,-0.38,370.75
Dec-18,-0.22,367.86
Nov-18,0.08,370.26
Oct-18,-0.02,367.86
Sep-18,-0.25,365.48
Aug-18,-0.12,367.86
Jul-18,0.03,376.25
Jun-18,0.15,383.91
May-18,-0.02,379.86
Apr-18,-0.41,375.18
Mar-18,-0.36,375.18
Feb-18,-0.23,369.23
Jan-18,0.06,373.02
Dec-17,0.17,372.70
Nov-17,0.59,369.32
Oct-17,0.17,368.09
Sep-17,0.04,368.88
Aug-17,0.12,369.09
Jul-17,0.06,375.00
Jun-17,0.32,380.59
May-17,0.49,381.54
Apr-17,0.11,379.17
Mar-17,-0.04,375.53
Feb-17,-0.03,357.02
Jan-17,-0.74,347.32
Dec-16,-0.57,347.12
Nov-16,-0.76,327.20
Oct-16,0.08,349.28
Sep-16,-0.13,347.87
Aug-16,-0.13,349.91
Jul-16,-0.25,358.53
Jun-16,0.02,358.78
May-16,0.17,364.15
Apr-16,-0.21,368.64
Mar-16,-0.32,369.31
Feb-16,-0.28,352.75
Jan-16,0.14,367.87
Dec-15,0.61,378.04
Nov-15,-0.42,339.03
Oct-15,0.19,339.12
Sep-15,0.32,348.44
Aug-15,0.10,349.43
Jul-15,0.20,359.32
Jun-15,0.02,349.01
May-15,0.18,359.41
Apr-15,-0.32,356.57
Mar-15,-0.31,357.61
Feb-15,-0.29,356.52
Jan-15,0.60,351.06
Dec-14,-0.25,344.39
Nov-14,-0.64,343.96
Oct-14,-1.63,297.69
Sep-14,-1.32,307.57
Aug-14,-1.11,333.50
Jul-14,-0.87,339.51
Jun-14,-0.86,341.83
May-14,-1.09,342.03
Apr-14,-0.43,
Mar-14,-0.47,
Feb-14,-0.44,
Jan-14,-0.34,
Dec-13,-0.21,423.48
Nov-13,-0.51,416.83
Oct-13,-0.88,414.27
Sep-13,-0.81,420.16
Aug-13,-0.40,423.55
Jul-13,-0.31,430.51
Jun-13,-0.21,434.59
May-13,-0.37,432.13
Apr-13,-0.50,431.10
Mar-13,-1.07,430.77
Feb-13,-0.86,428.62
Jan-13,0.07,427.99
Dec-12,-0.74,423.15
Nov-12,0.47,420.54
Oct-12,1.22,466.14
Sep-12,1.28,471.54
Aug-12,1.17,428.83
Jul-12,1.42,435.24
Jun-12,0.51,437.61
May-12,0.29,437.42
Apr-12,1.40,432.48
Mar-12,2.68,477.76
Feb-12,3.29,477.77
Jan-12,0.25,335.28
Dec-11,0.79,332.86
Nov-11,0.16,321.20
Oct-11,0.52,320.25
Sep-11,-0.31,312.46
Aug-11,-0.41,313.24
Jul-11,-0.56,298.84
Jun-11,0.15,322.47
May-11,0.32,334.37
Apr-11,0.10,318.81
Mar-11,-0.17,343.48
Feb-11,-0.91,312.32
Jan-11,-1.08,307.27
Dec-10,-0.51,317.54
Nov-10,-1.22,303.42
Oct-10,-0.27,302.54
Sep-10,-0.01,318.64
Aug-10,0.15,321.55
Jul-10,-0.60,320.29
Jun-10,-6.22,284.46
May-10,-4.66,308.04
Apr-10,-5.46,306.80
Mar-10,0.14,354.58
Feb-10,0.03,354.12
Jan-10,0.28,366.09
Dec-09,,343.38
Nov-09,,322.06
Oct-09,,320.45
Sep-09,,328.17
Aug-09,,303.42
Jul-09,,358.45
Jun-09,,370.66
May-09,,368.15
Apr-09,,394.61
Mar-09,,324.82
Feb-09,,337.75
Jan-09,,346.57
