"Senegal, Retail, Kaolack, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,-0.26,425.60
Oct-20,0.18,426.51
Sep-20,0.08,427.26
Aug-20,-0.35,428.31
Jul-20,0.02,437.55
Jun-20,0.12,439.02
May-20,0.17,451.56
Apr-20,-0.28,
Mar-20,-0.16,423.65
Feb-20,-0.39,417.68
Jan-20,0.48,415.40
Dec-19,0.43,414.17
Nov-19,0.28,430.88
Oct-19,1.05,403.45
Sep-19,0.53,423.00
Aug-19,0.70,429.26
Jul-19,0.79,441.15
Jun-19,0.83,438.61
May-19,0.61,440.43
Apr-19,0.72,417.41
Mar-19,0.75,418.43
Feb-19,0.92,415.77
Jan-19,1.07,370.75
Dec-18,-0.16,367.86
Nov-18,1.53,400.81
Oct-18,-1.77,296.12
Sep-18,-0.05,365.48
Aug-18,-0.56,354.98
Jul-18,0.20,376.25
Jun-18,0.19,383.91
May-18,0.21,379.86
Apr-18,-0.19,375.18
Mar-18,-0.17,375.18
Feb-18,0.00,369.23
Jan-18,-0.23,373.02
Dec-17,0.33,372.70
Nov-17,0.05,353.50
Oct-17,0.49,368.09
Sep-17,0.50,368.88
Aug-17,0.91,369.09
Jul-17,1.04,375.00
Jun-17,0.41,380.59
May-17,-0.08,357.70
Apr-17,-0.23,379.17
Mar-17,-0.13,375.53
Feb-17,-0.02,374.82
Jan-17,0.72,374.47
Dec-16,-0.45,347.12
Nov-16,-0.04,342.12
Oct-16,0.09,323.41
Sep-16,-0.87,324.68
Aug-16,-1.19,329.22
Jul-16,-3.94,282.04
Jun-16,-2.46,352.03
May-16,-2.13,339.88
Apr-16,-0.65,387.03
Mar-16,-0.49,397.20
Feb-16,0.65,394.82
Jan-16,-1.28,381.21
Dec-15,-0.83,394.11
Nov-15,-1.78,373.58
Oct-15,-0.77,391.65
Sep-15,-0.38,406.67
Aug-15,-0.42,428.45
Jul-15,-0.21,431.19
Jun-15,-0.20,436.26
May-15,0.70,451.69
Apr-15,-0.31,438.41
Mar-15,-0.29,428.75
Feb-15,-2.34,368.14
Jan-15,0.14,435.19
Dec-14,-0.22,426.93
Nov-14,0.15,426.40
Oct-14,0.07,422.60
Sep-14,0.08,425.87
Aug-14,0.01,428.78
Jul-14,0.19,436.51
Jun-14,0.13,439.49
May-14,-0.07,439.76
Apr-14,-0.04,435.59
Mar-14,-0.17,426.98
Feb-14,-0.05,425.04
Jan-14,-0.37,401.12
Dec-13,0.03,416.90
Nov-13,-0.50,393.68
Oct-13,-0.55,391.26
Sep-13,-0.37,396.81
Aug-13,-0.66,400.02
Jul-13,-0.39,411.38
Jun-13,-0.58,415.27
May-13,-0.79,412.93
Apr-13,-0.71,421.52
Mar-13,-0.79,411.63
Feb-13,-0.55,
Jan-13,0.20,408.97
Dec-12,0.04,399.64
Nov-12,0.40,411.19
Oct-12,0.61,419.52
Sep-12,1.39,433.82
Aug-12,1.47,441.21
Jul-12,0.63,435.24
Jun-12,0.35,458.04
May-12,1.98,450.06
Apr-12,3.55,480.53
Mar-12,4.20,477.76
Feb-12,1.85,375.53
Jan-12,-0.09,340.06
Dec-11,1.82,338.56
Nov-11,-0.09,325.97
Oct-11,-0.02,325.00
Sep-11,-0.70,277.11
Aug-11,-0.20,312.27
Jul-11,-0.29,313.40
Jun-11,-0.50,317.60
May-11,-0.69,318.73
Apr-11,-0.30,320.77
Mar-11,-0.21,313.06
Feb-11,-0.49,329.89
Jan-11,-0.88,336.44
Dec-10,0.00,323.40
Nov-10,0.21,340.61
Oct-10,0.45,341.58
Sep-10,-0.36,326.48
Aug-10,-0.93,324.52
Jul-10,-1.42,328.30
Jun-10,-3.45,329.16
May-10,-1.72,333.71
Apr-10,-3.76,332.36
Mar-10,-4.43,323.17
Feb-10,-2.75,332.87
Jan-10,0.80,365.08
Dec-09,,336.25
Nov-09,,331.12
Oct-09,,302.48
Sep-09,,363.52
Aug-09,,364.10
Jul-09,,391.22
Jun-09,,400.52
May-09,,391.67
Apr-09,,403.71
Mar-09,,375.10
Feb-09,,345.79
Jan-09,,401.82
