"Senegal, Retail, Matam, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,1.22,436.07
Oct-20,0.10,437.00
Sep-20,1.17,437.76
Aug-20,0.29,438.84
Jul-20,0.26,448.31
Jun-20,0.67,452.60
May-20,-0.13,
Apr-20,-0.29,
Mar-20,0.36,408.22
Feb-20,0.59,408.60
Jan-20,0.02,407.25
Dec-19,0.20,362.51
Nov-19,-0.58,359.81
Oct-19,0.27,
Sep-19,0.43,360.00
Aug-19,0.41,406.67
Jul-19,0.84,437.47
Jun-19,-0.11,
May-19,-0.15,
Apr-19,-0.32,
Mar-19,0.02,418.43
Feb-19,0.05,
Jan-19,0.03,
Dec-18,0.14,
Nov-18,0.29,
Oct-18,0.29,
Sep-18,0.48,
Aug-18,2.17,367.86
Jul-18,0.85,376.25
Jun-18,-1.42,287.93
May-18,-2.93,275.40
Apr-18,-0.37,
Mar-18,0.02,
Feb-18,0.06,
Jan-18,-0.26,289.09
Dec-17,0.26,288.85
Nov-17,0.06,288.38
Oct-17,-0.64,285.27
Sep-17,-0.94,285.88
Aug-17,-2.50,286.04
Jul-17,0.41,332.81
Jun-17,0.47,362.51
May-17,2.92,469.30
Apr-17,1.22,398.13
Mar-17,-0.65,319.20
Feb-17,-0.88,309.23
Jan-17,-0.34,308.94
Dec-16,0.19,
Nov-16,-0.97,310.42
Oct-16,-1.15,277.21
Sep-16,-1.58,313.55
Aug-16,-2.55,338.62
Jul-16,-1.83,286.82
Jun-16,-0.01,385.78
May-16,0.64,423.39
Apr-16,-0.01,387.03
Mar-16,0.52,371.23
Feb-16,0.60,382.39
Jan-16,-0.40,365.01
Dec-15,-1.70,343.07
Nov-15,-0.79,362.38
Oct-15,-0.02,363.08
Sep-15,-0.77,370.04
Aug-15,-1.20,369.42
Jul-15,-2.38,335.37
Jun-15,2.40,387.79
May-15,0.32,388.55
Apr-15,-0.70,389.69
Mar-15,-2.37,341.05
Feb-15,-2.69,339.08
Jan-15,-1.33,386.84
Dec-14,-0.11,426.93
Nov-14,-0.05,426.40
Oct-14,-0.17,422.60
Sep-14,-0.18,425.87
Aug-14,-0.34,428.78
Jul-14,0.05,436.51
Jun-14,0.10,439.49
May-14,-0.22,439.76
Apr-14,-0.30,435.59
Mar-14,-0.44,432.75
Feb-14,-0.40,430.79
Jan-14,-0.42,424.72
Dec-13,-0.11,423.48
Nov-13,-0.24,416.83
Oct-13,-0.36,414.27
Sep-13,-0.30,420.16
Aug-13,-0.44,423.55
Jul-13,-0.09,430.51
Jun-13,-0.14,434.59
May-13,-0.51,432.13
Apr-13,-0.87,431.10
Mar-13,-0.56,430.77
Feb-13,-0.18,428.62
Jan-13,0.07,427.99
Dec-12,0.82,423.15
Nov-12,0.62,420.54
Oct-12,0.54,419.52
Sep-12,0.72,424.39
Aug-12,0.66,428.83
Jul-12,0.39,435.24
Jun-12,1.24,437.61
May-12,1.93,437.42
Apr-12,2.54,480.53
Mar-12,2.29,429.98
Feb-12,1.18,394.64
Jan-12,1.01,383.17
Dec-11,0.42,332.86
Nov-11,0.19,329.78
Oct-11,-0.18,328.81
Sep-11,-0.35,322.02
Aug-11,-0.40,328.66
Jul-11,-0.07,339.60
Jun-11,-0.71,340.98
May-11,-0.08,334.37
Apr-11,-0.68,340.39
Mar-11,-0.02,348.38
Feb-11,-0.20,331.84
Jan-11,-0.27,340.33
Dec-10,-0.24,328.28
Nov-10,-0.40,318.10
Oct-10,-0.65,335.72
Sep-10,-0.67,343.15
Aug-10,-1.62,346.28
Jul-10,-3.04,350.32
Jun-10,-4.90,355.58
May-10,-3.85,339.87
Apr-10,-4.26,362.02
Mar-10,-4.30,359.64
Feb-10,-4.43,349.06
Jan-10,-2.01,360.03
Dec-09,,356.63
Nov-09,,352.25
Oct-09,,387.34
Sep-09,,397.85
Aug-09,,404.56
Jul-09,,397.37
Jun-09,,415.96
May-09,,405.99
Apr-09,,434.07
Mar-09,,417.34
Feb-09,,408.11
Jan-09,,401.82
