"Senegal, Retail, Dakar, Millet",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.06,252.92
Oct-20,2.18,284.05
Sep-20,-0.52,248.65
Aug-20,0.22,252.77
Jul-20,0.91,242.09
Jun-20,2.00,250.74
May-20,2.41,267.32
Apr-20,-0.41,224.42
Mar-20,-0.52,215.91
Feb-20,-0.28,227.00
Jan-20,0.93,248.88
Dec-19,-0.06,226.57
Nov-19,1.27,247.37
Oct-19,0.40,235.79
Sep-19,0.97,254.70
Aug-19,-0.19,225.93
Jul-19,-0.19,221.96
Jun-19,-0.35,219.77
May-19,0.23,220.68
Apr-19,-0.26,220.77
Mar-19,-0.49,221.30
Feb-19,-0.20,222.67
Jan-19,-0.05,226.16
Dec-18,-0.84,218.87
Nov-18,-1.26,215.68
Oct-18,-0.60,229.91
Sep-18,-0.10,242.13
Aug-18,0.22,229.91
Jul-18,-0.42,223.87
Jun-18,-0.50,225.55
May-18,-1.24,213.67
Apr-18,-0.35,225.11
Mar-18,-0.27,234.49
Feb-18,0.30,237.23
Jan-18,0.50,235.94
Dec-17,1.23,256.23
Nov-17,1.31,255.82
Oct-17,0.83,249.38
Sep-17,1.05,251.76
Aug-17,-0.11,230.68
Jul-17,-0.24,230.62
Jun-17,0.89,228.35
May-17,1.68,228.93
Apr-17,0.68,227.50
Mar-17,0.05,214.99
Feb-17,-0.54,208.96
Jan-17,-0.15,209.70
Dec-16,-0.05,207.35
Nov-16,0.35,233.05
Oct-16,-0.27,231.00
Sep-16,0.66,231.91
Aug-16,0.18,229.51
Jul-16,0.20,233.28
Jun-16,-1.36,210.25
May-16,-0.42,209.75
Apr-16,-0.66,208.99
Mar-16,-1.17,207.74
Feb-16,-1.54,209.36
Jan-16,-0.20,208.71
Dec-15,0.16,205.56
Nov-15,0.71,233.49
Oct-15,-0.70,234.99
Sep-15,-0.07,234.80
Aug-15,-0.13,236.12
Jul-15,-0.52,237.63
Jun-15,-0.89,240.43
May-15,-0.69,233.13
Apr-15,1.15,238.69
Mar-15,1.54,242.63
Feb-15,-0.21,239.29
Jan-15,-2.73,204.06
Dec-14,-2.41,189.75
Nov-14,-1.17,213.20
Oct-14,-0.30,252.62
Sep-14,0.10,236.59
Aug-14,-0.82,238.21
Jul-14,0.92,249.30
Jun-14,-0.24,251.98
May-14,-0.39,252.13
Apr-14,-2.09,218.76
Mar-14,-0.81,252.92
Feb-14,-0.04,263.26
Jan-14,0.26,259.55
Dec-13,1.19,252.21
Nov-13,0.18,248.25
Oct-13,0.87,255.01
Sep-13,-0.92,222.22
Aug-13,0.01,253.19
Jul-13,-1.73,223.87
Jun-13,-0.67,245.30
May-13,-0.75,243.91
Apr-13,1.40,255.78
Mar-13,1.46,257.51
Feb-13,0.08,256.22
Jan-13,-0.06,236.82
Dec-12,0.47,230.38
Nov-12,0.75,239.24
Oct-12,0.34,235.87
Sep-12,0.51,238.60
Aug-12,0.19,241.10
Jul-12,1.85,241.80
Jun-12,0.45,241.17
May-12,2.04,239.13
Apr-12,1.56,222.00
Mar-12,2.27,223.59
Feb-12,3.43,244.62
Jan-12,2.89,230.86
Dec-11,3.72,212.08
Nov-11,1.85,210.64
Oct-11,2.19,210.02
Sep-11,0.26,210.22
Aug-11,0.71,212.04
Jul-11,0.52,194.05
Jun-11,7.45,220.18
May-11,-0.37,185.76
Apr-11,-0.05,179.51
Mar-11,-0.63,178.61
Feb-11,-0.15,178.61
Jan-11,-0.71,174.05
Dec-10,-2.15,174.89
Nov-10,-0.99,176.18
Oct-10,-0.76,178.60
Sep-10,-5.83,196.08
Aug-10,-3.62,193.92
Jul-10,-1.79,198.18
Jun-10,0.03,204.20
May-10,0.00,206.39
Apr-10,0.24,205.55
Mar-10,-1.03,201.60
Feb-10,-2.61,197.29
Jan-10,-0.31,208.33
Dec-09,,200.73
Nov-09,,218.40
Oct-09,,212.64
Sep-09,,249.41
Aug-09,,271.05
Jul-09,,233.50
Jun-09,,219.31
May-09,,219.87
Apr-09,,210.46
Mar-09,,219.23
Feb-09,,226.17
Jan-09,,226.02
