"Senegal, Retail, Tambacounda, Rice (imported)",,
Date-Monthly,Ipa series,Real Price
Nov-20,-0.25,436.07
Oct-20,0.13,434.38
Sep-20,0.20,437.76
Aug-20,0.29,438.84
Jul-20,0.52,448.31
Jun-20,0.39,453.50
May-20,0.65,451.56
Apr-20,-0.23,
Mar-20,0.38,453.58
Feb-20,-0.42,428.58
Jan-20,-0.53,407.25
Dec-19,0.68,430.48
Nov-19,0.81,449.77
Oct-19,0.58,412.42
Sep-19,0.21,405.00
Aug-19,0.08,406.67
Jul-19,0.06,414.45
Jun-19,-0.10,415.52
May-19,-0.05,417.25
Apr-19,0.08,422.98
Mar-19,-0.37,418.43
Feb-19,-0.33,415.77
Jan-19,0.35,410.61
Dec-18,1.01,413.84
Nov-18,0.17,409.14
Oct-18,-0.63,375.21
Sep-18,-1.20,379.18
Aug-18,-0.08,397.28
Jul-18,0.19,405.41
Jun-18,0.60,428.06
May-18,-0.13,409.30
Apr-18,-0.12,413.63
Mar-18,-0.29,422.07
Feb-18,-0.43,415.38
Jan-18,0.36,416.85
Dec-17,0.24,413.70
Nov-17,0.97,409.32
Oct-17,0.11,395.70
Sep-17,0.79,423.29
Aug-17,0.06,395.85
Jul-17,-0.67,386.25
Jun-17,-1.02,380.59
May-17,-1.29,395.85
Apr-17,-0.56,402.86
Mar-17,-0.26,420.60
Feb-17,0.55,419.80
Jan-17,-0.73,397.87
Dec-16,-0.20,393.41
Nov-16,-1.98,340.25
Oct-16,-0.42,400.10
Sep-16,-0.94,394.25
Aug-16,-0.19,423.28
Jul-16,-0.06,430.23
Jun-16,-0.08,434.00
May-16,-0.33,436.99
Apr-16,-0.27,435.40
Mar-16,-0.34,432.78
Feb-16,-0.40,430.19
Jan-16,-0.05,428.86
Dec-15,-0.19,415.85
Nov-15,-0.27,420.28
Oct-15,-0.56,405.47
Sep-15,-0.52,422.64
Aug-15,0.10,428.45
Jul-15,-0.17,431.19
Jun-15,-0.01,441.11
May-15,-0.52,437.11
Apr-15,-0.32,438.41
Mar-15,-0.35,438.49
Feb-15,-0.35,435.96
Jan-15,0.01,438.09
Dec-14,0.71,426.93
Nov-14,0.43,426.40
Oct-14,-0.29,422.60
Sep-14,-0.47,425.87
Aug-14,-0.40,418.30
Jul-14,0.13,439.42
Jun-14,0.43,439.49
May-14,-0.36,439.76
Apr-14,-0.24,435.59
Mar-14,0.02,435.63
Feb-14,0.15,430.79
Jan-14,-0.18,424.72
Dec-13,-0.63,382.08
Nov-13,-1.16,376.08
Oct-13,-0.46,414.27
Sep-13,0.15,420.16
Aug-13,-0.13,423.55
Jul-13,-0.01,430.51
Jun-13,-1.07,378.57
May-13,-0.65,432.13
Apr-13,-0.46,431.10
Mar-13,-0.28,430.77
Feb-13,0.07,428.62
Jan-13,-0.37,
Dec-12,0.09,
Nov-12,0.82,420.54
Oct-12,0.66,419.52
Sep-12,0.71,424.39
Aug-12,1.24,428.83
Jul-12,1.12,435.24
Jun-12,1.26,437.61
May-12,2.27,437.42
Apr-12,1.85,436.32
Mar-12,1.78,406.09
Feb-12,1.59,376.48
Jan-12,0.99,359.22
Dec-11,0.17,313.84
Nov-11,0.09,312.62
Oct-11,-0.10,311.70
Sep-11,-0.19,309.60
Aug-11,0.08,301.67
Jul-11,0.53,306.61
Jun-11,0.63,311.76
May-11,-0.40,312.86
Apr-11,-0.27,313.90
Mar-11,-0.23,310.11
Feb-11,-0.23,305.49
Jan-11,-0.35,316.02
Dec-10,0.10,317.54
Nov-10,-0.26,314.18
Oct-10,-0.05,317.18
Sep-10,-0.15,313.73
Aug-10,-3.67,305.72
Jul-10,-348.43,282.26
Jun-10,-8.82,274.30
May-10,-4.57,338.84
Apr-10,-1.72,337.48
Mar-10,-5.66,320.13
Feb-10,-3.96,320.73
Jan-10,-2.87,338.79
Dec-09,,336.25
Nov-09,,352.25
Oct-09,,353.39
Sep-09,,379.67
Aug-09,,393.43
Jul-09,,402.49
Jun-09,,404.64
May-09,,408.03
Apr-09,,404.73
Mar-09,,420.35
Feb-09,,415.15
Jan-09,,452.05
