"Senegal, Retail, Matam, Millet",,
Date-Monthly,Ipa series,Real Price
Nov-20,0.05,261.64
Oct-20,0.55,262.20
Sep-20,0.58,262.66
Aug-20,0.20,258.92
Jul-20,0.65,246.57
Jun-20,-0.49,238.07
May-20,1.32,270.94
Apr-20,-0.77,233.40
Mar-20,0.39,249.47
Feb-20,1.58,284.21
Jan-20,2.12,283.27
Dec-19,0.72,249.22
Nov-19,0.41,247.37
Oct-19,-0.24,224.14
Sep-19,-0.06,242.10
Aug-19,-0.09,215.08
Jul-19,0.32,230.25
Jun-19,-0.50,230.85
May-19,-1.27,208.63
Apr-19,-0.48,217.98
Mar-19,0.57,232.46
Feb-19,0.22,230.98
Jan-19,-0.37,227.08
Dec-18,-1.65,224.39
Nov-18,-1.20,235.12
Oct-18,-1.28,229.91
Sep-18,-0.83,243.96
Aug-18,-0.81,222.55
Jul-18,-0.36,229.51
Jun-18,0.28,234.19
May-18,-0.87,219.37
Apr-18,-1.18,227.92
Mar-18,-2.39,215.73
Feb-18,-1.55,224.31
Jan-18,-0.44,253.65
Dec-17,2.43,302.82
Nov-17,2.25,332.11
Oct-17,2.76,322.08
Sep-17,2.41,285.88
Aug-17,1.11,257.44
Jul-17,0.73,242.81
Jun-17,0.20,237.87
May-17,1.01,238.46
Apr-17,0.48,236.98
Mar-17,0.07,226.26
Feb-17,-0.11,222.08
Jan-17,0.35,223.74
Dec-16,0.60,228.64
Nov-16,0.37,233.05
Oct-16,0.11,223.61
Sep-16,-0.80,220.78
Aug-16,-0.64,221.05
Jul-16,-0.60,215.12
Jun-16,0.35,233.40
May-16,-0.80,219.46
Apr-16,-0.84,217.70
Mar-16,-1.47,213.51
Feb-16,-0.98,215.09
Jan-16,-0.65,214.43
Dec-15,0.13,228.72
Nov-15,-0.63,226.02
Oct-15,-1.14,230.38
Sep-15,-2.76,234.80
Aug-15,-0.30,247.55
Jul-15,-1.79,236.67
Jun-15,-0.96,242.37
May-15,0.16,252.56
Apr-15,0.04,260.12
Mar-15,0.08,248.48
Feb-15,-0.14,247.04
Jan-15,-0.67,241.77
Dec-14,-0.44,237.18
Nov-14,0.11,253.00
Oct-14,0.53,281.73
Sep-14,0.12,283.91
Aug-14,-0.65,238.21
Jul-14,-0.04,266.76
Jun-14,1.51,266.63
May-14,0.58,244.31
Apr-14,1.32,266.19
Mar-14,-0.21,240.41
Feb-14,-0.96,234.54
Jan-14,-0.50,235.95
Dec-13,-0.31,235.27
Nov-13,1.32,254.73
Oct-13,0.56,253.17
Sep-13,0.41,268.90
Aug-13,-1.13,235.31
Jul-13,-0.75,239.17
Jun-13,-0.96,235.64
May-13,-1.48,227.59
Apr-13,-0.96,227.04
Mar-13,-0.71,239.32
Feb-13,0.22,242.89
Jan-13,-0.54,237.77
Dec-12,-0.32,235.08
Nov-12,-1.55,200.92
Oct-12,-0.40,233.07
Sep-12,0.58,259.35
Aug-12,2.73,285.88
Jul-12,1.01,265.98
Jun-12,1.29,262.57
May-12,0.78,257.59
Apr-12,0.96,258.52
Mar-12,2.70,267.54
Feb-12,3.48,268.51
Jan-12,3.47,270.14
Dec-11,2.37,240.61
Nov-11,3.50,238.28
Oct-11,1.78,237.58
Sep-11,1.64,231.24
Aug-11,-1.23,213.96
Jul-11,0.50,216.37
Jun-11,-0.43,198.74
May-11,1.22,208.25
Apr-11,-1.24,186.38
Mar-11,-2.66,189.40
Feb-11,-0.07,193.25
Jan-11,-0.13,184.75
Dec-10,0.42,189.54
Nov-10,-10.60,188.90
Oct-10,-4.11,184.45
Sep-10,-5.79,218.63
Aug-10,-7.72,236.46
Jul-10,1.45,238.22
Jun-10,-1.07,221.47
May-10,1.39,211.52
Apr-10,-1.18,220.89
Mar-10,2.52,220.85
Feb-10,-1.55,202.35
Jan-10,-3.93,202.26
Dec-09,,189.52
Nov-09,,212.36
Oct-09,,233.60
Sep-09,,241.33
Aug-09,,245.77
Jul-09,,248.87
Jun-09,,232.69
May-09,,229.07
Apr-09,,243.85
Mar-09,,222.24
Feb-09,,225.17
Jan-09,,231.05
