"Senegal, Retail, Dakar, Sorghum",,
Date-Monthly,Ipa series,Real Price
Nov-20,-0.84,170.07
Oct-20,0.88,212.38
Sep-20,-0.19,208.37
Aug-20,-1.45,188.70
Jul-20,0.59,195.46
Jun-20,1.48,209.10
May-20,-0.40,206.81
Apr-20,-0.15,179.54
Mar-20,-0.18,176.90
Feb-20,-0.14,
Jan-20,-2.53,171.95
Dec-19,-0.44,176.72
Nov-19,0.11,197.90
Oct-19,-0.42,186.48
Sep-19,0.22,202.50
Aug-19,-0.16,203.34
Jul-19,-0.16,191.57
Jun-19,-3.13,184.68
May-19,-0.44,
Apr-19,-0.37,
Mar-19,-2.20,185.97
Feb-19,0.38,230.98
Jan-19,0.57,254.89
Dec-18,-0.06,
Nov-18,-1.68,180.50
Oct-18,-0.32,
Sep-18,-0.34,
Aug-18,-0.18,
Jul-18,-0.18,
Jun-18,1.08,276.42
May-18,1.32,275.40
Apr-18,1.52,268.25
Mar-18,0.90,262.62
Feb-18,1.43,253.84
Jan-18,0.56,236.87
Dec-17,1.73,282.32
Nov-17,1.38,281.87
Oct-17,1.66,276.07
Sep-17,1.37,267.44
Aug-17,0.06,238.06
Jul-17,-0.18,235.31
Jun-17,0.56,237.87
May-17,1.02,238.46
Apr-17,0.89,236.98
Mar-17,-0.39,217.81
Feb-17,-0.86,208.96
Jan-17,-0.28,208.77
Dec-16,-0.68,206.42
Nov-16,-0.77,233.05
Oct-16,-1.84,231.00
Sep-16,-2.76,231.91
Aug-16,-1.49,229.51
Jul-16,-0.28,233.28
Jun-16,-0.66,229.54
May-16,0.32,231.12
Apr-16,0.03,230.28
Mar-16,-0.39,228.89
Feb-16,-4.63,215.09
Jan-16,-2.83,214.43
Dec-15,1.68,226.83
Nov-15,4.29,280.19
Oct-15,2.90,276.46
Sep-15,1.73,281.76
Aug-15,1.27,263.74
Jul-15,-0.62,238.59
Jun-15,-0.21,242.37
May-15,-0.26,237.98
Apr-15,0.69,241.61
Mar-15,1.13,233.86
Feb-15,-0.52,
Jan-15,-0.21,249.51
Dec-14,-3.71,175.52
Nov-14,-4.94,192.35
Oct-14,-0.20,235.71
Sep-14,0.19,260.25
Aug-14,-0.47,238.21
Jul-14,0.84,250.27
Jun-14,-0.50,244.16
May-14,-0.56,244.31
Apr-14,-1.37,221.66
Mar-14,0.24,252.92
Feb-14,0.67,263.26
Jan-14,1.50,259.55
Dec-13,-0.04,
Nov-13,-0.01,
Oct-13,-0.03,230.15
Sep-13,-0.21,
Aug-13,-0.26,240.01
Jul-13,-0.21,227.69
Jun-13,0.14,239.51
May-13,0.47,238.15
Apr-13,0.35,229.92
Mar-13,1.88,234.53
Feb-13,0.43,233.36
Jan-13,-0.01,233.02
Dec-12,-0.04,
Nov-12,-0.01,
Oct-12,-0.10,
Sep-12,-0.26,
Aug-12,-0.37,
Jul-12,-0.20,
Jun-12,0.39,218.81
May-12,1.28,218.71
Apr-12,4.42,216.24
Mar-12,1.56,195.88
Feb-12,1.05,215.00
Jan-12,-0.01,
Dec-11,-0.05,
Nov-11,1.57,214.45
Oct-11,1.16,213.82
Sep-11,1.02,215.00
Aug-11,3.08,216.86
Jul-11,1.91,218.31
Jun-11,1.78,210.44
May-11,0.51,186.74
Apr-11,0.02,189.32
Mar-11,-0.53,184.50
Feb-11,0.06,195.20
Jan-11,-1.59,194.47
Dec-10,-0.85,195.41
Nov-10,-0.01,189.88
Oct-10,0.80,195.19
Sep-10,0.36,196.08
Aug-10,-1.68,185.51
Jul-10,-6.04,175.16
Jun-10,-1.68,177.79
May-10,-2.34,179.69
Apr-10,-2.40,196.35
Mar-10,-1.79,196.54
Feb-10,-0.07,202.35
Jan-10,2.47,230.58
Dec-09,,225.18
Nov-09,,207.33
Oct-09,,202.65
Sep-09,,201.95
Aug-09,,210.37
Jul-09,,221.21
Jun-09,,214.16
May-09,,204.53
Apr-09,,202.36
Mar-09,,207.16
Feb-09,,201.04
Jan-09,,200.91
