Date-Monthly,"Senegal, Retail, Dakar, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 
Nov-20,350.00
Oct-20,350.00
Sep-20,350.00
Aug-20,348.00
Jul-20,345.00
Jun-20,346.00
May-20,350.00
Apr-20,
Mar-20,345.00
Feb-20,345.00
Jan-20,350.00
Dec-19,350.00
Nov-19,350.00
Oct-19,350.00
Sep-19,350.00
Aug-19,350.00
Jul-19,350.00
Jun-19,350.00
May-19,350.00
Apr-19,350.00
Mar-19,350.00
Feb-19,325.00
Jan-19,350.00
Dec-18,350.00
Nov-18,363.00
Oct-18,350.00
Sep-18,350.00
Aug-18,350.00
Jul-18,350.00
Jun-18,381.00
May-18,371.00
Apr-18,350.00
Mar-18,400.00
Feb-18,350.00
Jan-18,350.00
Dec-17,350.00
Nov-17,350.00
Oct-17,350.00
Sep-17,350.00
Aug-17,350.00
Jul-17,350.00
Jun-17,350.00
May-17,350.00
Apr-17,350.00
Mar-17,350.00
Feb-17,350.00
Jan-17,350.00
Dec-16,350.00
Nov-16,350.00
Oct-16,350.00
Sep-16,350.00
Aug-16,350.00
Jul-16,350.00
Jun-16,350.00
May-16,350.00
Apr-16,350.00
Mar-16,350.00
Feb-16,350.00
Jan-16,350.00
Dec-15,350.00
Nov-15,350.00
Oct-15,343.00
Sep-15,350.00
Aug-15,362.00
Jul-15,375.00
Jun-15,
May-15,
Apr-15,400.00
Mar-15,475.00
Feb-15,392.00
Jan-15,338.00
Dec-14,375.00
Nov-14,375.00
Oct-14,400.00
Sep-14,450.00
Aug-14,375.00
Jul-14,425.00
Jun-14,383.00
May-14,400.00
Apr-14,400.00
Mar-14,435.00
Feb-14,435.00
Jan-14,435.00
Dec-13,450.00
Nov-13,450.00
Oct-13,437.00
Sep-13,423.00
Aug-13,475.00
Jul-13,475.00
Jun-13,444.00
May-13,465.00
Apr-13,473.00
Mar-13,469.00
Feb-13,469.00
Jan-13,452.00
Dec-12,446.00
Nov-12,437.00
Oct-12,428.00
Sep-12,445.00
Aug-12,445.00
Jul-12,445.00
Jun-12,455.00
May-12,452.00
Apr-12,484.00
Mar-12,500.00
Feb-12,444.00
Jan-12,413.00
Dec-11,345.00
Nov-11,346.00
Oct-11,346.00
Sep-11,344.00
Aug-11,348.00
Jul-11,400.00
Jun-11,356.00
May-11,393.00
Apr-11,365.00
Mar-11,393.00
Feb-11,400.00
Jan-11,400.00
Dec-10,400.00
Nov-10,400.00
Oct-10,400.00
Sep-10,393.00
Aug-10,400.00
Jul-10,400.00
Jun-10,387.00
May-10,400.00
Apr-10,400.00
Mar-10,400.00
Feb-10,400.00
Jan-10,369.00
Dec-09,358.00
Nov-09,351.00
Oct-09,348.00
Sep-09,371.00
Aug-09,367.00
Jul-09,370.00
Jun-09,367.00
May-09,381.00
Apr-09,400.00
Mar-09,403.00
Feb-09,427.00
Jan-09,450.00
Dec-08,454.00
Nov-08,456.00
Oct-08,460.00
Sep-08,469.00
Aug-08,434.00
Jul-08,467.00
Jun-08,305.00
May-08,300.00
Apr-08,300.00
Mar-08,281.00
Feb-08,288.00
Jan-08,269.00
Dec-07,250.00
Nov-07,252.00
Oct-07,248.00
Sep-07,232.00
Aug-07,220.00
Jul-07,231.00
Jun-07,250.00
May-07,250.00
Apr-07,250.00
Mar-07,247.00
Feb-07,231.00
Jan-07,227.0
