Country,Price type,Market,Commodity,Currency,Measure,Monthly
Senegal,Retail,Dakar,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Dakar,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Dakar,Sorghum,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Diourbel,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Diourbel,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Fatick,Millet,CFA Franc BCEAO,Kg,Jan-07 / Dec-20
Senegal,Retail,Kaolack,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Kaolack,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Kolda,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Kolda,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Louga,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Louga,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Matam,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Matam,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Matam,Sorghum,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,SaintLouis,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,SaintLouis,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Tambacounda,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Tambacounda,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Thies,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Thies,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Zguinchor,Millet,CFA Franc BCEAO,Kg,Jan-07 / Nov-20
Senegal,Retail,Zguinchor,Rice (imported),CFA Franc BCEAO,Kg,Jan-07 / Nov-20
