,Country,Region,Service Type,Year,Coverage,Service level
0,Senegal,Dakar,Drinking water,2017,99.5893,At least basic
1,Senegal,Dakar,Sanitation,2017,70.6456,At least basic
2,Senegal,Dakar,Hygiene,2017,63.34134,Basic service
3,Senegal,Dakar,Drinking water,2017,0.0,Limited service
4,Senegal,Dakar,Hygiene,2017,14.99058,Limited service
5,Senegal,Dakar,Sanitation,2017,28.585790000000003,Limited service
6,Senegal,Dakar,Hygiene,2017,21.66808,No handwashing facility
7,Senegal,Dakar,Sanitation,2017,0.0,Open defecation
8,Senegal,Dakar,Drinking water,2017,0.0,Surface water
9,Senegal,Dakar,Drinking water,2017,0.4107,Unimproved
10,Senegal,Dakar,Sanitation,2017,0.7686,Unimproved
11,Senegal,Diourbel,Drinking water,2017,91.78532,At least basic
12,Senegal,Diourbel,Sanitation,2017,71.65223,At least basic
13,Senegal,Diourbel,Hygiene,2017,13.27736,Basic service
14,Senegal,Diourbel,Drinking water,2017,3.22911,Limited service
15,Senegal,Diourbel,Hygiene,2017,21.17353,Limited service
16,Senegal,Diourbel,Sanitation,2017,5.71216,Limited service
17,Senegal,Diourbel,Hygiene,2017,65.54911,No handwashing facility
18,Senegal,Diourbel,Sanitation,2017,16.26942,Open defecation
19,Senegal,Diourbel,Drinking water,2017,0.0,Surface water
20,Senegal,Diourbel,Drinking water,2017,4.98557,Unimproved
21,Senegal,Diourbel,Sanitation,2017,6.36618,Unimproved
22,Senegal,Fatick,Drinking water,2017,64.47183000000001,At least basic
23,Senegal,Fatick,Sanitation,2017,47.06006,At least basic
24,Senegal,Fatick,Hygiene,2017,8.764289999999999,Basic service
25,Senegal,Fatick,Drinking water,2017,1.04472,Limited service
26,Senegal,Fatick,Hygiene,2017,34.46658,Limited service
27,Senegal,Fatick,Sanitation,2017,13.47112,Limited service
28,Senegal,Fatick,Hygiene,2017,56.769130000000004,No handwashing facility
29,Senegal,Fatick,Sanitation,2017,26.391859999999998,Open defecation
30,Senegal,Fatick,Drinking water,2017,0.5988600000000001,Surface water
31,Senegal,Fatick,Drinking water,2017,33.88459,Unimproved
32,Senegal,Fatick,Sanitation,2017,13.07696,Unimproved
33,Senegal,Kaffrine,Drinking water,2017,87.3195,At least basic
34,Senegal,Kaffrine,Sanitation,2017,22.00825,At least basic
35,Senegal,Kaffrine,Hygiene,2017,8.12322,Basic service
36,Senegal,Kaffrine,Drinking water,2017,7.16668,Limited service
37,Senegal,Kaffrine,Hygiene,2017,24.10746,Limited service
38,Senegal,Kaffrine,Sanitation,2017,6.141,Limited service
39,Senegal,Kaffrine,Hygiene,2017,67.76933000000001,No handwashing facility
40,Senegal,Kaffrine,Sanitation,2017,33.3974,Open defecation
41,Senegal,Kaffrine,Drinking water,2017,0.0,Surface water
42,Senegal,Kaffrine,Drinking water,2017,5.513809999999999,Unimproved
43,Senegal,Kaffrine,Sanitation,2017,38.45335,Unimproved
44,Senegal,Kaolack,Drinking water,2017,88.33498,At least basic
45,Senegal,Kaolack,Sanitation,2017,48.0236,At least basic
46,Senegal,Kaolack,Hygiene,2017,19.72235,Basic service
47,Senegal,Kaolack,Drinking water,2017,0.65188,Limited service
48,Senegal,Kaolack,Hygiene,2017,10.82358,Limited service
49,Senegal,Kaolack,Sanitation,2017,18.62751,Limited service
50,Senegal,Kaolack,Hygiene,2017,69.45407,No handwashing facility
51,Senegal,Kaolack,Sanitation,2017,15.617560000000001,Open defecation
52,Senegal,Kaolack,Drinking water,2017,0.12445,Surface water
53,Senegal,Kaolack,Drinking water,2017,10.888689999999999,Unimproved
54,Senegal,Kaolack,Sanitation,2017,17.73133,Unimproved
55,Senegal,Kedougou,Drinking water,2017,77.02641,At least basic
56,Senegal,Kedougou,Sanitation,2017,21.30996,At least basic
57,Senegal,Kedougou,Hygiene,2017,2.4765900000000003,Basic service
58,Senegal,Kedougou,Drinking water,2017,3.8917800000000002,Limited service
59,Senegal,Kedougou,Hygiene,2017,1.6819099999999998,Limited service
60,Senegal,Kedougou,Sanitation,2017,5.59313,Limited service
61,Senegal,Kedougou,Hygiene,2017,95.84149000000001,No handwashing facility
62,Senegal,Kedougou,Sanitation,2017,23.78285,Open defecation
63,Senegal,Kedougou,Drinking water,2017,1.04158,Surface water
64,Senegal,Kedougou,Drinking water,2017,18.040229999999998,Unimproved
65,Senegal,Kedougou,Sanitation,2017,49.31406,Unimproved
66,Senegal,Kolda,Drinking water,2017,22.216479999999997,At least basic
67,Senegal,Kolda,Sanitation,2017,15.91651,At least basic
68,Senegal,Kolda,Hygiene,2017,4.2785400000000005,Basic service
69,Senegal,Kolda,Drinking water,2017,0.8511200000000001,Limited service
70,Senegal,Kolda,Hygiene,2017,3.47735,Limited service
71,Senegal,Kolda,Sanitation,2017,4.70034,Limited service
72,Senegal,Kolda,Hygiene,2017,92.24412,No handwashing facility
73,Senegal,Kolda,Sanitation,2017,17.250020000000003,Open defecation
74,Senegal,Kolda,Drinking water,2017,0.0,Surface water
75,Senegal,Kolda,Drinking water,2017,76.93239,Unimproved
76,Senegal,Kolda,Sanitation,2017,62.13312,Unimproved
77,Senegal,Louga,Drinking water,2017,88.40684,At least basic
78,Senegal,Louga,Sanitation,2017,60.249230000000004,At least basic
79,Senegal,Louga,Hygiene,2017,7.00035,Basic service
80,Senegal,Louga,Drinking water,2017,10.5406,Limited service
81,Senegal,Louga,Hygiene,2017,20.09119,Limited service
82,Senegal,Louga,Sanitation,2017,9.964089999999999,Limited service
83,Senegal,Louga,Hygiene,2017,72.90845,No handwashing facility
84,Senegal,Louga,Sanitation,2017,20.17844,Open defecation
85,Senegal,Louga,Drinking water,2017,0.13322,Surface water
86,Senegal,Louga,Drinking water,2017,0.91935,Unimproved
87,Senegal,Louga,Sanitation,2017,9.608239999999999,Unimproved
88,Senegal,Matam,Drinking water,2017,82.58789,At least basic
89,Senegal,Matam,Sanitation,2017,33.1228,At least basic
90,Senegal,Matam,Hygiene,2017,4.08895,Basic service
91,Senegal,Matam,Drinking water,2017,1.58598,Limited service
92,Senegal,Matam,Hygiene,2017,4.040690000000001,Limited service
93,Senegal,Matam,Sanitation,2017,8.20852,Limited service
94,Senegal,Matam,Hygiene,2017,91.87037,No handwashing facility
95,Senegal,Matam,Sanitation,2017,16.46461,Open defecation
96,Senegal,Matam,Drinking water,2017,1.3536299999999999,Surface water
97,Senegal,Matam,Drinking water,2017,14.4725,Unimproved
98,Senegal,Matam,Sanitation,2017,42.20407,Unimproved
99,Senegal,Saint-Louis,Drinking water,2017,81.45713,At least basic
100,Senegal,Saint-Louis,Sanitation,2017,53.35165,At least basic
101,Senegal,Saint-Louis,Hygiene,2017,8.68815,Basic service
102,Senegal,Saint-Louis,Drinking water,2017,5.66448,Limited service
103,Senegal,Saint-Louis,Hygiene,2017,22.51444,Limited service
104,Senegal,Saint-Louis,Sanitation,2017,16.05309,Limited service
105,Senegal,Saint-Louis,Hygiene,2017,68.79741,No handwashing facility
106,Senegal,Saint-Louis,Sanitation,2017,12.37209,Open defecation
107,Senegal,Saint-Louis,Drinking water,2017,6.35559,Surface water
108,Senegal,Saint-Louis,Drinking water,2017,6.5228,Unimproved
109,Senegal,Saint-Louis,Sanitation,2017,18.22317,Unimproved
110,Senegal,Sedhiou,Drinking water,2017,21.02003,At least basic
111,Senegal,Sedhiou,Sanitation,2017,56.94839,At least basic
112,Senegal,Sedhiou,Hygiene,2017,52.07195,Basic service
113,Senegal,Sedhiou,Drinking water,2017,1.38626,Limited service
114,Senegal,Sedhiou,Hygiene,2017,24.69116,Limited service
115,Senegal,Sedhiou,Sanitation,2017,19.68485,Limited service
116,Senegal,Sedhiou,Hygiene,2017,23.23689,No handwashing facility
117,Senegal,Sedhiou,Sanitation,2017,4.9459599999999995,Open defecation
118,Senegal,Sedhiou,Drinking water,2017,0.0,Surface water
