Rainfall - (MM), Year, Statistics, Country, ISO3
0.27887, 1991, Jan Average, Senegal, SEN
0.0067, 1991, Feb Average, Senegal, SEN
0.00353, 1991, Mar Average, Senegal, SEN
0.49112, 1991, Apr Average, Senegal, SEN
8.78124, 1991, May Average, Senegal, SEN
40.4014, 1991, Jun Average, Senegal, SEN
144.399, 1991, Jul Average, Senegal, SEN
163.246, 1991, Aug Average, Senegal, SEN
158.425, 1991, Sep Average, Senegal, SEN
78.0504, 1991, Oct Average, Senegal, SEN
0.15223, 1991, Nov Average, Senegal, SEN
0.07411, 1991, Dec Average, Senegal, SEN
0.40036, 1992, Jan Average, Senegal, SEN
2.28652, 1992, Feb Average, Senegal, SEN
0.2525, 1992, Mar Average, Senegal, SEN
0.70865, 1992, Apr Average, Senegal, SEN
21.6004, 1992, May Average, Senegal, SEN
64.2099, 1992, Jun Average, Senegal, SEN
128.473, 1992, Jul Average, Senegal, SEN
198.808, 1992, Aug Average, Senegal, SEN
148.284, 1992, Sep Average, Senegal, SEN
42.098, 1992, Oct Average, Senegal, SEN
1.19564, 1992, Nov Average, Senegal, SEN
0.08544, 1992, Dec Average, Senegal, SEN
0.35828, 1993, Jan Average, Senegal, SEN
0.85692, 1993, Feb Average, Senegal, SEN
0.03017, 1993, Mar Average, Senegal, SEN
2.86514, 1993, Apr Average, Senegal, SEN
4.41617, 1993, May Average, Senegal, SEN
53.6032, 1993, Jun Average, Senegal, SEN
160.88, 1993, Jul Average, Senegal, SEN
204.498, 1993, Aug Average, Senegal, SEN
167.395, 1993, Sep Average, Senegal, SEN
38.2063, 1993, Oct Average, Senegal, SEN
4.06514, 1993, Nov Average, Senegal, SEN
0.28609, 1993, Dec Average, Senegal, SEN
0.00038, 1994, Jan Average, Senegal, SEN
0.01114, 1994, Feb Average, Senegal, SEN
0.03283, 1994, Mar Average, Senegal, SEN
0.37056, 1994, Apr Average, Senegal, SEN
10.1375, 1994, May Average, Senegal, SEN
56.7906, 1994, Jun Average, Senegal, SEN
160.119, 1994, Jul Average, Senegal, SEN
286.075, 1994, Aug Average, Senegal, SEN
186.271, 1994, Sep Average, Senegal, SEN
69.3095, 1994, Oct Average, Senegal, SEN
9.30298, 1994, Nov Average, Senegal, SEN
0.02341, 1994, Dec Average, Senegal, SEN
0.00038, 1995, Jan Average, Senegal, SEN
0.1442, 1995, Feb Average, Senegal, SEN
0.11415, 1995, Mar Average, Senegal, SEN
0.40565, 1995, Apr Average, Senegal, SEN
7.22153, 1995, May Average, Senegal, SEN
59.0269, 1995, Jun Average, Senegal, SEN
155.51, 1995, Jul Average, Senegal, SEN
261.292, 1995, Aug Average, Senegal, SEN
159.749, 1995, Sep Average, Senegal, SEN
47.9357, 1995, Oct Average, Senegal, SEN
0.38509, 1995, Nov Average, Senegal, SEN
0.47304, 1995, Dec Average, Senegal, SEN
0.01027, 1996, Jan Average, Senegal, SEN
0.09347, 1996, Feb Average, Senegal, SEN
0.24952, 1996, Mar Average, Senegal, SEN
0.04202, 1996, Apr Average, Senegal, SEN
9.71933, 1996, May Average, Senegal, SEN
47.9073, 1996, Jun Average, Senegal, SEN
153.166, 1996, Jul Average, Senegal, SEN
214.975, 1996, Aug Average, Senegal, SEN
138.827, 1996, Sep Average, Senegal, SEN
57.8176, 1996, Oct Average, Senegal, SEN
2.61126, 1996, Nov Average, Senegal, SEN
0.04069, 1996, Dec Average, Senegal, SEN
