Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2011","2011","ha","94530","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2012","2012","ha","129206","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2013","2013","ha","123111","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2014","2014","ha","153142","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2015","2015","ha","178214","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2016","2016","ha","167260","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2017","2017","ha","160589","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2018","2018","ha","160412","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1961","1961","hg/ha","2500","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1962","1962","hg/ha","2694","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1963","1963","hg/ha","2745","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1964","1964","hg/ha","3333","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1965","1965","hg/ha","2593","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1966","1966","hg/ha","2119","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1967","1967","hg/ha","3063","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1968","1968","hg/ha","2457","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1969","1969","hg/ha","3174","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1970","1970","hg/ha","2821","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1971","1971","hg/ha","3658","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1972","1972","hg/ha","1251","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1973","1973","hg/ha","3068","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1974","1974","hg/ha","3721","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1975","1975","hg/ha","3945","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1976","1976","hg/ha","1939","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1977","1977","hg/ha","2048","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1978","1978","hg/ha","3615","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1979","1979","hg/ha","3398","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1980","1980","hg/ha","4178","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1981","1981","hg/ha","4359","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1982","1982","hg/ha","2373","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1983","1983","hg/ha","3261","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1984","1984","hg/ha","3009","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1985","1985","hg/ha","5465","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1986","1986","hg/ha","4665","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1987","1987","hg/ha","4005","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1988","1988","hg/ha","3453","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1989","1989","hg/ha","4066","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1990","1990","hg/ha","2700","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1991","1991","hg/ha","3287","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1992","1992","hg/ha","2285","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1993","1993","hg/ha","3715","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1994","1994","hg/ha","3167","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1995","1995","hg/ha","4299","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1996","1996","hg/ha","2327","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1997","1997","hg/ha","3765","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1998","1998","hg/ha","3293","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","1999","1999","hg/ha","4000","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2000","2000","hg/ha","3229","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2001","2001","hg/ha","3498","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2002","2002","hg/ha","966","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2003","2003","hg/ha","2385","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2004","2004","hg/ha","637","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2005","2005","hg/ha","4185","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2006","2006","hg/ha","2736","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2007","2007","hg/ha","3543","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2008","2008","hg/ha","4646","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2009","2009","hg/ha","4014","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2010","2010","hg/ha","3811","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2011","2011","hg/ha","2974","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2012","2012","hg/ha","4258","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2013","2013","hg/ha","3305","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2014","2014","hg/ha","4185","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2015","2015","hg/ha","3697","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2016","2016","hg/ha","3684","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2017","2017","hg/ha","3732","Fc","Calculated data"
"QC","Crops","195","Senegal","5419","Yield","195","Cow peas, dry","2018","2018","hg/ha","3767","Fc","Calculated data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1961","1961","tonnes","12000","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1962","1962","tonnes","13200","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1963","1963","tonnes","14000","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1964","1964","tonnes","17000","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1965","1965","tonnes","14000","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1966","1966","tonnes","18200","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1967","1967","tonnes","30350","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1968","1968","tonnes","17100","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1969","1969","tonnes","22600","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1970","1970","tonnes","17800","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1971","1971","tonnes","25900","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1972","1972","tonnes","10805","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1973","1973","tonnes","16240","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1974","1974","tonnes","22103","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1975","1975","tonnes","24462","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1976","1976","tonnes","12100","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1977","1977","tonnes","11719","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1978","1978","tonnes","22565","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1979","1979","tonnes","15800","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1980","1980","tonnes","20889","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1981","1981","tonnes","25800","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1982","1982","tonnes","10889","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1983","1983","tonnes","12858","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1984","1984","tonnes","15795","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1985","1985","tonnes","65966","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1986","1986","tonnes","54863","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1987","1987","tonnes","28625","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1988","1988","tonnes","24405","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1989","1989","tonnes","26350","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1990","1990","tonnes","12242","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1991","1991","tonnes","16679","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1992","1992","tonnes","16833","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1993","1993","tonnes","43993","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1994","1994","tonnes","28980","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1995","1995","tonnes","41911","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1996","1996","tonnes","20626","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1997","1997","tonnes","33131","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1998","1998","tonnes","40620","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","1999","1999","tonnes","68000","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2000","2000","tonnes","47290","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2001","2001","tonnes","31720","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2002","2002","tonnes","12805","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2003","2003","tonnes","34705","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2004","2004","tonnes","11984","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2005","2005","tonnes","92878","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2006","2006","tonnes","52931","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2007","2007","tonnes","59812","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2008","2008","tonnes","126423","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2009","2009","tonnes","86625","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2010","2010","tonnes","48880","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2011","2011","tonnes","28110","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2012","2012","tonnes","55015","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2013","2013","tonnes","40688","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2014","2014","tonnes","64088","","Official data"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2015","2015","tonnes","65890","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2016","2016","tonnes","61625","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2017","2017","tonnes","59924","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5510","Production","195","Cow peas, dry","2018","2018","tonnes","60422","Im","FAO data based on imputation methodology"
