Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1961","1961","ha","48000","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1962","1962","ha","49000","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1963","1963","ha","51000","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1964","1964","ha","51000","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1965","1965","ha","54000","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1966","1966","ha","85900","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1967","1967","ha","99100","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1968","1968","ha","69600","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1969","1969","ha","71200","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1970","1970","ha","63100","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1971","1971","ha","70800","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1972","1972","ha","86392","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1973","1973","ha","52930","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1974","1974","ha","59394","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1975","1975","ha","62000","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1976","1976","ha","62400","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1977","1977","ha","57223","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1978","1978","ha","62417","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1979","1979","ha","46500","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1980","1980","ha","50000","F","FAO estimate"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1981","1981","ha","59183","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1982","1982","ha","45886","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1983","1983","ha","39433","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1984","1984","ha","52498","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1985","1985","ha","120716","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1986","1986","ha","117607","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1987","1987","ha","71480","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1988","1988","ha","70687","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1989","1989","ha","64809","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1990","1990","ha","45334","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1991","1991","ha","50744","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1992","1992","ha","73653","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1993","1993","ha","118432","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1994","1994","ha","91504","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1995","1995","ha","97479","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1996","1996","ha","88623","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1997","1997","ha","88000","F","FAO estimate"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1998","1998","ha","123365","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","1999","1999","ha","170000","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2000","2000","ha","146464","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2001","2001","ha","90685","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2002","2002","ha","132596","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2003","2003","ha","145487","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2004","2004","ha","188181","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2005","2005","ha","221907","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2006","2006","ha","193462","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2007","2007","ha","168825","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2008","2008","ha","272104","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2009","2009","ha","215783","","Official data"
"QC","Crops","195","Senegal","5312","Area harvested","195","Cow peas, dry","2010","2010","ha","128244","","Official data"
