"";"Maize";"Rice";"Sorghum";"Millet";"Wheat";"Barley";"Fonio";"Oats";"Teff"
"Dakar";"17.19";"";"11.09";"8.02";"";"";"";"";""
"Diourbel";"20.6";"";"12.29";"8.54";"";"";"";"";""
"Fatick";"20.6";"11.09";"12.24";"8.54";"";"";"";"";""
"Kaffrine";"20.45";"10.85";"11.26";"8.54";"";"";"";"";""
"Kaolack";"20.52";"10.85";"11.26";"20.55";"";"";"11.48";"";""
"Kolda";"17.93";"11.6";"12.45";"10.63";"";"";"11.76";"";""
"Kédougou";"17.93";"11.65";"11.36";"10.63";"";"";"11.89";"";""
"Louga";"17.19";"10.85";"11.22";"8.27";"";"";"";"";""
"Matam";"17.19";"11.25";"11.16";"8.12";"";"";"";"";""
"Saint-Louis";"17.19";"11.21";"11.31";"8.34";"";"";"";"";""
"Sédhiou";"17.91";"11.65";"11.4";"10.76";"";"";"11.89";"";""
"Tambacounda";"17.19";"11.05";"11.26";"8.18";"";"";"";"";""
"Thiès";"17.19";"10.85";"11.14";"8.49";"";"";"";"";""
"Ziguinchor";"17.93";"12.02";"11.36";"10.63";"";"";"";"";""
