"";"Maize";"Rice";"Sorghum";"Millet";"Wheat";"Barley";"Fonio";"Oats";"Teff"
"Dakar";"17.19";"";"11.09";"8.02";"";"";"";"";""
"Diourbel";"20.52";"";"12.29";"8.69";"";"";"";"";""
"Fatick";"20.45";"11.09";"12.29";"8.69";"";"";"";"";""
"Kaffrine";"20.45";"10.85";"11.26";"8.54";"";"";"";"";""
"Kaolack";"20.34";"10.85";"11.31";"8.54";"";"";"11.48";"";""
"Kolda";"17.91";"11.7";"12.49";"10.76";"";"";"11.85";"";""
"Kédougou";"17.91";"11.79";"11.4";"10.63";"";"";"12.04";"";""
"Louga";"17.19";"10.85";"11.31";"8.34";"";"";"";"";""
"Matam";"17.19";"11.25";"11.2";"8.12";"";"";"";"";""
"Saint-Louis";"17.19";"11.37";"11.31";"8.46";"";"";"";"";""
"Sédhiou";"17.86";"11.79";"11.5";"10.76";"";"";"11.89";"";""
"Tambacounda";"17.19";"11.05";"11.31";"8.34";"";"";"11.48";"";""
"Thiès";"17.19";"10.85";"11.2";"8.54";"";"";"";"";""
"Ziguinchor";"17.91";"12.13";"11.4";"10.63";"";"";"";"";""
