"";"Maize";"Rice";"Sorghum";"Millet";"Wheat";"Barley";"Fonio";"Oats";"Teff"
"Dakar";"17.19";"";"11.09";"8.02";"";"";"";"";""
"Diourbel";"20.52";"";"12.29";"20.8";"";"";"";"";""
"Fatick";"20.45";"11.09";"12.29";"8.69";"";"";"";"";""
"Kaffrine";"28.85";"10.85";"22.19";"20.67";"";"";"";"";""
"Kaolack";"20.34";"10.85";"11.31";"8.54";"";"";"11.48";"";""
"Kolda";"26.57";"22.69";"12.49";"22.6";"";"";"23.55";"";""
"Kédougou";"26.57";"11.79";"11.4";"10.63";"";"";"23.7";"";""
"Louga";"17.19";"10.85";"11.31";"8.34";"";"";"";"";""
"Matam";"17.19";"11.25";"11.2";"8.12";"";"";"";"";""
"Saint-Louis";"17.19";"11.37";"11.31";"8.46";"";"";"";"";""
"Sédhiou";"26.54";"22.76";"22.39";"10.76";"";"";"23.58";"";""
"Tambacounda";"17.19";"11.05";"22.23";"8.34";"";"";"11.48";"";""
"Thiès";"25.94";"10.85";"22.13";"20.67";"";"";"";"";""
"Ziguinchor";"17.91";"23.07";"11.4";"10.63";"";"";"";"";""
