"";"Maize";"Rice";"Sorghum";"Millet";"Wheat";"Barley";"Fonio";"Oats";"Teff"
"Dakar";"15.34";"";"11.09";"8.02";"";"";"";"";""
"Diourbel";"17.19";"";"12.29";"8.69";"";"";"";"";""
"Fatick";"17.19";"11.09";"12.29";"8.69";"";"";"";"";""
"Kaffrine";"17.19";"10.85";"11.26";"8.54";"";"";"";"";""
"Kaolack";"17.19";"10.85";"11.31";"8.54";"";"";"11.48";"";""
"Kolda";"15.86";"11.7";"12.49";"10.76";"";"";"11.85";"";""
"Kédougou";"15.86";"11.79";"11.4";"10.63";"";"";"12.04";"";""
"Louga";"15.53";"10.85";"11.31";"8.34";"";"";"";"";""
"Matam";"15.43";"11.25";"11.2";"8.12";"";"";"";"";""
"Saint-Louis";"15.43";"11.37";"11.31";"8.46";"";"";"";"";""
"Sédhiou";"15.93";"11.79";"11.5";"10.76";"";"";"11.89";"";""
"Tambacounda";"15.53";"11.05";"11.31";"8.34";"";"";"11.48";"";""
"Thiès";"15.49";"10.85";"11.2";"8.54";"";"";"";"";""
"Ziguinchor";"15.86";"12.13";"11.4";"10.63";"";"";"";"";""
