Region_main,Region,Year,Crop,Area,Production,Yield,Total_area,percentageion
SAINT-LOUIS,PODOR,2016,Rice,12720,74981,5.894732704,1294700,0.9824669808
SEDHIOU,SEDHIOU,2015,Rice,30589,87179,2.850011442,272614,11.22062697
SEDHIOU,Goudomp,2015,Rice,16726,50178,3,177300,9.433728144
SEDHIOU,Bounkiling,2015,Rice,12950,36908,2.85003861,283000,4.575971731
TAMBACOUNDA,Tamba,2014,Arachide,22000,17600,0.8,2032800,1.082251082
TAMBACOUNDA,Tamba,2015,Arachide,33702,35458,1.052103733,2032800,1.657910272
TAMBACOUNDA,Tamba,2016,Arachide,37650,38139,1.012988048,2032800,1.852125148
TAMBACOUNDA,Goudiry,2014,Arachide,5000,3950,0.79,1609000,0.3107520199
TAMBACOUNDA,Goudiry,2015,Arachide,7382,8961,1.213898672,1609000,0.4587942822
TAMBACOUNDA,Goudiry,2016,Arachide,7471,9294,1.244010173,1609000,0.4643256681
TAMBACOUNDA,Bakel,2014,Arachide,1299,844,0.649730562,629000,0.206518283
TAMBACOUNDA,Bakel,2015,Arachide,2441,2370,0.97091356,629000,0.3880763116
TAMBACOUNDA,Bakel,2016,Arachide,2470,5205,2.107287449,629000,0.3926868045
TAMBACOUNDA,Koumpentoum,2014,Arachide,34000,27200,0.8,673000,5.052005944
TAMBACOUNDA,Koumpentoum,2015,Arachide,46046,47711,1.036159493,673000,6.841901932
TAMBACOUNDA,Koumpentoum,2016,Arachide,51234,49748,0.9709958231,673000,7.612778603
TAMBACOUNDA,Tamba,2014,Rice,1500,3000,2,2032800,0.07378984652
TAMBACOUNDA,Tamba,2015,Rice,860,2365,2.75,2032800,0.04230617867
TAMBACOUNDA,Tamba,2016,Rice,860,1548,1.8,2032800,0.04230617867
TAMBACOUNDA,Goudiry,2014,Rice,193,203,1.051813472,1609000,0.01199502797
TAMBACOUNDA,Goudiry,2015,Rice,530,1458,2.750943396,1609000,0.03293971411
TAMBACOUNDA,Goudiry,2016,Rice,530,1002,1.890566038,1609000,0.03293971411
TAMBACOUNDA,Bakel,2014,Rice,380,2472,6.505263158,629000,0.06041335453
TAMBACOUNDA,Bakel,2015,Rice,400,2800,7,629000,0.06359300477
TAMBACOUNDA,Bakel,2016,Rice,251,1255,5,629000,0.03990461049
TAMBACOUNDA,Koumpentoum,2014,Rice,55,8,0.1454545455,673000,0.008172362556
TAMBACOUNDA,Koumpentoum,2015,Rice,200,220,1.1,673000,0.02971768202
TAMBACOUNDA,Koumpentoum,2016,Rice,200,300,1.5,673000,0.02971768202
THIES,THIES,2014,Arachide,35647,14259,0.4000056106,187300,19.03203417
THIES,THIES,2015,Arachide,26124,26314,1.007273006,187300,13.94767752
THIES,THIES,2016,Arachide,34372,21345,0.6209996509,187300,18.35130806
THIES,Tivaooune,2014,Arachide,25450,10180,0.4,312100,8.15443768
THIES,Tivaooune,2015,Arachide,40900,34520,0.84400978,312100,13.10477411
THIES,Tivaooune,2016,Arachide,55740,41805,0.75,312100,17.85966037
THIES,Mbour,2014,Arachide,18668,3734,0.200021427,160700,11.61667704
THIES,Mbour,2015,Arachide,19517,16687,0.8549982067,160700,12.14499067
THIES,Mbour,2016,Arachide,25668,16684,0.6499922082,160700,15.97261979
THIES,THIES,2016,Rice,30,0,0,187300,0.01601708489
THIES,Tivaooune,2014,Rice,0,0,0,312100,0
THIES,Tivaooune,2015,Rice,0,0,0,312100,0
THIES,Tivaooune,2016,Rice,0,0,0,312100,0
THIES,Mbour,2016,Rice,368,3,0.008152173913,160700,0.2289981332
ZIGUINCHOR,Ziguinchor,2014,Arachide,285,270,0.9473684211,115300,0.2471812663
ZIGUINCHOR,Ziguinchor,2015,Arachide,826,752,0.9104116223,115300,0.7163920208
ZIGUINCHOR,Ziguinchor,2016,Arachide,1578,1499,0.9499366286,115300,1.368603643
ZIGUINCHOR,Bignona,2014,Arachide,9718,8746,0.8999794196,529500,1.835316336
ZIGUINCHOR,Bignona,2015,Arachide,24891,30213,1.213812221,529500,4.700849858
ZIGUINCHOR,Bignona,2016,Arachide,25467,24270,0.9529979974,529500,4.809631728
ZIGUINCHOR,oussouye,2014,Arachide,1835,1138,0.6201634877,89100,2.059483726
ZIGUINCHOR,oussouye,2015,Arachide,1036,832,0.8030888031,89100,1.162738496
ZIGUINCHOR,oussouye,2016,Arachide,1048,842,0.8034351145,89100,1.17620651
ZIGUINCHOR,Ziguinchor,2014,Rice,2435,5510,2.262833676,115300,2.111882047
ZIGUINCHOR,Ziguinchor,2015,Rice,6000,11835,1.9725,115300,5.203816132
ZIGUINCHOR,Ziguinchor,2016,Rice,6000,11 700,0,115300,5.203816132
ZIGUINCHOR,Bignona,2014,Rice,15068,20779,1.379015131,529500,2.845703494
ZIGUINCHOR,Bignona,2015,Rice,16900,39884,2.36,529500,3.191690274
ZIGUINCHOR,Bignona,2016,Rice,16900,25350,1.5,529500,3.191690274
ZIGUINCHOR,oussouye,2014,Rice,4309,6818,1.582269668,89100,4.836139169
ZIGUINCHOR,oussouye,2015,Rice,14500,26999,1.862,89100,16.27384961
ZIGUINCHOR,oussouye,2016,Rice,14500,24650,1.7,89100,16.27384961
