Date-Monthly,"Senegal, Retail, Zguinchor, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Thies, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Thies, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Tambacounda, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Tambacounda, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, SaintLouis, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, SaintLouis, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Sorghum, CFA Franc BCEAO/kg" Commodity Code: 1007 ,"Senegal, Retail, Matam, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Thies, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Thies, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Tambacounda, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Tambacounda, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, SaintLouis, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, SaintLouis, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Sorghum, CFA Franc BCEAO-real/kg" Commodity Code: 1007 ,"Senegal, Retail, Matam, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 
Nov-20,450.00,300.00,405.00,251.00,500.00,232.00,500.00,323.00,275.00,500.00,392.46,261.64,353.22,218.91,436.07,202.34,436.07,281.70,239.84,436.07
Oct-20,450.00,308.00,406.00,270.00,497.00,242.00,500.00,396.00,300.00,500.00,393.30,269.19,354.84,235.98,434.38,211.51,437.00,346.10,262.20,437.00
Sep-20,450.00,325.00,402.00,294.00,500.00,248.00,500.00,350.00,265.00,500.00,393.99,284.55,351.96,257.40,437.76,217.13,437.76,306.43,232.01,437.76
Aug-20,450.00,314.00,400.00,250.00,500.00,217.00,500.00,345.00,250.00,500.00,394.96,275.59,351.07,219.42,438.84,190.46,438.84,302.80,219.42,438.84
Jul-20,450.00,300.00,400.00,278.00,500.00,238.00,500.00,311.00,,500.00,403.48,268.99,358.65,249.26,448.31,213.40,448.31,278.85,,448.31
Jun-20,450.00,288.00,400.00,286.00,501.00,236.00,500.00,317.00,,500.00,407.34,260.70,362.08,258.89,453.50,213.63,452.60,286.95,,452.60
May-20,,350.00,400.00,315.00,500.00,273.00,500.00,350.00,,,,316.09,361.25,284.48,451.56,246.55,451.56,316.09,,
Apr-20,,258.00,,244.00,,,,278.00,,,,231.61,,219.04,,,,249.56,,
Mar-20,450.00,250.00,472.00,239.00,500.00,212.00,400.00,288.00,300.00,450.00,408.22,226.79,428.18,216.81,453.58,192.32,362.87,261.26,272.15,408.22
Feb-20,450.00,275.00,400.00,209.00,472.00,219.00,400.00,300.00,,450.00,408.60,249.70,363.20,189.77,428.58,198.85,363.20,272.40,,408.60
Jan-20,450.00,275.00,400.00,211.00,450.00,213.00,400.00,300.00,300.00,450.00,407.25,248.88,362.00,190.96,407.25,192.77,362.00,271.50,271.50,407.25
Dec-19,450.00,275.00,400.00,225.00,475.00,198.00,400.00,308.00,300.00,400.00,407.82,249.22,362.51,203.91,430.48,179.44,362.51,279.13,271.88,362.51
Nov-19,400.00,275.00,400.00,228.00,500.00,194.00,400.00,276.00,,400.00,359.81,247.37,359.81,205.09,449.77,174.51,359.81,248.27,,359.81
