Date-Monthly,"Senegal, Retail, Zguinchor, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Thies, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Thies, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Tambacounda, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Tambacounda, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, SaintLouis, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, SaintLouis, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Sorghum, CFA Franc BCEAO/kg" Commodity Code: 1007 ,"Senegal, Retail, Matam, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Thies, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Thies, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Tambacounda, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Tambacounda, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, SaintLouis, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, SaintLouis, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Sorghum, CFA Franc BCEAO-real/kg" Commodity Code: 1007 ,"Senegal, Retail, Matam, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 
Oct-19,425.00,263.00,400.00,288.00,460.00,198.00,400.00,296.00,313.00,,381.04,235.79,358.62,258.21,412.42,177.52,358.62,265.38,280.62,
Sep-19,450.00,263.00,400.00,293.00,450.00,254.00,400.00,288.00,300.00,400.00,405.00,236.70,360.00,263.70,405.00,228.60,360.00,259.20,270.00,360.00
Aug-19,450.00,250.00,400.00,266.00,450.00,264.00,450.00,291.00,350.00,450.00,406.67,225.93,361.49,240.39,406.67,238.58,406.67,262.98,316.30,406.67
Jul-19,,250.00,400.00,248.00,450.00,204.00,400.00,261.00,350.00,475.00,,230.25,368.40,228.41,414.45,187.88,368.40,240.38,322.35,437.47
Jun-19,,250.00,400.00,234.00,450.00,196.00,400.00,256.00,350.00,,,230.85,369.35,216.07,415.52,180.98,369.35,236.39,323.19,
May-19,,225.00,400.00,224.00,450.00,195.00,400.00,250.00,300.00,,,208.63,370.89,207.70,417.25,180.81,370.89,231.81,278.17,
Apr-19,,250.00,400.00,211.00,456.00,196.00,400.00,250.00,300.00,,,231.90,371.03,195.72,422.98,181.81,371.03,231.90,278.28,
Mar-19,,250.00,400.00,211.00,450.00,201.00,400.00,242.00,300.00,450.00,,232.46,371.93,196.20,418.43,186.90,371.93,225.02,278.95,418.43
Feb-19,,250.00,400.00,198.00,450.00,194.00,400.00,243.00,300.00,,,230.98,369.57,182.94,415.77,179.24,369.57,224.52,277.18,
Jan-19,,250.00,400.00,196.00,443.00,196.00,400.00,250.00,288.00,,,231.72,370.75,181.67,410.61,181.67,370.75,231.72,266.94,
Dec-18,400.00,250.00,400.00,191.00,450.00,191.00,400.00,250.00,290.00,,367.86,229.91,367.86,175.65,413.84,175.65,367.86,229.91,266.69,
Nov-18,,275.00,400.00,200.00,442.00,177.00,400.00,250.00,325.00,,,254.56,370.26,185.13,409.14,163.84,370.26,231.41,300.84,
Oct-18,,242.00,400.00,214.00,408.00,194.00,400.00,263.00,350.00,,,222.55,367.86,196.80,375.21,178.41,367.86,241.86,321.87,
Sep-18,,242.00,400.00,214.00,415.00,220.00,400.00,275.00,317.00,,,221.11,365.48,195.53,379.18,201.01,365.48,251.27,289.64,
Aug-18,,250.00,400.00,226.00,432.00,218.00,400.00,242.00,317.00,400.00,,229.91,367.86,207.84,397.28,200.48,367.86,222.55,291.53,367.86
Jul-18,,242.00,400.00,206.00,431.00,192.00,400.00,242.00,336.00,400.00,,227.63,376.25,193.77,405.41,180.60,376.25,227.63,316.05,376.25
Jun-18,,233.00,400.00,212.00,446.00,194.00,400.00,241.00,267.00,300.00,,223.63,383.91,203.47,428.06,186.20,383.91,231.31,256.26,287.93
May-18,,258.00,400.00,224.00,431.00,194.00,400.00,229.00,300.00,290.00,,245.01,379.86,212.72,409.30,184.23,379.86,217.47,284.89,275.40
Apr-18,,260.00,400.00,204.00,441.00,185.00,400.00,238.00,264.00,,,243.87,375.18,191.34,413.63,173.52,375.18,223.23,247.62,
Mar-18,,267.00,400.00,204.00,450.00,191.00,400.00,236.00,260.00,,,250.43,375.18,191.34,422.07,179.15,375.18,221.35,243.87,
Feb-18,,225.00,400.00,198.00,450.00,191.00,400.00,241.00,288.00,,,207.69,369.23,182.77,415.38,176.31,369.23,222.46,265.84,
Jan-18,,263.00,400.00,209.00,447.00,195.00,400.00,251.00,294.00,310.00,,245.26,373.02,194.90,416.85,181.85,373.02,234.07,274.17,289.09
Dec-17,,263.00,400.00,206.00,444.00,192.00,400.00,256.00,321.00,310.00,,245.05,372.70,191.94,413.70,178.90,372.70,238.53,299.10,288.85
Nov-17,,300.00,397.00,237.00,440.00,200.00,400.00,275.00,265.00,310.00,,279.08,369.32,220.47,409.32,186.05,372.11,255.82,246.52,288.38
Oct-17,,275.00,400.00,290.00,430.00,206.00,400.00,325.00,260.00,310.00,,253.07,368.09,266.87,395.70,189.57,368.09,299.08,239.26,285.27
Sep-17,,275.00,400.00,269.00,459.00,257.00,400.00,318.00,260.00,310.00,,253.61,368.88,248.07,423.29,237.01,368.88,293.26,239.77,285.88
Aug-17,,275.00,400.00,256.00,429.00,227.00,400.00,290.00,246.00,310.00,,253.75,369.09,236.22,395.85,209.46,369.09,267.59,226.99,286.04
Jul-17,,275.00,400.00,258.00,412.00,219.00,400.00,277.00,225.00,355.00,,257.81,375.00,241.87,386.25,205.31,375.00,259.69,210.94,332.81
Jun-17,,275.00,400.00,244.00,400.00,195.00,400.00,266.00,225.00,381.00,,261.65,380.59,232.16,380.59,185.54,380.59,253.09,214.08,362.51
May-17,,275.00,400.00,238.00,415.00,198.00,400.00,240.00,225.00,492.00,,262.31,381.54,227.02,395.85,188.86,381.54,228.93,214.62,469.30
Apr-17,,275.00,400.00,238.00,425.00,194.00,400.00,235.00,225.00,420.00,,260.68,379.17,225.60,402.86,183.90,379.17,222.76,213.28,398.13
Mar-17,,276.00,400.00,223.00,448.00,196.00,400.00,254.00,225.00,340.00,,259.12,375.53,209.36,420.60,184.01,375.53,238.46,211.24,319.20
Feb-17,,275.00,381.00,198.00,448.00,198.00,400.00,263.00,225.00,330.00,,257.69,357.02,185.54,419.80,185.54,374.82,246.45,210.84,309.23
Jan-17,,275.00,371.00,192.00,425.00,194.00,400.00,257.00,215.00,330.00,,257.45,347.32,179.74,397.87,181.62,374.47,240.60,201.28,308.94
Dec-16,,275.00,375.00,198.00,425.00,190.00,400.00,248.00,213.00,,,254.56,347.12,183.28,393.41,175.88,370.26,229.56,197.17,
Nov-16,,256.00,351.00,228.00,365.00,188.00,,263.00,225.00,333.00,,238.64,327.20,212.54,340.25,175.25,,245.17,209.75,310.42
Oct-16,,250.00,378.00,224.00,433.00,163.00,,253.00,225.00,300.00,,231.00,349.28,206.98,400.10,150.61,,233.78,207.90,277.21
Sep-16,,263.00,375.00,263.00,425.00,169.00,350.00,250.00,225.00,338.00,,243.97,347.87,243.97,394.25,156.77,324.68,231.91,208.72,313.55
Aug-16,500.00,250.00,372.00,257.00,450.00,146.00,450.00,208.00,225.00,360.00,470.31,235.15,349.91,241.74,423.28,137.33,423.28,195.65,211.64,338.62
Jul-16,500.00,250.00,375.00,258.00,450.00,150.00,375.00,216.00,222.00,300.00,478.03,239.02,358.53,246.67,430.23,143.41,358.53,206.51,212.25,286.82
Jun-16,500.00,238.00,372.00,257.00,450.00,146.00,400.00,222.00,242.00,400.00,482.23,229.54,358.78,247.86,434.00,140.81,385.78,214.11,233.40,385.78
May-16,500.00,225.00,375.00,210.00,450.00,146.00,400.00,217.00,230.00,436.00,485.54,218.49,364.15,203.93,436.99,141.78,388.43,210.72,223.35,423.39
Apr-16,500.00,225.00,381.00,181.00,450.00,159.00,387.00,207.00,226.00,400.00,483.78,217.70,368.64,175.13,435.40,153.84,374.45,200.29,218.67,387.03
Mar-16,,250.00,384.00,153.00,450.00,159.00,380.00,221.00,229.00,386.00,,240.43,369.31,147.15,432.78,152.92,365.46,212.54,220.24,371.23
Feb-16,475.00,250.00,369.00,153.00,450.00,181.00,325.00,202.00,214.00,400.00,454.09,238.99,352.75,146.26,430.19,173.03,310.69,193.11,204.58,382.39
Jan-16,475.00,250.00,386.00,156.00,450.00,169.00,450.00,187.00,213.00,383.00,452.69,238.26,367.87,148.67,428.86,161.06,428.86,178.22,203.00,365.01
Dec-15,475.00,250.00,400.00,150.00,440.00,178.00,375.00,190.00,222.00,363.00,448.93,236.28,378.04,141.77,415.85,168.23,354.42,179.57,209.81,343.07
Nov-15,475.00,250.00,363.00,156.00,450.00,169.00,384.00,199.00,242.00,388.00,443.63,233.49,339.03,145.70,420.28,157.84,358.64,185.86,226.02,362.38
Oct-15,,250.00,368.00,182.00,440.00,169.00,360.00,232.00,245.00,394.00,,230.38,339.12,167.72,405.47,155.74,331.75,213.79,225.77,363.08
Sep-15,,250.00,371.00,181.00,450.00,204.00,395.00,215.00,245.00,394.00,,234.80,348.44,169.99,422.64,191.59,370.98,201.93,230.10,370.04
Aug-15,,275.00,367.00,197.00,450.00,203.00,379.00,275.00,250.00,388.00,,261.83,349.43,187.57,428.45,193.28,360.85,261.83,238.03,369.42
Jul-15,500.00,275.00,375.00,215.00,450.00,213.00,375.00,217.00,237.00,350.00,479.10,263.50,359.32,206.01,431.19,204.10,359.32,207.93,227.09,335.37
Jun-15,500.00,275.00,360.00,215.00,455.00,204.00,375.00,225.00,247.00,400.00,484.73,266.60,349.01,208.43,441.11,197.77,363.55,218.13,239.46,387.79
May-15,,275.00,370.00,216.00,450.00,203.00,386.00,222.00,245.00,400.00,,267.13,359.41,209.82,437.11,197.19,374.95,215.64,237.98,388.55
Apr-15,,250.00,366.00,218.00,450.00,213.00,400.00,211.00,250.00,400.00,,243.56,356.57,212.38,438.41,207.51,389.69,205.56,243.56,389.69
Mar-15,500.00,250.00,367.00,209.00,450.00,195.00,400.00,203.00,245.00,350.00,487.21,243.61,357.61,203.66,438.49,190.01,389.77,197.81,238.73,341.05
Feb-15,500.00,250.00,368.00,206.00,450.00,196.00,400.00,213.00,245.00,350.00,484.40,242.20,356.52,199.57,435.96,189.88,387.52,206.35,237.36,339.08
Jan-15,500.00,250.00,363.00,193.00,453.00,200.00,386.00,225.00,242.00,400.00,483.55,241.77,351.06,186.65,438.09,193.42,373.30,217.60,234.04,386.84
Dec-14,500.00,250.00,363.00,184.00,450.00,213.00,375.00,235.00,250.00,450.00,474.37,237.18,344.39,174.57,426.93,202.08,355.78,222.95,237.18,426.93
Nov-14,500.00,250.00,363.00,195.00,450.00,213.00,375.00,239.00,267.00,450.00,473.78,236.89,343.96,184.77,426.40,201.83,355.33,226.47,253.00,426.40
Oct-14,500.00,271.00,317.00,246.00,450.00,250.00,417.00,239.00,290.00,450.00,469.55,254.50,297.69,231.02,422.60,234.78,391.60,224.45,272.34,422.60
Sep-14,500.00,250.00,325.00,246.00,450.00,259.00,450.00,237.00,290.00,450.00,473.19,236.59,307.57,232.81,425.87,245.11,425.87,224.29,274.45,425.87
Aug-14,500.00,275.00,350.00,245.00,439.00,231.00,450.00,245.00,250.00,450.00,476.42,262.03,333.50,233.45,418.30,220.11,428.78,233.45,238.21,428.78
Jul-14,,250.00,350.00,225.00,453.00,213.00,450.00,248.00,250.00,450.00,,242.51,339.51,218.26,439.42,206.62,436.51,240.57,242.51,436.51
Jun-14,,250.00,350.00,228.00,450.00,194.00,450.00,244.00,248.00,450.00,,244.16,341.83,222.68,439.49,189.47,439.49,238.30,242.21,439.49
May-14,,250.00,350.00,228.00,450.00,194.00,450.00,243.00,250.00,450.00,,244.31,342.03,222.81,439.76,189.58,439.76,237.47,244.31,439.76
Apr-14,,250.00,,226.00,450.00,194.00,450.00,233.00,250.00,450.00,,241.99,,218.76,435.59,187.79,435.59,225.54,241.99,435.59
Mar-14,,278.00,,226.00,453.00,194.00,450.00,235.00,250.00,450.00,,267.34,,217.34,435.63,186.56,432.75,225.99,240.41,432.75
Feb-14,,275.00,,224.00,450.00,181.00,450.00,246.00,245.00,450.00,,263.26,,214.44,430.79,173.27,430.79,235.50,234.54,430.79
Jan-14,,263.00,,223.00,450.00,181.00,450.00,248.00,250.00,450.00,,248.22,,210.47,424.72,170.83,424.72,234.07,235.95,424.72
Dec-13,,284.00,450.00,218.00,406.00,188.00,450.00,300.00,242.00,450.00,,267.27,423.48,205.15,382.08,176.92,423.48,282.32,227.74,423.48
Nov-13,,304.00,450.00,225.00,406.00,188.00,450.00,300.00,275.00,450.00,,281.59,416.83,208.42,376.08,174.14,416.83,277.89,254.73,416.83
Oct-13,,282.00,450.00,230.00,450.00,219.00,450.00,250.00,225.00,450.00,,259.61,414.27,211.74,414.27,201.61,414.27,230.15,207.14,414.27
Sep-13,500.00,278.00,450.00,226.00,450.00,225.00,450.00,275.00,245.00,450.00,466.84,259.56,420.16,211.01,420.16,210.08,420.16,256.76,228.75,420.16
Aug-13,500.00,283.00,450.00,233.00,450.00,223.00,450.00,267.00,267.00,450.00,470.62,266.37,423.55,219.31,423.55,209.89,423.55,251.31,251.31,423.55
Jul-13,,289.00,450.00,241.00,450.00,218.00,450.00,267.00,240.00,450.00,,276.49,430.51,230.56,430.51,208.56,430.51,255.44,229.61,430.51
Jun-13,,288.00,450.00,261.00,392.00,205.00,450.00,248.00,220.00,450.00,,278.14,434.59,252.06,378.57,197.98,434.59,239.51,212.46,434.59
May-13,,288.00,450.00,234.00,450.00,236.00,450.00,246.00,,450.00,,276.56,432.13,224.71,432.13,226.63,432.13,236.23,,432.13
Apr-13,,283.00,450.00,214.00,450.00,213.00,456.00,242.00,,450.00,,271.11,431.10,205.01,431.10,204.05,436.84,231.83,,431.10
Mar-13,,275.00,450.00,216.00,450.00,216.00,465.00,230.00,,450.00,,263.25,430.77,206.77,430.77,206.77,445.13,220.17,,430.77
Feb-13,450.00,278.00,450.00,200.00,450.00,215.00,467.00,230.00,,450.00,428.62,264.79,428.62,190.50,428.62,204.79,444.81,219.07,,428.62
Jan-13,400.00,266.00,450.00,196.00,,209.00,455.00,238.00,,450.00,380.44,252.99,427.99,186.42,,198.78,432.75,226.36,,427.99
Dec-12,400.00,263.00,450.00,201.00,,250.00,450.00,243.00,,450.00,376.13,247.31,423.15,189.01,,235.08,423.15,228.50,,423.15
Nov-12,420.00,289.00,450.00,199.00,450.00,197.00,450.00,240.00,,450.00,392.50,270.08,420.54,185.97,420.54,184.10,420.54,224.29,,420.54
Oct-12,450.00,313.00,500.00,243.00,450.00,231.00,452.00,278.00,,450.00,419.52,291.80,466.14,226.54,419.52,215.36,421.39,259.17,,419.52
Sep-12,400.00,282.00,500.00,244.00,450.00,255.00,451.00,255.00,325.00,450.00,377.23,265.95,471.54,230.11,424.39,240.49,425.33,240.49,306.50,424.39
Aug-12,419.00,275.00,450.00,241.00,450.00,270.00,450.00,250.00,350.00,450.00,399.28,262.06,428.83,229.66,428.83,257.30,428.83,238.24,333.53,428.83
Jul-12,,250.00,450.00,226.00,450.00,256.00,448.00,266.00,250.00,450.00,,241.80,435.24,218.59,435.24,247.61,433.31,257.28,241.80,435.24
Jun-12,,244.00,450.00,222.00,450.00,209.00,450.00,250.00,300.00,450.00,,237.28,437.61,215.89,437.61,203.25,437.61,243.12,291.74,437.61
May-12,,238.00,450.00,214.00,450.00,218.00,453.00,250.00,297.00,450.00,,231.35,437.42,208.02,437.42,211.91,440.34,243.01,288.70,437.42
Apr-12,,238.00,450.00,210.00,454.00,219.00,460.00,250.00,294.00,500.00,,228.73,432.48,201.82,436.32,210.47,442.09,240.26,282.55,480.53
Mar-12,450.00,236.00,500.00,198.00,425.00,221.00,500.00,250.00,295.00,450.00,429.98,225.50,477.76,189.19,406.09,211.17,477.76,238.88,281.88,429.98
Feb-12,467.00,233.00,500.00,198.00,394.00,216.00,500.00,250.00,288.00,413.00,446.24,222.64,477.77,189.20,376.48,206.40,477.77,238.88,275.19,394.64
Jan-12,404.00,232.00,350.00,210.00,375.00,214.00,425.00,255.00,301.00,400.00,387.00,222.24,335.28,201.17,359.22,205.00,407.12,244.27,288.34,383.17
Dec-11,325.00,238.00,350.00,196.00,330.00,185.00,400.00,250.00,250.00,350.00,309.08,226.34,332.86,186.40,313.84,175.94,380.41,237.76,237.76,332.86
Nov-11,325.00,246.00,337.00,203.00,328.00,228.00,360.00,241.00,250.00,346.00,309.76,234.47,321.20,193.48,312.62,217.31,343.12,229.70,238.28,329.78
Oct-11,325.00,250.00,337.00,203.00,328.00,228.00,360.00,241.00,250.00,346.00,308.85,237.58,320.25,192.91,311.70,216.67,342.11,229.02,237.58,328.81
Sep-11,325.00,246.00,327.00,210.00,324.00,210.00,360.00,242.00,242.00,337.00,310.55,235.06,312.46,200.67,309.60,200.67,344.00,231.24,231.24,322.02
Aug-11,325.00,213.00,325.00,181.00,313.00,201.00,360.00,250.00,211.00,341.00,313.24,205.29,313.24,174.45,301.67,193.72,346.97,240.95,203.36,328.66
Jul-11,325.00,213.00,308.00,177.00,316.00,190.00,360.00,250.00,208.00,350.00,315.34,206.67,298.84,171.74,306.61,184.35,349.30,242.57,201.82,339.60
Jun-11,317.00,209.00,331.00,182.00,320.00,187.00,360.00,224.00,198.00,350.00,308.83,203.62,322.47,177.31,311.76,182.18,350.73,218.23,192.90,340.98
May-11,325.00,216.00,342.00,178.00,320.00,180.00,360.00,220.00,213.00,342.00,317.75,211.18,334.37,174.03,312.86,175.99,351.97,215.09,208.25,334.37
Apr-11,325.00,213.00,325.00,173.00,320.00,175.00,360.00,222.00,196.00,347.00,318.81,208.94,318.81,169.70,313.90,171.66,353.14,217.77,192.26,340.39
Mar-11,350.00,213.00,350.00,165.00,316.00,167.00,400.00,220.00,200.00,355.00,343.48,209.03,343.48,161.93,310.11,163.89,392.55,215.90,196.27,348.38
Feb-11,331.00,209.00,320.00,157.00,313.00,167.00,344.00,196.00,204.00,340.00,323.06,203.98,312.32,153.23,305.49,162.99,335.74,191.30,199.10,331.84
Jan-11,350.00,200.00,316.00,164.00,325.00,144.00,340.00,175.00,187.00,350.00,340.33,194.47,307.27,159.47,316.02,140.02,330.60,170.16,181.83,340.33
Dec-10,350.00,200.00,325.00,149.00,325.00,138.00,370.00,156.00,198.00,336.00,341.96,195.41,317.54,145.58,317.54,134.83,361.50,152.42,193.45,328.28
Nov-10,350.00,200.00,310.00,146.00,321.00,130.00,400.00,146.00,193.00,325.00,342.57,195.75,303.42,142.90,314.18,127.24,391.51,142.90,188.90,318.10
Oct-10,350.00,217.00,310.00,143.00,325.00,138.00,400.00,158.00,188.00,344.00,341.58,211.78,302.54,139.56,317.18,134.68,390.37,154.20,183.48,335.72
Sep-10,350.00,226.00,325.00,162.00,320.00,145.00,400.00,215.00,223.00,350.00,343.15,221.57,318.64,158.83,313.73,142.16,392.17,210.79,218.63,343.15
Aug-10,350.00,228.00,325.00,172.00,309.00,149.00,400.00,250.00,221.00,350.00,346.28,225.58,321.55,170.17,305.72,147.42,395.75,247.34,218.65,346.28
Jul-10,350.00,227.00,320.00,188.00,282.00,168.00,400.00,250.00,203.00,350.00,350.32,227.21,320.29,188.17,282.26,168.15,400.37,250.23,203.19,350.32
Jun-10,350.00,232.00,280.00,183.00,270.00,173.00,400.00,250.00,200.00,350.00,355.58,235.70,284.46,185.92,274.30,175.76,406.37,253.98,203.19,355.58
May-10,350.00,213.00,300.00,179.00,330.00,188.00,400.00,249.00,200.00,331.00,359.38,218.71,308.04,183.80,338.84,193.04,410.72,255.67,205.36,339.87
Apr-10,350.00,213.00,300.00,178.00,330.00,188.00,400.00,225.00,209.00,354.00,357.93,217.83,306.80,182.03,337.48,192.26,409.06,230.10,213.74,362.02
Mar-10,350.00,212.00,350.00,170.00,316.00,181.00,400.00,206.00,213.00,355.00,354.58,214.77,354.58,172.22,320.13,183.37,405.23,208.69,215.78,359.64
Feb-10,350.00,212.00,350.00,166.00,317.00,173.00,400.00,199.00,190.00,345.00,354.12,214.49,354.12,167.95,320.73,175.03,404.70,201.34,192.23,349.06
Jan-10,350.00,224.00,362.00,167.00,335.00,153.00,398.00,203.00,200.00,356.00,353.96,226.53,366.09,168.89,338.79,154.73,402.50,205.30,202.26,360.03
Dec-09,366.00,235.00,337.00,175.00,330.00,138.00,400.00,188.00,178.00,350.00,372.93,239.45,343.38,178.31,336.25,140.61,407.57,191.56,181.37,356.63
Nov-09,366.00,246.00,320.00,173.00,350.00,161.00,400.00,188.00,193.00,350.00,368.35,247.58,322.06,174.11,352.25,162.04,402.57,189.21,194.24,352.25
Oct-09,390.00,262.00,321.00,177.00,354.00,181.00,388.00,189.00,204.00,388.00,389.33,261.55,320.45,176.70,353.39,180.69,387.34,188.68,203.65,387.34
Sep-09,400.00,251.00,325.00,197.00,376.00,180.00,400.00,250.00,230.00,394.00,403.91,253.45,328.17,198.92,379.67,181.76,403.91,252.44,232.25,397.85
Aug-09,400.00,253.00,300.00,215.00,389.00,193.00,400.00,250.00,223.00,400.00,404.56,255.88,303.42,217.45,393.43,195.20,404.56,252.85,225.54,404.56
Jul-09,400.00,252.00,350.00,213.00,393.00,200.00,392.00,233.00,208.00,388.00,409.66,258.08,358.45,218.14,402.49,204.83,401.46,238.63,213.02,397.37
Jun-09,400.00,244.00,360.00,205.00,393.00,200.00,400.00,218.00,209.00,404.00,411.85,251.23,370.66,211.07,404.64,205.92,411.85,224.46,215.19,415.96
May-09,413.00,243.00,360.00,193.00,399.00,202.00,400.00,229.00,207.00,397.00,422.35,248.50,368.15,197.37,408.03,206.57,409.05,234.18,211.69,405.99
Apr-09,437.00,229.00,390.00,202.00,400.00,201.00,409.00,226.00,204.00,429.00,442.16,231.71,394.61,204.39,404.73,203.37,413.83,228.67,206.41,434.07
Mar-09,419.00,226.00,323.00,196.00,418.00,198.00,425.00,198.00,209.00,415.00,421.36,227.27,324.82,197.10,420.35,199.11,427.39,199.11,210.18,417.34
Feb-09,429.00,201.00,336.00,191.00,413.00,203.00,430.00,203.00,212.00,406.00,431.23,202.05,337.75,191.99,415.15,204.06,432.24,204.06,213.10,408.11
Jan-09,429.00,239.00,345.00,200.00,450.00,250.00,380.00,196.00,214.00,400.00,430.95,240.09,346.57,200.91,452.05,251.14,381.73,196.89,214.97,401.82
Dec-08,432.00,201.00,385.00,200.00,425.00,167.00,400.00,185.00,237.00,433.00,420.19,195.51,374.48,194.53,413.38,162.44,389.07,179.94,230.52,421.17
Nov-08,433.00,224.00,387.00,192.00,411.00,176.00,450.00,190.00,204.00,434.00,421.24,217.91,376.49,186.78,399.83,171.22,437.78,184.84,198.46,422.21
Oct-08,443.00,254.00,408.00,215.00,433.00,189.00,444.00,272.00,214.00,429.00,423.71,242.94,390.23,205.64,414.15,180.77,424.67,260.16,204.68,410.32
