Date-Monthly,"Senegal, Retail, Dakar, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Dakar, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Dakar, Sorghum, CFA Franc BCEAO-real/kg" Commodity Code: 1007 ,"Senegal, Retail, Dakar, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Dakar, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Dakar, Sorghum, CFA Franc BCEAO/kg" Commodity Code: 1007 
Nov-20,350.00,290.00,170.07,305.25,252.92,195.00
Oct-20,350.00,325.00,212.38,305.90,284.05,243.00
Sep-20,350.00,284.00,208.37,306.43,248.65,238.00
Aug-20,348.00,288.00,188.70,305.43,252.77,215.00
Jul-20,345.00,270.00,195.46,309.33,242.09,218.00
Jun-20,346.00,277.00,209.10,313.20,250.74,231.00
May-20,350.00,296.00,206.81,316.09,267.32,229.00
Apr-20,,250.00,179.54,,224.42,200.00
Mar-20,345.00,238.00,176.90,312.97,215.91,195.00
Feb-20,345.00,250.00,,313.26,227.00,
Jan-20,350.00,275.00,171.95,316.75,248.88,190.00
Dec-19,350.00,250.00,176.72,317.19,226.57,195.00
Nov-19,350.00,275.00,197.90,314.84,247.37,220.00
Oct-19,350.00,263.00,186.48,313.79,235.79,208.00
Sep-19,350.00,283.00,202.50,315.00,254.70,225.00
Aug-19,350.00,250.00,203.34,316.30,225.93,225.00
Jul-19,350.00,241.00,191.57,322.35,221.96,208.00
Jun-19,350.00,238.00,184.68,323.19,219.77,200.00
May-19,350.00,238.00,,324.53,220.68,
Apr-19,350.00,238.00,,324.65,220.77,
Mar-19,350.00,238.00,185.97,325.44,221.30,200.00
Feb-19,325.00,241.00,230.98,300.28,222.67,250.00
Jan-19,350.00,244.00,254.89,324.41,226.16,275.00
Dec-18,350.00,238.00,,321.87,218.87,
Nov-18,363.00,233.00,180.50,336.01,215.68,195.00
Oct-18,350.00,250.00,,321.87,229.91,
Sep-18,350.00,265.00,,319.79,242.13,
Aug-18,350.00,250.00,,321.87,229.91,
Jul-18,350.00,238.00,,329.22,223.87,
Jun-18,381.00,235.00,276.42,365.68,225.55,288.00
May-18,371.00,225.00,275.40,352.32,213.67,290.00
Apr-18,350.00,240.00,268.25,328.28,225.11,286.00
Mar-18,400.00,250.00,262.62,375.18,234.49,280.00
Feb-18,350.00,257.00,253.84,323.07,237.23,275.00
Jan-18,350.00,253.00,236.87,326.39,235.94,254.00
Dec-17,350.00,275.00,282.32,326.12,256.23,303.00
Nov-17,350.00,275.00,281.87,325.60,255.82,303.00
Oct-17,350.00,271.00,276.07,322.08,249.38,300.00
Sep-17,350.00,273.00,267.44,322.77,251.76,290.00
Aug-17,350.00,250.00,238.06,322.95,230.68,258.00
Jul-17,350.00,246.00,235.31,328.12,230.62,251.00
Jun-17,350.00,240.00,237.87,333.02,228.35,250.00
May-17,350.00,240.00,238.46,333.85,228.93,250.00
Apr-17,350.00,240.00,236.98,331.77,227.50,250.00
Mar-17,350.00,229.00,217.81,328.59,214.99,232.00
Feb-17,350.00,223.00,208.96,327.97,208.96,223.00
Jan-17,350.00,224.00,208.77,327.66,209.70,223.00
Dec-16,350.00,224.00,206.42,323.98,207.35,223.00
