Date-Monthly,"Senegal, Retail, Louga, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Louga, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Kolda, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Kolda, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Kaolack, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Kaolack, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Fatick, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Diourbel, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Diourbel, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Louga, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Louga, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Kolda, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Kolda, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Kaolack, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Kaolack, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Fatick, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Diourbel, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Diourbel, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 
Dec-20,,,,,,,,268.00,,,,,,,,,,,,
Nov-20,450.00,309.00,475.00,269.00,488.00,224.00,300.00,238.00,447.00,259.00,261.64,392.46,269.49,414.27,234.61,425.60,195.36,207.57,389.85,225.88
Oct-20,450.00,314.00,500.00,272.00,488.00,265.00,300.00,263.00,450.00,290.00,262.20,393.30,274.43,437.00,237.73,426.51,231.61,229.86,393.30,253.46
Sep-20,450.00,304.00,500.00,292.00,488.00,249.00,300.00,269.00,444.00,288.00,262.66,393.99,266.16,437.76,255.65,427.26,218.01,235.52,388.73,252.15
Aug-20,429.00,307.00,463.00,264.00,488.00,242.00,295.00,222.00,435.00,290.00,258.92,376.53,269.45,406.37,231.71,428.31,212.40,194.85,381.79,254.53
Jul-20,400.00,286.00,488.00,263.00,488.00,254.00,275.00,266.00,442.00,253.00,246.57,358.65,256.43,437.55,235.81,437.55,227.74,238.50,396.31,226.84
Jun-20,408.00,286.00,483.00,250.00,485.00,246.00,263.00,280.00,439.00,268.00,238.07,369.32,258.89,437.21,226.30,439.02,222.68,253.46,397.38,242.59
May-20,415.00,275.00,485.00,275.00,500.00,267.00,300.00,300.00,450.00,275.00,270.94,374.79,248.36,438.01,248.36,451.56,241.13,270.94,406.40,248.36
Apr-20,,238.00,,233.00,,201.00,260.00,267.00,,234.00,233.40,,213.65,,209.16,,180.44,239.68,,210.06
Mar-20,400.00,255.00,467.00,242.00,467.00,214.00,275.00,270.00,442.00,230.00,249.47,362.87,231.33,423.65,219.53,423.65,194.13,244.93,400.97,208.65
Feb-20,400.00,264.00,,275.00,460.00,214.00,313.00,261.00,444.00,236.00,284.21,363.20,239.71,,249.70,417.68,194.31,236.99,403.15,214.29
Jan-20,380.00,266.00,490.00,288.00,459.00,215.00,313.00,263.00,444.00,239.00,283.27,343.90,240.73,443.46,260.64,415.40,194.58,238.02,401.82,216.30
Dec-19,385.00,269.00,475.00,235.00,457.00,229.00,275.00,268.00,444.00,244.00,249.22,348.91,243.79,430.48,212.97,414.17,207.54,242.88,402.38,221.13
Nov-19,400.00,258.00,450.00,240.00,479.00,220.00,275.00,254.00,444.00,229.00,247.37,359.81,232.08,404.79,215.89,430.88,197.90,228.48,399.39,205.99
Oct-19,400.00,275.00,425.00,238.00,450.00,210.00,250.00,259.00,444.00,229.00,224.14,358.62,246.55,381.04,213.38,403.45,188.28,232.21,398.07,205.31
Sep-19,400.00,291.00,430.00,250.00,470.00,209.00,269.00,224.00,444.00,272.00,242.10,360.00,261.90,387.00,225.00,423.00,188.10,201.60,399.60,244.80
Aug-19,400.00,264.00,464.00,243.00,475.00,221.00,238.00,224.00,438.00,235.00,215.08,361.49,238.58,419.32,219.60,429.26,199.72,202.43,395.83,212.37
Jul-19,400.00,237.00,450.00,230.00,479.00,196.00,250.00,224.00,450.00,234.00,230.25,368.40,218.27,414.45,211.83,441.15,180.51,206.30,414.45,215.51
Jun-19,400.00,230.00,450.00,225.00,475.00,192.00,250.00,224.00,450.00,218.00,230.85,369.35,212.38,415.52,207.76,438.61,177.29,206.84,415.52,201.30
May-19,400.00,223.00,450.00,225.00,475.00,188.00,225.00,233.00,467.00,214.00,208.63,370.89,206.77,417.25,208.63,440.43,174.32,216.04,433.01,198.43
Apr-19,400.00,214.00,440.00,228.00,450.00,184.00,235.00,237.00,430.00,218.00,217.98,371.03,198.50,408.14,211.49,417.41,170.68,219.84,398.86,202.21
Mar-19,400.00,213.00,430.00,217.00,450.00,178.00,250.00,235.00,425.00,210.00,232.46,371.93,198.05,399.83,201.77,418.43,165.51,218.51,395.18,195.27
Feb-19,400.00,213.00,425.00,215.00,450.00,175.00,250.00,206.00,421.00,194.00,230.98,369.57,196.80,392.67,198.65,415.77,161.69,190.33,388.98,179.24
Jan-19,392.00,208.00,425.00,203.00,400.00,164.00,245.00,209.00,421.00,195.00,227.08,363.33,192.79,393.92,188.16,370.75,152.01,193.72,390.21,180.74
Dec-18,400.00,210.00,438.00,189.00,400.00,175.00,244.00,215.00,356.00,195.00,224.39,367.86,193.12,402.80,173.81,367.86,160.94,197.72,327.39,179.33
Nov-18,400.00,215.00,400.00,200.00,433.00,170.00,254.00,229.00,367.00,194.00,235.12,370.26,199.02,370.26,185.13,400.81,157.36,211.98,339.72,179.58
Oct-18,375.00,206.00,400.00,238.00,322.00,158.00,250.00,223.00,367.00,230.00,229.91,344.86,189.45,367.86,218.87,296.12,145.30,205.08,337.51,211.52
Sep-18,350.00,270.00,400.00,250.00,400.00,183.00,267.00,235.00,370.00,235.00,243.96,319.79,246.70,365.48,228.42,365.48,167.21,214.72,338.07,214.72
Aug-18,350.00,200.00,400.00,234.00,386.00,175.00,242.00,229.00,363.00,213.00,222.55,321.87,183.93,367.86,215.20,354.98,160.94,210.60,333.83,195.88
Jul-18,350.00,203.00,400.00,221.00,400.00,161.00,244.00,229.00,358.00,199.00,229.51,329.22,190.95,376.25,207.88,376.25,151.44,215.40,336.74,187.18
