Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Trend,PEWI,ALPS phase,Data Type,Unit,Currency,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,01,160,137.99,1.168,Alert,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,02,,,,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,03,100,157.99,-3.079,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,04,200,186.88,0.696,Stress,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,05,200,192.44,0.402,Stress,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,06,,,,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,07,190,192.16,-0.115,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,08,190,204.66,-0.778,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,09,190,179.66,0.549,Stress,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,10,200,191.32,0.461,Stress,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,11,187.5,187.16,0.018,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2007,12,,,,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,01,,,,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,02,150,166.5,-0.876,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,03,200,175,1.327,Alert,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,04,186.67,203.89,-0.914,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,05,203.33,209.44,-0.324,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,06,260,229.83,1.602,Alert,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,07,212.5,209.17,0.177,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,08,250,221.67,1.504,Alert,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,09,200,196.67,0.177,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,10,200,208.33,-0.442,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,11,200,204.17,-0.221,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2008,12,158.33,170.66,-0.655,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2009,01,150,172.01,-1.168,,Actual,KG,XOF,,,
Senegal,Kedougou,Kedougou,Maize (local),Retail,2009,02,200,183.5,0.876,Stress,Actual,KG,XOF,,,
