,adm1_name,datetime,variable,value
0,Dakar,2000-01-15,Maize,149.0
1,Dakar,2000-01-15,Millet,124.75
2,Dakar,2000-01-15,Rice,227.5
3,Dakar,2000-01-15,Sorghum,125.0
4,Dakar,2000-02-15,Maize,150.0
5,Dakar,2000-02-15,Millet,125.625
6,Dakar,2000-02-15,Rice,226.875
7,Dakar,2000-02-15,Sorghum,125.625
8,Dakar,2000-03-15,Maize,150.0
9,Dakar,2000-03-15,Millet,127.0833
10,Dakar,2000-03-15,Rice,227.5
11,Dakar,2000-03-15,Sorghum,127.0833
12,Dakar,2000-04-15,Millet,126.25
13,Dakar,2000-04-15,Rice,228.3333
14,Dakar,2000-04-15,Sorghum,126.6667
15,Dakar,2000-05-15,Millet,119.375
16,Dakar,2000-05-15,Rice,227.5
17,Dakar,2000-05-15,Sorghum,119.375
18,Dakar,2000-06-15,Maize,150.0
19,Dakar,2000-06-15,Millet,122.5
20,Dakar,2000-06-15,Rice,227.5
21,Dakar,2000-06-15,Sorghum,122.5
22,Dakar,2000-07-15,Maize,150.9375
23,Dakar,2000-07-15,Millet,126.25
24,Dakar,2000-07-15,Rice,227.5
25,Dakar,2000-07-15,Sorghum,126.25
26,Dakar,2000-08-15,Maize,150.0
27,Dakar,2000-08-15,Millet,144.375
28,Dakar,2000-08-15,Rice,227.5
29,Dakar,2000-08-15,Sorghum,136.0
30,Dakar,2000-09-15,Maize,150.0
31,Dakar,2000-09-15,Millet,138.3333
32,Dakar,2000-09-15,Rice,227.5
33,Dakar,2000-09-15,Sorghum,129.1667
34,Dakar,2000-10-15,Maize,154.6875
35,Dakar,2000-10-15,Millet,125.0
36,Dakar,2000-10-15,Rice,225.0
37,Dakar,2000-10-15,Sorghum,125.625
38,Dakar,2000-11-15,Maize,164.25
39,Dakar,2000-11-15,Millet,125.5
40,Dakar,2000-11-15,Rice,218.5
41,Dakar,2000-11-15,Sorghum,127.25
42,Dakar,2000-12-15,Maize,162.5
43,Dakar,2000-12-15,Millet,127.5
44,Dakar,2000-12-15,Rice,212.5
45,Dakar,2000-12-15,Sorghum,127.5
46,Dakar,2001-01-15,Maize,162.5
47,Dakar,2001-01-15,Millet,127.0833
48,Dakar,2001-01-15,Rice,212.5
49,Dakar,2001-01-15,Sorghum,127.0833
50,Dakar,2001-02-15,Millet,126.25
51,Dakar,2001-02-15,Rice,215.0
52,Dakar,2001-02-15,Sorghum,137.5
53,Dakar,2001-03-15,Millet,120.4167
54,Dakar,2001-03-15,Rice,213.3333
55,Dakar,2001-03-15,Sorghum,134.0
56,Dakar,2001-04-15,Maize,166.25
57,Dakar,2001-04-15,Millet,127.5
58,Dakar,2001-04-15,Rice,220.0
59,Dakar,2001-04-15,Sorghum,135.0
60,Dakar,2001-05-15,Maize,150.5556
61,Dakar,2001-05-15,Millet,134.1667
62,Dakar,2001-05-15,Rice,202.7778
63,Dakar,2001-05-15,Sorghum,149.0
64,Dakar,2001-06-15,Maize,151.25
65,Dakar,2001-06-15,Millet,145.625
66,Dakar,2001-06-15,Rice,200.0
67,Dakar,2001-06-15,Sorghum,151.0
68,Dakar,2001-07-15,Maize,168.6667
69,Dakar,2001-07-15,Millet,148.6667
70,Dakar,2001-07-15,Rice,211.0
71,Dakar,2001-07-15,Sorghum,169.0
72,Dakar,2001-08-15,Maize,175.0
73,Dakar,2001-08-15,Millet,150.0
74,Dakar,2001-08-15,Rice,215.0
75,Dakar,2001-08-15,Sorghum,175.0
76,Dakar,2001-09-15,Maize,172.5
77,Dakar,2001-09-15,Millet,152.5
78,Dakar,2001-09-15,Rice,212.5
79,Dakar,2001-09-15,Sorghum,173.0
80,Dakar,2001-10-15,Maize,163.4375
81,Dakar,2001-10-15,Millet,149.375
82,Dakar,2001-10-15,Rice,206.875
83,Dakar,2001-10-15,Sorghum,173.0
84,Dakar,2001-11-15,Maize,164.375
85,Dakar,2001-11-15,Millet,140.3125
86,Dakar,2001-11-15,Rice,205.0
87,Dakar,2001-11-15,Sorghum,163.0
88,Dakar,2001-12-15,Maize,172.5
89,Dakar,2001-12-15,Millet,145.625
90,Dakar,2001-12-15,Rice,208.75
91,Dakar,2001-12-15,Sorghum,175.0
92,Dakar,2002-01-15,Maize,168.3333
93,Dakar,2002-01-15,Millet,148.75
94,Dakar,2002-01-15,Rice,205.2778
95,Dakar,2002-01-15,Sorghum,167.5
96,Dakar,2002-02-15,Maize,166.6667
97,Dakar,2002-02-15,Millet,149.5833
98,Dakar,2002-02-15,Rice,203.3333
99,Dakar,2002-02-15,Sorghum,163.3333
100,Dakar,2002-03-15,Maize,166.6667
101,Dakar,2002-03-15,Millet,150.0
102,Dakar,2002-03-15,Rice,203.3333
103,Dakar,2002-03-15,Sorghum,160.8333
104,Dakar,2002-04-15,Rice,202.5
105,Dakar,2002-05-15,Maize,161.3333
106,Dakar,2002-05-15,Millet,230.3333
107,Dakar,2002-05-15,Rice,203.0
108,Dakar,2002-05-15,Sorghum,230.0
109,Dakar,2002-06-15,Maize,166.5909
110,Dakar,2002-06-15,Millet,234.3182
111,Dakar,2002-06-15,Rice,201.8182
112,Dakar,2002-06-15,Sorghum,232.2727
113,Dakar,2002-07-15,Maize,160.3571
114,Dakar,2002-07-15,Millet,231.7857
115,Dakar,2002-07-15,Rice,202.8571
116,Dakar,2002-07-15,Sorghum,234.2857
117,Dakar,2002-08-15,Maize,153.125
118,Dakar,2002-08-15,Millet,251.875
119,Dakar,2002-08-15,Rice,203.125
120,Dakar,2002-08-15,Sorghum,255.625
121,Dakar,2002-09-15,Maize,155.0
122,Dakar,2002-09-15,Millet,253.8095
123,Dakar,2002-09-15,Rice,203.8095
124,Dakar,2002-10-15,Maize,155.0
125,Dakar,2002-10-15,Millet,253.8095
126,Dakar,2002-10-15,Rice,203.75
127,Dakar,2002-11-15,Maize,156.25
128,Dakar,2002-11-15,Millet,255.0
129,Dakar,2002-11-15,Rice,205.0
130,Dakar,2003-01-15,Maize,175.0
131,Dakar,2003-01-15,Millet,201.25
132,Dakar,2003-01-15,Rice,202.5
133,Dakar,2003-01-15,Sorghum,202.5
134,Dakar,2003-02-15,Maize,168.75
135,Dakar,2003-02-15,Millet,196.875
136,Dakar,2003-02-15,Rice,202.5
137,Dakar,2003-02-15,Sorghum,197.8125
138,Dakar,2003-03-15,Maize,150.0
139,Dakar,2003-03-15,Millet,175.9375
140,Dakar,2003-03-15,Rice,202.5
141,Dakar,2003-03-15,Sorghum,180.625
142,Dakar,2003-04-15,Maize,150.0
143,Dakar,2003-04-15,Millet,163.75
144,Dakar,2003-04-15,Rice,202.5
145,Dakar,2003-04-15,Sorghum,177.5
146,Dakar,2003-05-15,Maize,150.0
147,Dakar,2003-05-15,Millet,171.6667
148,Dakar,2003-05-15,Rice,195.8333
149,Dakar,2003-05-15,Sorghum,177.5
150,Dakar,2003-06-15,Maize,150.0
151,Dakar,2003-06-15,Millet,178.125
152,Dakar,2003-06-15,Rice,192.5
153,Dakar,2003-06-15,Sorghum,177.5
154,Dakar,2003-07-15,Maize,150.0
155,Dakar,2003-07-15,Millet,173.0
156,Dakar,2003-07-15,Rice,192.0
157,Dakar,2003-07-15,Sorghum,187.5
158,Dakar,2003-08-15,Maize,150.0
159,Dakar,2003-08-15,Millet,169.375
160,Dakar,2003-08-15,Rice,191.0
161,Dakar,2003-08-15,Sorghum,201.875
162,Dakar,2003-09-15,Maize,150.0
163,Dakar,2003-09-15,Millet,176.25
164,Dakar,2003-09-15,Rice,195.0
165,Dakar,2003-09-15,Sorghum,201.25
166,Dakar,2003-10-15,Maize,150.0
167,Dakar,2003-10-15,Millet,161.5
168,Dakar,2003-10-15,Rice,195.0
169,Dakar,2003-10-15,Sorghum,201.25
170,Dakar,2003-11-15,Maize,147.5
171,Dakar,2003-11-15,Millet,139.6875
172,Dakar,2003-11-15,Rice,195.0
173,Dakar,2003-11-15,Sorghum,191.875
174,Dakar,2003-12-15,Maize,129.25
175,Dakar,2003-12-15,Millet,125.5
176,Dakar,2003-12-15,Rice,195.0
177,Dakar,2003-12-15,Sorghum,145.0
178,Dakar,2004-01-15,Maize,127.5
179,Dakar,2004-01-15,Millet,122.5
180,Dakar,2004-01-15,Rice,195.0
181,Dakar,2004-01-15,Sorghum,125.0
182,Dakar,2004-02-15,Maize,125.8824
183,Dakar,2004-02-15,Millet,114.7059
184,Dakar,2004-02-15,Rice,190.0
185,Dakar,2004-02-15,Sorghum,119.7059
186,Dakar,2004-03-15,Maize,122.5926
187,Dakar,2004-03-15,Millet,108.1481
188,Dakar,2004-03-15,Rice,192.2222
189,Dakar,2004-03-15,Sorghum,110.5556
190,Dakar,2004-04-15,Maize,122.5
191,Dakar,2004-04-15,Millet,107.5
192,Dakar,2004-04-15,Rice,192.5
193,Dakar,2004-04-15,Sorghum,110.0
194,Dakar,2004-05-15,Maize,120.625
195,Dakar,2004-05-15,Millet,116.25
196,Dakar,2004-05-15,Rice,213.125
197,Dakar,2004-05-15,Sorghum,113.75
198,Dakar,2004-06-15,Maize,135.0
199,Dakar,2004-06-15,Millet,138.5
200,Dakar,2004-06-15,Rice,225.0
201,Dakar,2004-06-15,Sorghum,138.0
202,Dakar,2004-07-15,Maize,140.0
203,Dakar,2004-07-15,Millet,150.625
204,Dakar,2004-07-15,Rice,235.0
205,Dakar,2004-07-15,Sorghum,150.9375
206,Dakar,2004-08-15,Maize,140.0
207,Dakar,2004-08-15,Millet,150.0
208,Dakar,2004-08-15,Rice,235.0
209,Dakar,2004-08-15,Sorghum,156.6667
210,Dakar,2004-09-15,Maize,140.0
211,Dakar,2004-09-15,Millet,150.0
212,Dakar,2004-09-15,Rice,235.0
213,Dakar,2004-09-15,Sorghum,160.0
214,Dakar,2004-10-15,Maize,140.0
215,Dakar,2004-10-15,Millet,152.5
216,Dakar,2004-10-15,Rice,235.0
217,Dakar,2004-10-15,Sorghum,157.5
218,Dakar,2004-11-15,Maize,140.0
219,Dakar,2004-11-15,Millet,160.0
220,Dakar,2004-11-15,Rice,235.0
221,Dakar,2004-11-15,Sorghum,160.0
222,Dakar,2004-12-15,Maize,155.0
223,Dakar,2004-12-15,Millet,165.0
224,Dakar,2004-12-15,Rice,235.0
225,Dakar,2004-12-15,Sorghum,166.6667
226,Dakar,2005-01-15,Maize,160.0
227,Dakar,2005-01-15,Millet,171.0
228,Dakar,2005-01-15,Rice,235.0
229,Dakar,2005-01-15,Sorghum,168.75
230,Dakar,2005-02-15,Maize,163.0
231,Dakar,2005-02-15,Millet,190.0
232,Dakar,2005-02-15,Rice,235.0
233,Dakar,2005-02-15,Sorghum,180.0
234,Dakar,2005-03-15,Maize,161.5385
235,Dakar,2005-03-15,Millet,198.0
236,Dakar,2005-03-15,Rice,228.0769
237,Dakar,2005-03-15,Sorghum,188.4615
238,Dakar,2005-04-15,Maize,160.0
239,Dakar,2005-04-15,Millet,200.0
240,Dakar,2005-04-15,Rice,225.0
241,Dakar,2005-04-15,Sorghum,200.0
242,Dakar,2005-05-15,Maize,160.0
243,Dakar,2005-05-15,Millet,200.0
244,Dakar,2005-05-15,Rice,225.0
245,Dakar,2005-05-15,Sorghum,200.0
246,Dakar,2005-06-15,Maize,157.0
247,Dakar,2005-06-15,Millet,216.0
248,Dakar,2005-06-15,Rice,225.0
249,Dakar,2005-06-15,Sorghum,220.0
250,Dakar,2005-07-15,Maize,150.0
251,Dakar,2005-07-15,Millet,225.0
252,Dakar,2005-07-15,Rice,225.0
253,Dakar,2005-07-15,Sorghum,225.0
254,Dakar,2005-08-15,Maize,150.0
255,Dakar,2005-08-15,Millet,238.3333
256,Dakar,2005-08-15,Rice,225.0
257,Dakar,2005-08-15,Sorghum,240.0
258,Dakar,2005-09-15,Maize,150.0
259,Dakar,2005-09-15,Millet,231.0
260,Dakar,2005-09-15,Rice,225.0
261,Dakar,2005-09-15,Sorghum,240.0
262,Dakar,2005-10-15,Maize,150.0
263,Dakar,2005-10-15,Millet,210.0
264,Dakar,2005-10-15,Rice,225.0
265,Dakar,2005-10-15,Sorghum,224.1667
266,Dakar,2005-11-15,Maize,150.0
267,Dakar,2005-11-15,Millet,163.0
268,Dakar,2005-11-15,Rice,225.0
269,Dakar,2005-11-15,Sorghum,187.5
270,Dakar,2005-12-15,Maize,150.0
271,Dakar,2005-12-15,Millet,153.0
272,Dakar,2005-12-15,Rice,225.0
273,Dakar,2005-12-15,Sorghum,161.25
274,Dakar,2006-01-15,Maize,150.0
275,Dakar,2006-01-15,Millet,155.0
276,Dakar,2006-01-15,Rice,225.0
277,Dakar,2006-01-15,Sorghum,160.0
278,Dakar,2006-02-15,Maize,150.0
279,Dakar,2006-02-15,Millet,171.0
280,Dakar,2006-02-15,Rice,225.0
281,Dakar,2006-02-15,Sorghum,160.0
282,Dakar,2006-03-15,Maize,150.0
283,Dakar,2006-03-15,Millet,184.0
284,Dakar,2006-03-15,Rice,225.0
285,Dakar,2006-03-15,Sorghum,160.0
286,Dakar,2006-04-15,Maize,150.0
287,Dakar,2006-04-15,Millet,159.0
288,Dakar,2006-04-15,Rice,225.0
289,Dakar,2006-04-15,Sorghum,160.0
290,Dakar,2006-05-15,Maize,150.0
291,Dakar,2006-05-15,Millet,181.0
292,Dakar,2006-05-15,Rice,225.0
293,Dakar,2006-05-15,Sorghum,163.75
294,Dakar,2006-06-15,Maize,150.0
295,Dakar,2006-06-15,Millet,182.0
296,Dakar,2006-06-15,Rice,225.0
297,Dakar,2006-06-15,Sorghum,175.0
