,code,adm1_name,adm2_name
0,0,Kolda,Velingara
1,1,Kolda,Kolda
2,2,Kolda,Medina Yoro Foulah
3,3,Louga,Louga
4,4,Louga,Linguere
5,5,Louga,Kebemer
6,6,Saint Louis,Dagana
7,7,Saint Louis,Podor
8,8,Saint Louis,Saint Louis
9,9,Matam,Ranerou
10,10,Matam,Matam
11,11,Matam,Kanel
12,12,Kedougou,Kedougou
13,13,Kedougou,Saraya
14,14,Kedougou,Salemata
15,15,Dakar,Rufisque
16,16,Kaffrine,Kaffrine
17,17,Kaffrine,Malem Hodar
18,18,Kaffrine,Birkelane
19,19,Kaffrine,Koungheul
20,20,Kaolack,Kaolack
21,21,Kaolack,Nioro Du Rip
22,22,Kaolack,Guinguineo
23,23,Fatick,Fatick
24,24,Fatick,Gossas
25,25,Fatick,Foundiougne
26,26,Diourbel,Diourbel
27,27,Diourbel,Bambey
28,28,Diourbel,Mbacke
29,29,Tambacounda,Bakel
30,30,Tambacounda,Goudiry
31,31,Tambacounda,Koumpentoum
32,32,Tambacounda,Tambacounda
33,33,Thies,Mbour
34,34,Thies,Thies
35,35,Thies,Tivaouane
36,36,Ziguinchor,Bignona
37,37,Ziguinchor,Oussouye
38,38,Ziguinchor,Ziguinchor
39,39,Sedhiou,Bounkiling
40,40,Sedhiou,Goudomp
41,41,Sedhiou,Sedhiou
42,42,Dakar,Dakar
43,43,Dakar,Guediawaye
44,44,Dakar,Pikine
