adm1_name,adm2_name,datetime,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Kolda,Velingara,2014-01-01,289381.0,2.0,208354.0,57876.0,23150.0,0.0,0.0,23150.0
Kolda,Kolda,2014-01-01,249271.0,2.0,184461.0,47361.0,17449.0,0.0,0.0,17449.0
Kolda,Medina Yoro Foulah,2014-01-01,134688.0,2.0,106404.0,21550.0,6734.0,0.0,0.0,6734.0
Louga,Louga,2014-01-01,387594.0,3.0,135658.0,174417.0,62015.0,15504.0,0.0,77519.0
Louga,Linguere,2014-01-01,258325.0,2.0,206660.0,36166.0,15500.0,0.0,0.0,15500.0
Louga,Kebemer,2014-01-01,292367.0,2.0,233894.0,43855.0,14618.0,0.0,0.0,14618.0
Saint Louis,Dagana,2014-01-01,266285.0,1.0,234331.0,31954.0,0.0,0.0,0.0,0.0
Saint Louis,Podor,2014-01-01,422798.0,2.0,334010.0,71876.0,16912.0,0.0,0.0,16912.0
Saint Louis,Saint Louis,2014-01-01,301287.0,1.0,262120.0,39167.0,0.0,0.0,0.0,0.0
Matam,Ranerou,2014-01-01,60924.0,3.0,30462.0,15840.0,12185.0,2437.0,0.0,14622.0
Matam,Matam,2014-01-01,300355.0,2.0,105124.0,150178.0,45053.0,0.0,0.0,45053.0
Matam,Kanel,2014-01-01,233842.0,3.0,137967.0,49107.0,35076.0,11692.0,0.0,46768.0
Kedougou,Kedougou,2014-01-01,79532.0,2.0,45333.0,26246.0,7953.0,0.0,0.0,7953.0
Kedougou,Saraya,2014-01-01,42582.0,2.0,32362.0,8942.0,1277.0,0.0,0.0,1277.0
Kedougou,Salemata,2014-01-01,22914.0,3.0,12603.0,4125.0,4583.0,1604.0,0.0,6187.0
Dakar,Rufisque,2014-01-01,358669.0,1.0,322802.0,35867.0,0.0,0.0,0.0,0.0
Kaffrine,Kaffrine,2014-01-01,221120.0,1.0,185741.0,30957.0,4422.0,0.0,0.0,4422.0
Kaffrine,Malem Hodar,2014-01-01,102751.0,1.0,83228.0,16440.0,3083.0,0.0,0.0,3083.0
Kaffrine,Birkelane,2014-01-01,118703.0,1.0,98523.0,17805.0,2374.0,0.0,0.0,2374.0
Kaffrine,Koungheul,2014-01-01,179185.0,1.0,148724.0,26878.0,3584.0,0.0,0.0,3584.0
Kaolack,Kaolack,2014-01-01,445706.0,1.0,361022.0,71313.0,13371.0,0.0,0.0,13371.0
Kaolack,Nioro Du Rip,2014-01-01,324952.0,1.0,297331.0,25996.0,1625.0,0.0,0.0,1625.0
Kaolack,Guinguineo,2014-01-01,116097.0,1.0,102165.0,11610.0,2322.0,0.0,0.0,2322.0
Fatick,Fatick,2014-01-01,391122.0,2.0,273785.0,109514.0,7431.0,391.0,0.0,7822.0
Fatick,Gossas,2014-01-01,122930.0,1.0,105105.0,14752.0,2459.0,615.0,0.0,3073.0
Fatick,Foundiougne,2014-01-01,324882.0,2.0,162441.0,153344.0,8122.0,975.0,0.0,9097.0
Diourbel,Diourbel,2014-01-01,304132.0,2.0,197686.0,98539.0,7603.0,304.0,0.0,7907.0
Diourbel,Bambey,2014-01-01,353351.0,2.0,158301.0,176676.0,17668.0,707.0,0.0,18374.0
Diourbel,Mbacke,2014-01-01,864041.0,2.0,678272.0,172808.0,12961.0,0.0,0.0,12961.0
Tambacounda,Bakel,2014-01-01,162408.0,2.0,120182.0,34106.0,8120.0,0.0,0.0,8120.0
Tambacounda,Goudiry,2014-01-01,105756.0,2.0,37015.0,50763.0,15863.0,2115.0,0.0,17979.0
Tambacounda,Koumpentoum,2014-01-01,161286.0,1.0,130642.0,24193.0,6451.0,0.0,0.0,6451.0
Tambacounda,Tambacounda,2014-01-01,297333.0,2.0,89200.0,160560.0,44600.0,2973.0,0.0,47573.0
Thies,Mbour,2014-01-01,655606.0,1.0,557265.0,91785.0,6556.0,0.0,0.0,6556.0
Thies,Thies,2014-01-01,669764.0,1.0,555904.0,100465.0,13395.0,0.0,0.0,13395.0
Thies,Tivaouane,2014-01-01,514031.0,2.0,359822.0,128508.0,25702.0,0.0,0.0,25702.0
Ziguinchor,Bignona,2014-01-01,351693.0,2.0,211016.0,105508.0,31652.0,3517.0,0.0,35169.0
Ziguinchor,Oussouye,2014-01-01,71616.0,2.0,46550.0,20052.0,5013.0,0.0,0.0,5013.0
Ziguinchor,Ziguinchor,2014-01-01,364537.0,2.0,251531.0,91134.0,21872.0,0.0,0.0,21872.0
Sedhiou,Bounkiling,2014-01-01,124176.0,2.0,73264.0,38495.0,12418.0,0.0,0.0,12418.0
