date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default,year,label,cmnameshort,scaling,interpolated,x
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,,0.0,#item+label,#item+name+short,,,
2015-01-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-02-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-03-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-04-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-05-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-06-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-07-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-08-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-09-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-10-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-11-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
2015-12-15,Beans (niebe) - Retail,KG,pulses and nuts,650.0,,,,,,,120,,,5,,,,Beans (niebe) - Retail (KG),Beans niebe,1.0,1.0,
