ISO3,Country,Region,Service Type,Year,Coverage,Service level
SEN,Senegal,Fatick,Sanitation,2015,33.95632,Unimproved
SEN,Senegal,Kaffrine,Drinking water,2015,76.72918,At least basic
SEN,Senegal,Kaffrine,Sanitation,2015,24.94116,At least basic
SEN,Senegal,Kaffrine,Hygiene,2015,4.53524,Basic service
SEN,Senegal,Kaffrine,Drinking water,2015,5.04501,Limited service
SEN,Senegal,Kaffrine,Hygiene,2015,19.30355,Limited service
SEN,Senegal,Kaffrine,Sanitation,2015,8.20025,Limited service
SEN,Senegal,Kaffrine,Hygiene,2015,76.16121,No handwashing facility
SEN,Senegal,Kaffrine,Sanitation,2015,31.10197,Open defecation
SEN,Senegal,Kaffrine,Drinking water,2015,0,Surface water
SEN,Senegal,Kaffrine,Drinking water,2015,18.22581,Unimproved
SEN,Senegal,Kaffrine,Sanitation,2015,35.75662,Unimproved
SEN,Senegal,Kaolack,Drinking water,2015,79.33817,At least basic
SEN,Senegal,Kaolack,Sanitation,2015,37.11624,At least basic
SEN,Senegal,Kaolack,Hygiene,2015,7.98575,Basic service
SEN,Senegal,Kaolack,Drinking water,2015,4.01233,Limited service
SEN,Senegal,Kaolack,Hygiene,2015,16.48431,Limited service
SEN,Senegal,Kaolack,Sanitation,2015,8.49362,Limited service
SEN,Senegal,Kaolack,Hygiene,2015,75.52994,No handwashing facility
SEN,Senegal,Kaolack,Sanitation,2015,21.02445,Open defecation
SEN,Senegal,Kaolack,Drinking water,2015,0.22336,Surface water
SEN,Senegal,Kaolack,Drinking water,2015,16.42614,Unimproved
SEN,Senegal,Kaolack,Sanitation,2015,33.36568,Unimproved
SEN,Senegal,Kedougou,Drinking water,2015,71.55422,At least basic
SEN,Senegal,Kedougou,Sanitation,2015,11.45644,At least basic
SEN,Senegal,Kedougou,Hygiene,2015,7.68703,Basic service
SEN,Senegal,Kedougou,Drinking water,2015,9.58368,Limited service
SEN,Senegal,Kedougou,Hygiene,2015,14.50008,Limited service
SEN,Senegal,Kedougou,Sanitation,2015,5.3122,Limited service
SEN,Senegal,Kedougou,Hygiene,2015,77.8129,No handwashing facility
SEN,Senegal,Kedougou,Sanitation,2015,31.08214,Open defecation
SEN,Senegal,Kedougou,Drinking water,2015,2.56883,Surface water
SEN,Senegal,Kedougou,Drinking water,2015,16.29328,Unimproved
SEN,Senegal,Kedougou,Sanitation,2015,52.14922,Unimproved
SEN,Senegal,Kolda,Drinking water,2015,19.64764,At least basic
SEN,Senegal,Kolda,Sanitation,2015,13.99864,At least basic
SEN,Senegal,Kolda,Hygiene,2015,2.63315,Basic service
SEN,Senegal,Kolda,Drinking water,2015,0.79901,Limited service
SEN,Senegal,Kolda,Hygiene,2015,5.70402,Limited service
SEN,Senegal,Kolda,Sanitation,2015,1.84657,Limited service
SEN,Senegal,Kolda,Hygiene,2015,91.66284,No handwashing facility
SEN,Senegal,Kolda,Sanitation,2015,7.27952,Open defecation
SEN,Senegal,Kolda,Drinking water,2015,0,Surface water
SEN,Senegal,Kolda,Drinking water,2015,79.55336,Unimproved
SEN,Senegal,Kolda,Sanitation,2015,76.87527,Unimproved
SEN,Senegal,Louga,Drinking water,2015,70.26842,At least basic
SEN,Senegal,Louga,Sanitation,2015,57.72354,At least basic
SEN,Senegal,Louga,Hygiene,2015,31.95935,Basic service
SEN,Senegal,Louga,Drinking water,2015,11.55766,Limited service
SEN,Senegal,Louga,Hygiene,2015,2.27111,Limited service
SEN,Senegal,Louga,Sanitation,2015,5.55656,Limited service
SEN,Senegal,Louga,Hygiene,2015,65.76953,No handwashing facility
SEN,Senegal,Louga,Sanitation,2015,28.35654,Open defecation
SEN,Senegal,Louga,Drinking water,2015,0,Surface water
SEN,Senegal,Louga,Drinking water,2015,18.17392,Unimproved
SEN,Senegal,Louga,Sanitation,2015,8.36336,Unimproved
SEN,Senegal,Matam,Drinking water,2015,75.91979,At least basic
SEN,Senegal,Matam,Sanitation,2015,48.04941,At least basic
SEN,Senegal,Matam,Hygiene,2015,29.89457,Basic service
SEN,Senegal,Matam,Drinking water,2015,4.88376,Limited service
SEN,Senegal,Matam,Hygiene,2015,3.78034,Limited service
SEN,Senegal,Matam,Sanitation,2015,8.57136,Limited service
SEN,Senegal,Matam,Hygiene,2015,66.32509,No handwashing facility
SEN,Senegal,Matam,Sanitation,2015,28.66489,Open defecation
SEN,Senegal,Matam,Drinking water,2015,0.58024,Surface water
SEN,Senegal,Matam,Drinking water,2015,18.61622,Unimproved
SEN,Senegal,Matam,Sanitation,2015,14.71434,Unimproved
SEN,Senegal,Saint-Louis,Drinking water,2015,83.5822,At least basic
SEN,Senegal,Saint-Louis,Sanitation,2015,50.48635,At least basic
SEN,Senegal,Saint-Louis,Hygiene,2015,33.75381,Basic service
SEN,Senegal,Saint-Louis,Drinking water,2015,4.1628,Limited service
SEN,Senegal,Saint-Louis,Hygiene,2015,1.98179,Limited service
SEN,Senegal,Saint-Louis,Sanitation,2015,8.54142,Limited service
SEN,Senegal,Saint-Louis,Hygiene,2015,64.2644,No handwashing facility
SEN,Senegal,Saint-Louis,Sanitation,2015,16.51855,Open defecation
SEN,Senegal,Saint-Louis,Drinking water,2015,0,Surface water
SEN,Senegal,Saint-Louis,Drinking water,2015,12.255,Unimproved
SEN,Senegal,Saint-Louis,Sanitation,2015,24.45368,Unimproved
SEN,Senegal,Sedhiou,Drinking water,2015,20.06806,At least basic
SEN,Senegal,Sedhiou,Sanitation,2015,10.91883,At least basic
SEN,Senegal,Sedhiou,Hygiene,2015,9.85796,Basic service
SEN,Senegal,Sedhiou,Drinking water,2015,3.05847,Limited service
SEN,Senegal,Sedhiou,Hygiene,2015,4.81062,Limited service
SEN,Senegal,Sedhiou,Sanitation,2015,1.92697,Limited service
SEN,Senegal,Sedhiou,Hygiene,2015,85.33142,No handwashing facility
SEN,Senegal,Sedhiou,Sanitation,2015,6.20457,Open defecation
SEN,Senegal,Sedhiou,Drinking water,2015,0,Surface water
SEN,Senegal,Sedhiou,Drinking water,2015,76.87347,Unimproved
SEN,Senegal,Sedhiou,Sanitation,2015,80.94963,Unimproved
SEN,Senegal,Tambacounda,Drinking water,2015,48.88159,At least basic
SEN,Senegal,Tambacounda,Sanitation,2015,14.39037,At least basic
SEN,Senegal,Tambacounda,Hygiene,2015,1.88662,Basic service
SEN,Senegal,Tambacounda,Drinking water,2015,2.07621,Limited service
SEN,Senegal,Tambacounda,Hygiene,2015,10.04949,Limited service
SEN,Senegal,Tambacounda,Sanitation,2015,6.62832,Limited service
SEN,Senegal,Tambacounda,Hygiene,2015,88.06389,No handwashing facility
SEN,Senegal,Tambacounda,Sanitation,2015,14.21484,Open defecation
SEN,Senegal,Tambacounda,Drinking water,2015,0,Surface water
SEN,Senegal,Tambacounda,Drinking water,2015,49.0422,Unimproved
SEN,Senegal,Tambacounda,Sanitation,2015,64.76648,Unimproved
SEN,Senegal,ThièS,Drinking water,2015,87.75315,At least basic
SEN,Senegal,ThièS,Sanitation,2015,65.81017,At least basic
SEN,Senegal,ThièS,Hygiene,2015,6.94664,Basic service
SEN,Senegal,ThièS,Drinking water,2015,3.38346,Limited service
SEN,Senegal,ThièS,Hygiene,2015,3.68863,Limited service
SEN,Senegal,ThièS,Sanitation,2015,14.63885,Limited service
SEN,Senegal,ThièS,Hygiene,2015,89.36472,No handwashing facility
SEN,Senegal,ThièS,Sanitation,2015,9.89782,Open defecation
SEN,Senegal,ThièS,Drinking water,2015,0,Surface water
SEN,Senegal,ThièS,Drinking water,2015,8.86338,Unimproved
SEN,Senegal,ThièS,Sanitation,2015,9.65317,Unimproved
SEN,Senegal,Ziguinchor,Drinking water,2015,33.82268,At least basic
SEN,Senegal,Ziguinchor,Sanitation,2015,28.01574,At least basic
SEN,Senegal,Ziguinchor,Hygiene,2015,9.58754,Basic service
SEN,Senegal,Ziguinchor,Drinking water,2015,0.84167,Limited service
SEN,Senegal,Ziguinchor,Hygiene,2015,5.38791,Limited service
SEN,Senegal,Ziguinchor,Sanitation,2015,11.42393,Limited service
SEN,Senegal,Ziguinchor,Hygiene,2015,85.02455,No handwashing facility
SEN,Senegal,Ziguinchor,Sanitation,2015,7.07174,Open defecation
SEN,Senegal,Ziguinchor,Drinking water,2015,0,Surface water
SEN,Senegal,Ziguinchor,Drinking water,2015,65.33565,Unimproved
SEN,Senegal,Ziguinchor,Sanitation,2015,53.48859,Unimproved
SEN,Senegal,Dakar,Drinking water,2013,96.32856,At least basic
SEN,Senegal,Dakar,Sanitation,2013,57.26121,At least basic
SEN,Senegal,Dakar,Hygiene,2013,21.81795,Basic service
SEN,Senegal,Dakar,Drinking water,2013,1.86569,Limited service
SEN,Senegal,Dakar,Hygiene,2013,24.88162,Limited service
SEN,Senegal,Dakar,Sanitation,2013,41.33799,Limited service
SEN,Senegal,Dakar,Hygiene,2013,53.30042,No handwashing facility
SEN,Senegal,Dakar,Sanitation,2013,0.12016,Open defecation
SEN,Senegal,Dakar,Drinking water,2013,0,Surface water
SEN,Senegal,Dakar,Drinking water,2013,1.80575,Unimproved
SEN,Senegal,Dakar,Sanitation,2013,1.28063,Unimproved
SEN,Senegal,Diourbel,Drinking water,2013,87.99383,At least basic
SEN,Senegal,Diourbel,Sanitation,2013,62.74311,At least basic
SEN,Senegal,Diourbel,Hygiene,2013,5.12091,Basic service
SEN,Senegal,Diourbel,Drinking water,2013,7.75571,Limited service
SEN,Senegal,Diourbel,Hygiene,2013,12.93686,Limited service
SEN,Senegal,Diourbel,Sanitation,2013,5.12948,Limited service
SEN,Senegal,Diourbel,Hygiene,2013,81.94223,No handwashing facility
SEN,Senegal,Diourbel,Sanitation,2013,23.01604,Open defecation
SEN,Senegal,Diourbel,Drinking water,2013,0,Surface water
SEN,Senegal,Diourbel,Drinking water,2013,4.25046,Unimproved
SEN,Senegal,Diourbel,Sanitation,2013,9.11138,Unimproved
SEN,Senegal,Fatick,Drinking water,2013,70.30798,At least basic
SEN,Senegal,Fatick,Sanitation,2013,36.7005,At least basic
SEN,Senegal,Fatick,Hygiene,2013,6.46155,Basic service
SEN,Senegal,Fatick,Drinking water,2013,3.00587,Limited service
SEN,Senegal,Fatick,Hygiene,2013,14.78137,Limited service
SEN,Senegal,Fatick,Sanitation,2013,10.59735,Limited service
SEN,Senegal,Fatick,Hygiene,2013,78.75708,No handwashing facility
SEN,Senegal,Fatick,Sanitation,2013,25.19683,Open defecation
SEN,Senegal,Fatick,Drinking water,2013,0,Surface water
SEN,Senegal,Fatick,Drinking water,2013,26.68615,Unimproved
SEN,Senegal,Fatick,Sanitation,2013,27.50532,Unimproved
SEN,Senegal,Kaffrine,Drinking water,2013,79.426,At least basic
SEN,Senegal,Kaffrine,Sanitation,2013,16.73117,At least basic
SEN,Senegal,Kaffrine,Hygiene,2013,1.20339,Basic service
SEN,Senegal,Kaffrine,Drinking water,2013,3.56878,Limited service
SEN,Senegal,Kaffrine,Hygiene,2013,4.2879,Limited service
SEN,Senegal,Kaffrine,Sanitation,2013,4.74422,Limited service
SEN,Senegal,Kaffrine,Hygiene,2013,94.50871,No handwashing facility
SEN,Senegal,Kaffrine,Sanitation,2013,55.96644,Open defecation
SEN,Senegal,Kaffrine,Drinking water,2013,0,Surface water
SEN,Senegal,Kaffrine,Drinking water,2013,17.00522,Unimproved
SEN,Senegal,Kaffrine,Sanitation,2013,22.55817,Unimproved
SEN,Senegal,Kaolack,Drinking water,2013,76.9265,At least basic
SEN,Senegal,Kaolack,Sanitation,2013,44.62558,At least basic
SEN,Senegal,Kaolack,Hygiene,2013,5.87069,Basic service
SEN,Senegal,Kaolack,Drinking water,2013,1.33037,Limited service
SEN,Senegal,Kaolack,Hygiene,2013,13.99554,Limited service
SEN,Senegal,Kaolack,Sanitation,2013,15.66344,Limited service
SEN,Senegal,Kaolack,Hygiene,2013,80.13377,No handwashing facility
SEN,Senegal,Kaolack,Sanitation,2013,21.27901,Open defecation
SEN,Senegal,Kaolack,Drinking water,2013,0,Surface water
SEN,Senegal,Kaolack,Drinking water,2013,21.74313,Unimproved
SEN,Senegal,Kaolack,Sanitation,2013,18.43197,Unimproved
SEN,Senegal,Kedougou,Drinking water,2013,54.77243,At least basic
SEN,Senegal,Kedougou,Sanitation,2013,17.2882,At least basic
SEN,Senegal,Kedougou,Hygiene,2013,16.31346,Basic service
SEN,Senegal,Kedougou,Drinking water,2013,6.76963,Limited service
SEN,Senegal,Kedougou,Hygiene,2013,13.47065,Limited service
SEN,Senegal,Kedougou,Sanitation,2013,4.36626,Limited service
SEN,Senegal,Kedougou,Hygiene,2013,70.21589,No handwashing facility
SEN,Senegal,Kedougou,Sanitation,2013,30.29903,Open defecation
SEN,Senegal,Kedougou,Drinking water,2013,4.11119,Surface water
SEN,Senegal,Kedougou,Drinking water,2013,34.34675,Unimproved
SEN,Senegal,Kedougou,Sanitation,2013,48.04652,Unimproved
SEN,Senegal,Kolda,Drinking water,2013,22.89049,At least basic
SEN,Senegal,Kolda,Sanitation,2013,18.22273,At least basic
SEN,Senegal,Kolda,Hygiene,2013,16.66808,Basic service
SEN,Senegal,Kolda,Drinking water,2013,0.44334,Limited service
SEN,Senegal,Kolda,Hygiene,2013,20.47227,Limited service
SEN,Senegal,Kolda,Sanitation,2013,3.16952,Limited service
SEN,Senegal,Kolda,Hygiene,2013,62.85964,No handwashing facility
SEN,Senegal,Kolda,Sanitation,2013,13.67827,Open defecation
SEN,Senegal,Kolda,Drinking water,2013,0,Surface water
SEN,Senegal,Kolda,Drinking water,2013,76.66616,Unimproved
SEN,Senegal,Kolda,Sanitation,2013,64.92948,Unimproved
SEN,Senegal,Louga,Drinking water,2013,75.88385,At least basic
SEN,Senegal,Louga,Sanitation,2013,61.78138,At least basic
SEN,Senegal,Louga,Hygiene,2013,6.66234,Basic service
SEN,Senegal,Louga,Drinking water,2013,16.3201,Limited service
SEN,Senegal,Louga,Hygiene,2013,0.61528,Limited service
SEN,Senegal,Louga,Sanitation,2013,2.68315,Limited service
SEN,Senegal,Louga,Hygiene,2013,92.72237,No handwashing facility
SEN,Senegal,Louga,Sanitation,2013,28.17701,Open defecation
SEN,Senegal,Louga,Drinking water,2013,0.88442,Surface water
SEN,Senegal,Louga,Drinking water,2013,6.91163,Unimproved
SEN,Senegal,Louga,Sanitation,2013,7.35846,Unimproved
SEN,Senegal,Matam,Drinking water,2013,69.29423,At least basic
SEN,Senegal,Matam,Sanitation,2013,31.77679,At least basic
SEN,Senegal,Matam,Hygiene,2013,4.2806,Basic service
SEN,Senegal,Matam,Drinking water,2013,3.49383,Limited service
SEN,Senegal,Matam,Hygiene,2013,0.70753,Limited service
SEN,Senegal,Matam,Sanitation,2013,9.07623,Limited service
SEN,Senegal,Matam,Hygiene,2013,95.01187,No handwashing facility
SEN,Senegal,Matam,Sanitation,2013,38.88183,Open defecation
SEN,Senegal,Matam,Drinking water,2013,1.48013,Surface water
SEN,Senegal,Matam,Drinking water,2013,25.73181,Unimproved
SEN,Senegal,Matam,Sanitation,2013,20.26515,Unimproved
SEN,Senegal,Saint-Louis,Drinking water,2013,79.11175,At least basic
