field_1,field_2,field_3,GID_0,NAME_0
"97",16.6200008392334,-15.0299997329712,SEN,Senegal
"98",16.6200008392334,-14.9300003051758,SEN,Senegal
"99",16.6200008392334,-14.8299999237061,SEN,Senegal
"100",16.6200008392334,-14.7299995422363,SEN,Senegal
"101",16.6200008392334,-14.6300001144409,SEN,Senegal
"102",16.6200008392334,-14.5299997329712,SEN,Senegal
"103",16.6200008392334,-14.4300003051758,SEN,Senegal
"104",16.6200008392334,-14.3299999237061,SEN,Senegal
"152",16.5200004577637,-16.2299995422363,SEN,Senegal
"153",16.5200004577637,-16.1299991607666,SEN,Senegal
"155",16.5200004577637,-15.9300003051758,SEN,Senegal
"158",16.5200004577637,-15.6300001144409,SEN,Senegal
"160",16.5200004577637,-15.4300003051758,SEN,Senegal
"161",16.5200004577637,-15.3299999237061,SEN,Senegal
"162",16.5200004577637,-15.2299995422363,SEN,Senegal
"163",16.5200004577637,-15.1300001144409,SEN,Senegal
"164",16.5200004577637,-15.0299997329712,SEN,Senegal
"165",16.5200004577637,-14.9300003051758,SEN,Senegal
"166",16.5200004577637,-14.8299999237061,SEN,Senegal
"167",16.5200004577637,-14.7299995422363,SEN,Senegal
"168",16.5200004577637,-14.6300001144409,SEN,Senegal
"169",16.5200004577637,-14.5299997329712,SEN,Senegal
"170",16.5200004577637,-14.4300003051758,SEN,Senegal
"171",16.5200004577637,-14.3299999237061,SEN,Senegal
"172",16.5200004577637,-14.2299995422363,SEN,Senegal
"219",16.4200000762939,-16.2299995422363,SEN,Senegal
"220",16.4200000762939,-16.1299991607666,SEN,Senegal
"221",16.4200000762939,-16.0300006866455,SEN,Senegal
"222",16.4200000762939,-15.9300003051758,SEN,Senegal
"223",16.4200000762939,-15.8299999237061,SEN,Senegal
"224",16.4200000762939,-15.7299995422363,SEN,Senegal
"225",16.4200000762939,-15.6300001144409,SEN,Senegal
"226",16.4200000762939,-15.5299997329712,SEN,Senegal
"227",16.4200000762939,-15.4300003051758,SEN,Senegal
"228",16.4200000762939,-15.3299999237061,SEN,Senegal
"229",16.4200000762939,-15.2299995422363,SEN,Senegal
"230",16.4200000762939,-15.1300001144409,SEN,Senegal
"231",16.4200000762939,-15.0299997329712,SEN,Senegal
"232",16.4200000762939,-14.9300003051758,SEN,Senegal
"233",16.4200000762939,-14.8299999237061,SEN,Senegal
"234",16.4200000762939,-14.7299995422363,SEN,Senegal
