date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2007-01-15,Maize (local) - Retail,KG,cereals and tubers,160.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-03-15,Maize (local) - Retail,KG,cereals and tubers,100.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-04-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-05-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-07-15,Maize (local) - Retail,KG,cereals and tubers,190.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-08-15,Maize (local) - Retail,KG,cereals and tubers,190.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-09-15,Maize (local) - Retail,KG,cereals and tubers,190.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-10-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2007-11-15,Maize (local) - Retail,KG,cereals and tubers,187.5,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-02-15,Maize (local) - Retail,KG,cereals and tubers,150.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-03-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-04-15,Maize (local) - Retail,KG,cereals and tubers,186.6667,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-05-15,Maize (local) - Retail,KG,cereals and tubers,203.3333,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-06-15,Maize (local) - Retail,KG,cereals and tubers,260.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-07-15,Maize (local) - Retail,KG,cereals and tubers,212.5,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-08-15,Maize (local) - Retail,KG,cereals and tubers,250.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-09-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-10-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-11-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2008-12-15,Maize (local) - Retail,KG,cereals and tubers,158.3333,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-01-15,Maize (local) - Retail,KG,cereals and tubers,150.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-02-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-03-15,Maize (local) - Retail,KG,cereals and tubers,225.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-04-15,Maize (local) - Retail,KG,cereals and tubers,225.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-05-15,Maize (local) - Retail,KG,cereals and tubers,225.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-06-15,Maize (local) - Retail,KG,cereals and tubers,216.6667,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-07-15,Maize (local) - Retail,KG,cereals and tubers,225.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-08-15,Maize (local) - Retail,KG,cereals and tubers,225.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-09-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-10-15,Maize (local) - Retail,KG,cereals and tubers,225.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-11-15,Maize (local) - Retail,KG,cereals and tubers,225.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
2009-12-15,Maize (local) - Retail,KG,cereals and tubers,200.0,XOF,Senegal,Kedougou,1374,Kedougou,419,56,15,5,1,419_56_15_5,
