,adm1_name,year,dec_day,variable,value
0,Kolda,2012,0,Rainfall,0.0
1,Kolda,2012,10,Rainfall,0.0
2,Kolda,2012,20,Rainfall,0.0
3,Kolda,2012,30,Rainfall,0.0
4,Kolda,2012,40,Rainfall,0.0
5,Kolda,2012,50,Rainfall,0.0
6,Kolda,2012,60,Rainfall,0.0
7,Kolda,2012,70,Rainfall,0.0
8,Kolda,2012,80,Rainfall,0.0
9,Kolda,2012,90,Rainfall,0.052000000000000005
10,Kolda,2012,100,Rainfall,0.097
11,Kolda,2012,110,Rainfall,1.073
12,Kolda,2012,120,Rainfall,3.638
13,Kolda,2012,130,Rainfall,14.573
14,Kolda,2012,140,Rainfall,12.496
15,Kolda,2012,150,Rainfall,3.58
16,Kolda,2012,160,Rainfall,45.088
17,Kolda,2012,170,Rainfall,68.907
18,Kolda,2012,180,Rainfall,50.773
19,Kolda,2012,190,Rainfall,53.732
20,Kolda,2012,200,Rainfall,76.58
21,Kolda,2012,210,Rainfall,59.584
22,Kolda,2012,220,Rainfall,56.487
23,Kolda,2012,230,Rainfall,108.054
24,Kolda,2012,240,Rainfall,99.585
25,Kolda,2012,250,Rainfall,57.576
26,Kolda,2012,260,Rainfall,123.999
27,Kolda,2012,270,Rainfall,22.554
28,Kolda,2012,280,Rainfall,21.067
29,Kolda,2012,290,Rainfall,10.95
30,Kolda,2012,300,Rainfall,1.6769999999999998
31,Kolda,2012,310,Rainfall,0.194
32,Kolda,2012,320,Rainfall,0.0
33,Kolda,2012,330,Rainfall,0.34
34,Kolda,2012,340,Rainfall,0.069
35,Kolda,2012,350,Rainfall,0.066
36,Kolda,2013,0,Rainfall,0.0
37,Kolda,2013,10,Rainfall,0.0
38,Kolda,2013,20,Rainfall,0.0
39,Kolda,2013,30,Rainfall,0.0
40,Kolda,2013,40,Rainfall,0.0
41,Kolda,2013,50,Rainfall,0.0
42,Kolda,2013,60,Rainfall,0.0
43,Kolda,2013,70,Rainfall,0.0
44,Kolda,2013,80,Rainfall,0.0
45,Kolda,2013,90,Rainfall,0.052000000000000005
46,Kolda,2013,100,Rainfall,0.097
47,Kolda,2013,110,Rainfall,1.164
48,Kolda,2013,120,Rainfall,1.769
49,Kolda,2013,130,Rainfall,3.635
50,Kolda,2013,140,Rainfall,9.001
51,Kolda,2013,150,Rainfall,28.727
52,Kolda,2013,160,Rainfall,22.854
53,Kolda,2013,170,Rainfall,23.677
54,Kolda,2013,180,Rainfall,39.457
55,Kolda,2013,190,Rainfall,31.079
56,Kolda,2013,200,Rainfall,58.457
57,Kolda,2013,210,Rainfall,127.8
58,Kolda,2013,220,Rainfall,48.6
59,Kolda,2013,230,Rainfall,172.25599999999997
60,Kolda,2013,240,Rainfall,121.058
61,Kolda,2013,250,Rainfall,96.513
62,Kolda,2013,260,Rainfall,37.683
63,Kolda,2013,270,Rainfall,29.559
64,Kolda,2013,280,Rainfall,21.629
65,Kolda,2013,290,Rainfall,15.449000000000002
66,Kolda,2013,300,Rainfall,1.902
67,Kolda,2013,310,Rainfall,0.126
68,Kolda,2013,320,Rainfall,0.0
69,Kolda,2013,330,Rainfall,0.343
70,Kolda,2013,340,Rainfall,0.069
71,Kolda,2013,350,Rainfall,0.066
72,Kolda,2014,0,Rainfall,0.0
73,Kolda,2014,10,Rainfall,0.0
74,Kolda,2014,20,Rainfall,0.0
75,Kolda,2014,30,Rainfall,0.0
76,Kolda,2014,40,Rainfall,0.0
77,Kolda,2014,50,Rainfall,0.0
78,Kolda,2014,60,Rainfall,0.0
79,Kolda,2014,70,Rainfall,0.0
80,Kolda,2014,80,Rainfall,0.0
81,Kolda,2014,90,Rainfall,0.052000000000000005
82,Kolda,2014,100,Rainfall,0.097
83,Kolda,2014,110,Rainfall,1.155
84,Kolda,2014,120,Rainfall,2.437
85,Kolda,2014,130,Rainfall,5.4460000000000015
86,Kolda,2014,140,Rainfall,14.863
87,Kolda,2014,150,Rainfall,31.959
88,Kolda,2014,160,Rainfall,17.94
89,Kolda,2014,170,Rainfall,14.088
90,Kolda,2014,180,Rainfall,37.469
91,Kolda,2014,190,Rainfall,46.48
92,Kolda,2014,200,Rainfall,30.436
93,Kolda,2014,210,Rainfall,58.769
94,Kolda,2014,220,Rainfall,81.122
95,Kolda,2014,230,Rainfall,59.331
96,Kolda,2014,240,Rainfall,57.402
97,Kolda,2014,250,Rainfall,80.62100000000002
98,Kolda,2014,260,Rainfall,46.721
99,Kolda,2014,270,Rainfall,57.271
100,Kolda,2014,280,Rainfall,14.203
101,Kolda,2014,290,Rainfall,21.293000000000006
102,Kolda,2014,300,Rainfall,1.324
