KEY,ID_menage,crops_cult1 irrigated rice,season_cult1,Area planted,Quantity produced (Kg),Yield,Department,Counties,Village,gpslat,gpslon,ndvi
uuid:05583819-bbbb-48cf-831f-90837030102a,5.58E+38,CSC Irrigated Rice,3,2.25,2500.0,1.1111111111111112,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77545833,-13.46824833,"[0.21531711518764496, 0.22808057069778442, 0.23005390167236328, 0.20587685704231262, 0.20784977078437805, 0.19770611822605133, 0.2027694582939148, 0.20225408673286438, 0.20316633582115173, 0.19982510805130005, 0.19502034783363342, 0.19650042057037354, 0.18705898523330688, 0.18334625661373138, 0.173722505569458, 0.18328186869621277, 0.18957935273647308, 0.18071340024471283, 0.1686229407787323, 0.17211198806762695, 0.1685723215341568, 0.15709033608436584, 0.15982027351856232, 0.17092286050319672, 0.23775291442871094, 0.24348239600658417, 0.21843883395195007, 0.2326602190732956, 0.3271433711051941, 0.34858524799346924, 0.28648287057876587, 0.27731168270111084, 0.3034900426864624, 0.3103594183921814, 0.2655733525753021, 0.23233628273010254, 0.23898282647132874, 0.2272406369447708, 0.21547278761863708, 0.21095508337020874, 0.21689121425151825, 0.21693244576454163, 0.1915479302406311, 0.21432217955589294, 0.20839717984199524, 0.17719480395317078]"
uuid:826eea2b-e840-428c-bfc0-3322b56a4354,8.27E+39,CSC Irrigated Rice,2,8.0,53300.0,6.6625000000000005,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39949833,-16.07573667,"[0.23804669082164764, 0.23205269873142242, 0.23532941937446594, 0.2274378389120102, 0.21633698046207428, 0.18765628337860107, 0.1723196655511856, 0.15581576526165009, 0.16971327364444733, 0.18763647973537445, 0.22800157964229584, 0.2925466001033783, 0.30947285890579224, 0.3592235743999481, 0.407901793718338, 0.43996769189834595, 0.45798835158348083, 0.5092782378196716, 0.44814497232437134, 0.40706393122673035, 0.4006043076515198, 0.40694478154182434, 0.31196144223213196, 0.3091958463191986, 0.2780887484550476, 0.26510435342788696, 0.24923647940158844, 0.22342903912067413, 0.21213461458683014, 0.200342059135437, 0.22269956767559052, 0.25512391328811646, 0.3119944930076599, 0.36426860094070435, 0.40900933742523193, 0.43149077892303467, 0.4448077082633972, 0.4356655478477478, 0.4480906128883362, 0.42658671736717224, 0.4153377413749695, 0.3855305314064026, 0.3795790672302246, 0.28573328256607056, 0.2589930593967438, 0.252579927444458]"
uuid:abcf1d41-bab2-4340-a7c8-03e610962e46,1.24E+39,CSC Irrigated Rice,2,0.400000006,2820,7.049999895,DAGANA,BOKHOL,BOKHOL,16.52277833,-15.39927,"[0.28570595383644104, 0.2976361811161041, 0.3199136257171631, 0.3330152928829193, 0.32492077350616455, 0.31768521666526794, 0.32876408100128174, 0.3172757625579834, 0.32785701751708984, 0.3234972655773163, 0.31464749574661255, 0.3115766942501068, 0.32015877962112427, 0.2815682291984558, 0.2755694091320038, 0.2965361475944519, 0.2982519268989563, 0.3282069265842438, 0.27850285172462463, 0.2807956635951996, 0.2766056954860687, 0.2237522453069687, 0.24858485162258148, 0.28130054473876953, 0.26356256008148193, 0.2583743631839752, 0.23837241530418396, 0.20781096816062927, 0.26923084259033203, 0.3218532204627991, 0.34740573167800903, 0.3630572557449341, 0.3965877294540405, 0.40500733256340027, 0.37141990661621094, 0.3872898519039154, 0.3954285979270935, 0.36072584986686707, 0.3635723292827606, 0.33194878697395325, 0.3501884639263153, 0.32967519760131836, 0.28983044624328613, 0.30049604177474976, 0.2874562442302704, 0.28133144974708557]"
uuid:ab37f2a6-51f4-41c2-9ff4-9d30d66c358e,1.24E+39,CSC Irrigated Rice,2,2.0,7200.0,3.6,DAGANA,RONKH,H3 KEUR L ISLAM,16.34193167,-16.00491667,"[0.2403206080198288, 0.23456119000911713, 0.23580370843410492, 0.2297743558883667, 0.22120369970798492, 0.2047567069530487, 0.20089061558246613, 0.19144149124622345, 0.2018069326877594, 0.2064749151468277, 0.2146073579788208, 0.22361958026885986, 0.23934566974639893, 0.24788910150527954, 0.2604919970035553, 0.2845166027545929, 0.2931983172893524, 0.32145726680755615, 0.2961747646331787, 0.28220751881599426, 0.2826143801212311, 0.28245627880096436, 0.25263169407844543, 0.2643553912639618, 0.24200956523418427, 0.23455433547496796, 0.22117716073989868, 0.2159489244222641, 0.20813797414302826, 0.20548543334007263, 0.20783229172229767, 0.2225503921508789, 0.26150816679000854, 0.3133755922317505, 0.3557923138141632, 0.36969923973083496, 0.3803861141204834, 0.3816613554954529, 0.3898996114730835, 0.3756152391433716, 0.36527755856513977, 0.3546651303768158, 0.34931936860084534, 0.27839505672454834, 0.25552207231521606, 0.2434144914150238]"
uuid:3513b03f-dde4-4f87-88a3-44e34125b968,3.51E+39,CSC Irrigated Rice,2,2.0,14160.0,7.08,DAGANA,RONKH,H3 KEUR L ISLAM,16.34223667,-16.00418167,"[0.24063625931739807, 0.2345520555973053, 0.23588895797729492, 0.22987808287143707, 0.22146089375019073, 0.20511314272880554, 0.20154832303524017, 0.19232036173343658, 0.20290644466876984, 0.20709112286567688, 0.21506209671497345, 0.2232605218887329, 0.23846209049224854, 0.2455180138349533, 0.257569283246994, 0.28134286403656006, 0.28940674662590027, 0.3172915279865265, 0.29210302233695984, 0.2792077958583832, 0.2793366014957428, 0.27982407808303833, 0.2501400113105774, 0.2619839012622833, 0.2406432032585144, 0.233326256275177, 0.22022956609725952, 0.21508726477622986, 0.2089187204837799, 0.2048557698726654, 0.20686686038970947, 0.22072508931159973, 0.25883904099464417, 0.311033695936203, 0.35366156697273254, 0.36818185448646545, 0.37950992584228516, 0.38112425804138184, 0.3897821307182312, 0.37417516112327576, 0.3654383718967438, 0.35511887073516846, 0.34975478053092957, 0.2789022922515869, 0.2558751106262207, 0.24372144043445587]"
uuid:fd70b670-3b98-4804-8a26-129b77ba2aa4,6.47E+39,CSC Irrigated Rice,2,2.0,7200.0,3.6,DAGANA,RONKH,H3 KEUR L ISLAM,16.34232,-16.00423333,"[0.2407248467206955, 0.2346998006105423, 0.23596665263175964, 0.22997990250587463, 0.22137480974197388, 0.20512770116329193, 0.2014887034893036, 0.19234654307365417, 0.20315274596214294, 0.20772090554237366, 0.21527531743049622, 0.2234831154346466, 0.238882914185524, 0.2457115650177002, 0.2580476701259613, 0.281623512506485, 0.2899154722690582, 0.3174836039543152, 0.2921992242336273, 0.2796458303928375, 0.279601514339447, 0.27942514419555664, 0.2501170039176941, 0.2620660960674286, 0.24107027053833008, 0.23369093239307404, 0.22073236107826233, 0.21512405574321747, 0.2090822011232376, 0.2041529417037964, 0.20692114531993866, 0.2211146503686905, 0.25919094681739807, 0.3109103739261627, 0.35293135046958923, 0.36729562282562256, 0.37898126244544983, 0.380083829164505, 0.388810932636261, 0.37344831228256226, 0.36505594849586487, 0.354292631149292, 0.3489570915699005, 0.27824896574020386, 0.2555695176124573, 0.2434549480676651]"
uuid:8248df92-09ce-45a7-a7a7-11d359526f46,8.25E+39,CSC Irrigated Rice,2,3.0299999712,26499.6,8.745742657385275,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.40089833,-16.075425,"[0.23776933550834656, 0.23183168470859528, 0.2351265847682953, 0.22733639180660248, 0.21611465513706207, 0.18725287914276123, 0.17214736342430115, 0.15573306381702423, 0.16963306069374084, 0.1875484138727188, 0.22883880138397217, 0.2932807505130768, 0.3102531135082245, 0.3592948913574219, 0.4079378545284271, 0.4401066303253174, 0.45774903893470764, 0.508384108543396, 0.4471089243888855, 0.40564578771591187, 0.39945510029792786, 0.40591961145401, 0.31073197722435, 0.3080601692199707, 0.27707839012145996, 0.2641559839248657, 0.2486739605665207, 0.2228311002254486, 0.21189309656620026, 0.19909438490867615, 0.2213679403066635, 0.2539786398410797, 0.31096646189689636, 0.3631356358528137, 0.40833625197410583, 0.4314294457435608, 0.44591692090034485, 0.43677589297294617, 0.44926682114601135, 0.42788511514663696, 0.4166754484176636, 0.386567622423172, 0.3802378177642822, 0.2860308587551117, 0.2591961622238159, 0.25285789370536804]"
uuid:8afabe0e-34ce-4ed2-af4c-61f9168f1755,8.16E+39,CSC Irrigated Rice,2,1,1650,1.65,DAGANA,MBANE,Keur Mbay Nar,16.47694167,-15.59815,"[0.3586369454860687, 0.3521590530872345, 0.36055317521095276, 0.33901140093803406, 0.33601897954940796, 0.31384700536727905, 0.3205384612083435, 0.3095622956752777, 0.30970507860183716, 0.32011568546295166, 0.31746822595596313, 0.32291659712791443, 0.362894743680954, 0.3230739235877991, 0.3188675343990326, 0.3457109332084656, 0.35080817341804504, 0.38645318150520325, 0.3437199890613556, 0.3397050201892853, 0.33653759956359863, 0.29508259892463684, 0.299135684967041, 0.3450818657875061, 0.3212277591228485, 0.3326279819011688, 0.31332501769065857, 0.2941019535064697, 0.3389483094215393, 0.40192845463752747, 0.41520634293556213, 0.4219055771827698, 0.4384605288505554, 0.44839444756507874, 0.4849032163619995, 0.45180588960647583, 0.4719614088535309, 0.4492014944553375, 0.45173901319503784, 0.41470304131507874, 0.4260326027870178, 0.4110220968723297, 0.4157863259315491, 0.3574589192867279, 0.34434252977371216, 0.34573352336883545]"
uuid:3bc8434e-946a-4dd5-bd7d-6d536c9b3d80,3.24E+39,CSC Irrigated Rice,3,0.400000006,3300,8.249999877,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77333667,-13.46580167,"[0.2181624323129654, 0.22652198374271393, 0.22931379079818726, 0.20850275456905365, 0.21055398881435394, 0.19706130027770996, 0.2051423043012619, 0.2009771764278412, 0.20368337631225586, 0.20007137954235077, 0.19662269949913025, 0.19578292965888977, 0.1860990971326828, 0.18201996386051178, 0.17319311201572418, 0.18252600729465485, 0.187348872423172, 0.17982985079288483, 0.16873891651630402, 0.17141376435756683, 0.16906580328941345, 0.1579207330942154, 0.1603957861661911, 0.17183910310268402, 0.2323557287454605, 0.2356417179107666, 0.2163139283657074, 0.23119935393333435, 0.31504878401756287, 0.3415311276912689, 0.285415381193161, 0.27856987714767456, 0.29708096385002136, 0.29800039529800415, 0.25823819637298584, 0.22643645107746124, 0.2343323975801468, 0.22770319879055023, 0.2123969942331314, 0.21207772195339203, 0.21823492646217346, 0.21766285598278046, 0.19367749989032745, 0.21362587809562683, 0.21024277806282043, 0.17834575474262238]"
uuid:41525569-af46-419c-b800-3935095a1a50,4.15E+39,CSC Irrigated Rice,2,3.8999999762,27768.0,7.120000043450257,DAGANA,RONKH,KHEUNE,16.52282333,-16.10777167,"[0.25471532344818115, 0.24376438558101654, 0.24073602259159088, 0.23076511919498444, 0.22135460376739502, 0.20209963619709015, 0.1988651603460312, 0.18759144842624664, 0.20491619408130646, 0.22577300667762756, 0.24931585788726807, 0.2881852984428406, 0.300355464220047, 0.31797856092453003, 0.3430914580821991, 0.37359729409217834, 0.3822154104709625, 0.42893052101135254, 0.37538543343544006, 0.34602090716362, 0.3306322395801544, 0.34401416778564453, 0.26442161202430725, 0.28848645091056824, 0.24866746366024017, 0.23466524481773376, 0.23544016480445862, 0.20761652290821075, 0.2194938063621521, 0.22742891311645508, 0.2395176887512207, 0.25961214303970337, 0.27733105421066284, 0.300110787153244, 0.32681161165237427, 0.34605202078819275, 0.36555343866348267, 0.3561003506183624, 0.3612319827079773, 0.34719571471214294, 0.3492579758167267, 0.3354795277118683, 0.3343822956085205, 0.2700704038143158, 0.25243788957595825, 0.2467801719903946]"
uuid:ca90b085-d475-4013-bb66-d7793ea6ab29,3.19E+39,CSC Irrigated Rice,2,0.400000006,2160,5.39999992,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.571045,-14.84369167,"[0.27092933654785156, 0.26700299978256226, 0.2764092981815338, 0.27140894532203674, 0.26702648401260376, 0.25308844447135925, 0.2530686557292938, 0.25141435861587524, 0.2590753138065338, 0.25049838423728943, 0.244733989238739, 0.2385493814945221, 0.2403024137020111, 0.20968574285507202, 0.23330873250961304, 0.24570778012275696, 0.25351452827453613, 0.2730129659175873, 0.23135073482990265, 0.22054585814476013, 0.2358473837375641, 0.2487608939409256, 0.2225169986486435, 0.21682235598564148, 0.24760141968727112, 0.23371221125125885, 0.22951218485832214, 0.20412063598632812, 0.21423155069351196, 0.26296648383140564, 0.2866542637348175, 0.30462729930877686, 0.3211537003517151, 0.3178531229496002, 0.2935240864753723, 0.29185327887535095, 0.27810153365135193, 0.27130380272865295, 0.2809407413005829, 0.27078741788864136, 0.2803933322429657, 0.2694539725780487, 0.2608553469181061, 0.25824347138404846, 0.24360541999340057, 0.22604885697364807]"
uuid:36cae58b-dad7-43f2-a676-1ab83d9c3cbc,3.63E+39,CSC Irrigated Rice,2,0.8000000119,2916,3.644999946,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57263833,-14.84367,"[0.2701326310634613, 0.2665838301181793, 0.27546125650405884, 0.2708882987499237, 0.26647239923477173, 0.252408504486084, 0.25232818722724915, 0.2507661283016205, 0.25817665457725525, 0.24974288046360016, 0.24410825967788696, 0.2381936013698578, 0.23965506255626678, 0.2095317244529724, 0.23344282805919647, 0.2456856071949005, 0.2531689405441284, 0.2731577157974243, 0.23161187767982483, 0.22060705721378326, 0.23637598752975464, 0.24876630306243896, 0.22260791063308716, 0.2164313942193985, 0.2475157231092453, 0.23364928364753723, 0.2290562242269516, 0.2039402723312378, 0.21397751569747925, 0.26249057054519653, 0.28603053092956543, 0.30426761507987976, 0.3210012912750244, 0.31774067878723145, 0.29430875182151794, 0.29217857122421265, 0.2783692181110382, 0.2715318500995636, 0.2805846631526947, 0.27058181166648865, 0.27984485030174255, 0.26913002133369446, 0.2605855464935303, 0.25759178400039673, 0.24324914813041687, 0.2256491333246231]"
uuid:4b9e9c3b-24e3-428f-9dc1-75e1d757c088,4.30E+39,CSC Irrigated Rice,2,2.319999933,6210,2.676724215,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57356,-14.843995,"[0.2694719433784485, 0.2662128806114197, 0.2748042941093445, 0.2704646587371826, 0.26608163118362427, 0.2519139051437378, 0.25185754895210266, 0.25029975175857544, 0.2575188875198364, 0.24912843108177185, 0.24354517459869385, 0.23786744475364685, 0.2390550971031189, 0.2093515247106552, 0.23336374759674072, 0.2455987185239792, 0.25272136926651, 0.27328333258628845, 0.23160171508789062, 0.22066223621368408, 0.2367696613073349, 0.2487078160047531, 0.22257588803768158, 0.21648940443992615, 0.2471671849489212, 0.23345249891281128, 0.22864679992198944, 0.20370852947235107, 0.21369658410549164, 0.26197636127471924, 0.2857743799686432, 0.3040302097797394, 0.32093241810798645, 0.3177221119403839, 0.29495325684547424, 0.2927183210849762, 0.2786887288093567, 0.27201753854751587, 0.28036609292030334, 0.270795077085495, 0.27968019247055054, 0.269022136926651, 0.2601650059223175, 0.2572210133075714, 0.24310044944286346, 0.22541998326778412]"
uuid:541d68fe-19bd-4495-ac39-96c6da26d14a,5.41E+39,CSC Irrigated Rice,2,0.6000000238,2960,4.933333137,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57293333,-14.84297333,"[0.26957160234451294, 0.2662859261035919, 0.2748398184776306, 0.27088865637779236, 0.26628875732421875, 0.2521292567253113, 0.25219595432281494, 0.2507072687149048, 0.2579492926597595, 0.24972538650035858, 0.24406792223453522, 0.23837105929851532, 0.2396358847618103, 0.20921626687049866, 0.2335398644208908, 0.24583113193511963, 0.252583771944046, 0.27316734194755554, 0.2316848635673523, 0.22046296298503876, 0.23652766644954681, 0.24853135645389557, 0.22235333919525146, 0.21675527095794678, 0.24738521873950958, 0.2334335893392563, 0.22903893887996674, 0.20421406626701355, 0.2140320986509323, 0.26237618923187256, 0.28599846363067627, 0.304129421710968, 0.32111629843711853, 0.3181057274341583, 0.2951955199241638, 0.29275640845298767, 0.2787076532840729, 0.27222466468811035, 0.2807951867580414, 0.27098849415779114, 0.28023022413253784, 0.26957273483276367, 0.26030731201171875, 0.2576122581958771, 0.24322514235973358, 0.22565871477127075]"
uuid:e425e63f-264f-492f-a779-e4acddb7ccd8,5.43E+39,CSC Irrigated Rice,2,0.7200000286,5130,7.124999717,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.572105,-14.84312167,"[0.2701893746852875, 0.2666158378124237, 0.27545803785324097, 0.2711644172668457, 0.26665887236595154, 0.2525801658630371, 0.2526458501815796, 0.2511634826660156, 0.25860416889190674, 0.25030526518821716, 0.24462641775608063, 0.23870795965194702, 0.24024520814418793, 0.20938783884048462, 0.233626127243042, 0.24590234458446503, 0.2530333995819092, 0.2730267345905304, 0.23163551092147827, 0.22038601338863373, 0.23611128330230713, 0.24858413636684418, 0.22236359119415283, 0.21671921014785767, 0.24764814972877502, 0.23357348144054413, 0.22945091128349304, 0.20444129407405853, 0.21432384848594666, 0.26293179392814636, 0.2862773537635803, 0.3044566214084625, 0.32116469740867615, 0.318107008934021, 0.2945351302623749, 0.2922343611717224, 0.2783944606781006, 0.27178677916526794, 0.2809036076068878, 0.2708035409450531, 0.2803724706172943, 0.2695845663547516, 0.26076310873031616, 0.2579527497291565, 0.24328678846359253, 0.2259059101343155]"
uuid:07f222fd-fd01-4168-9a65-58f9c33e53da,7.62E+38,CSC Irrigated Rice,2,0.4600000083,2862,6.221739018,PODOR,FANAYE,FANAYE DIERY,16.52658833,-15.217345,"[0.2925786077976227, 0.2917461395263672, 0.3050950765609741, 0.3054389953613281, 0.2937260866165161, 0.27961069345474243, 0.2779569625854492, 0.27303510904312134, 0.27877718210220337, 0.2741945683956146, 0.2673102021217346, 0.26858970522880554, 0.2586923837661743, 0.25312158465385437, 0.2450396567583084, 0.2525351345539093, 0.25991854071617126, 0.2830682098865509, 0.23696328699588776, 0.22986774146556854, 0.23014992475509644, 0.19233939051628113, 0.21071012318134308, 0.24219651520252228, 0.2338283807039261, 0.226911261677742, 0.23009611666202545, 0.1970098316669464, 0.2086009830236435, 0.24972017109394073, 0.272645503282547, 0.30099618434906006, 0.3236300051212311, 0.3292093276977539, 0.3025977909564972, 0.30176421999931335, 0.29896876215934753, 0.2867017090320587, 0.2958829998970032, 0.28365814685821533, 0.29042288661003113, 0.2858688235282898, 0.21521027386188507, 0.2610498368740082, 0.2589384913444519, 0.24853172898292542]"
uuid:a20fa0b0-d049-4f11-b0bb-476a306f7cd7,1.21E+39,CSC Irrigated Rice,1,0.7900000215,3078,3.896202426,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57291333,-14.84423,"[0.2689376175403595, 0.2656504511833191, 0.27397456765174866, 0.26994553208351135, 0.26557689905166626, 0.25135138630867004, 0.2512301504611969, 0.2494777888059616, 0.25671154260635376, 0.24847309291362762, 0.2429916262626648, 0.23748613893985748, 0.23887982964515686, 0.20923598110675812, 0.23324768245220184, 0.24550309777259827, 0.2526150345802307, 0.2734774649143219, 0.23179404437541962, 0.2209489643573761, 0.23685002326965332, 0.24840186536312103, 0.22252514958381653, 0.21604293584823608, 0.24745766818523407, 0.23348872363567352, 0.22834718227386475, 0.20336109399795532, 0.21329021453857422, 0.26162922382354736, 0.28543609380722046, 0.303888738155365, 0.32050228118896484, 0.3170354962348938, 0.29486605525016785, 0.29194289445877075, 0.27801135182380676, 0.27153119444847107, 0.2792627811431885, 0.27032914757728577, 0.27890118956565857, 0.26799821853637695, 0.259581595659256, 0.25614291429519653, 0.24232998490333557, 0.2248990684747696]"
