KEY,ID_menage,crops_cult5,season_cult5,Area planted,Quantity produced (Kg),Yield,Department,Counties,Village,gpslat,gpslon,ndvi
uuid:0003a9b4-9afb-4ff0-8efa-0fabbdb83ccb,3.19E+36,Maize,1,0.5,400,0.8,KAOLACK,THIARE,MAKA FASS,13.98807667,-15.839605,"[0.27353909611701965, 0.26804202795028687, 0.2619583010673523, 0.2600390613079071, 0.24942319095134735, 0.24003900587558746, 0.23172342777252197, 0.22373192012310028, 0.22982966899871826, 0.22086429595947266, 0.21876949071884155, 0.2225826233625412, 0.22075890004634857, 0.22041615843772888, 0.21951976418495178, 0.22614271938800812, 0.21530629694461823, 0.21110819280147552, 0.2036120742559433, 0.1910734325647354, 0.18389976024627686, 0.13990925252437592, 0.17987419664859772, 0.19097411632537842, 0.20288585126399994, 0.1963709145784378, 0.20817561447620392, 0.1532108187675476, 0.3049852252006531, 0.37077534198760986, 0.44880062341690063, 0.5493022203445435, 0.5250241160392761, 0.6299501657485962, 0.6088725924491882, 0.6344035267829895, 0.5524111986160278, 0.4894241988658905, 0.3876763880252838, 0.3306562304496765, 0.3340425193309784, 0.2969193756580353, 0.2646288275718689, 0.26331350207328796, 0.2576908469200134, 0.24998269975185394]"
uuid:000be421-3444-486e-8d1c-23514be2cbde,2.54E+36,Maize,1,0.5,200,0.4,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,12.74920333,-16.04972,"[0.41235876083374023, 0.4080786108970642, 0.393177330493927, 0.3836832046508789, 0.3572537302970886, 0.33480918407440186, 0.3303188979625702, 0.31436842679977417, 0.31804993748664856, 0.3185124695301056, 0.30298522114753723, 0.30810457468032837, 0.30637237429618835, 0.28980767726898193, 0.29827091097831726, 0.3085777759552002, 0.29410335421562195, 0.31329119205474854, 0.2831840217113495, 0.2864956557750702, 0.2982178032398224, 0.30041247606277466, 0.2824264466762543, 0.294719934463501, 0.31945082545280457, 0.3003166913986206, 0.42676448822021484, 0.28335851430892944, 0.3485868275165558, 0.30015137791633606, 0.5406633019447327, 0.43687379360198975, 0.5236732363700867, 0.4709165394306183, 0.5997419357299805, 0.5282419323921204, 0.6262657046318054, 0.6157054901123047, 0.5991332530975342, 0.5760910511016846, 0.5737916231155396, 0.5588058233261108, 0.49117836356163025, 0.49861791729927063, 0.4338679313659668, 0.42715176939964294]"
uuid:00340f33-3cc3-4cfa-a829-f44c28bacf13,3.41E+37,Maize,1,1,200,0.2,KOUNGHEUL,MISSIRAH WADENE,KEUR MALICK MARAM,,,
uuid:0139318c-52a7-4b72-9c73-374168f46200,1.39E+38,Maize,1,1,1000,1,SEDHIOU,DIENDE,DIATOUMA MANDINGUE,12.78881333,-15.58444833,"[0.4192521274089813, 0.3968570828437805, 0.3770596385002136, 0.3617137372493744, 0.33332714438438416, 0.30447742342948914, 0.30016690492630005, 0.27714070677757263, 0.28689268231391907, 0.2858639061450958, 0.2724638879299164, 0.2767135202884674, 0.276334673166275, 0.26683783531188965, 0.2705506384372711, 0.28190484642982483, 0.2721986770629883, 0.285434365272522, 0.27114301919937134, 0.2875342071056366, 0.29737094044685364, 0.2965371310710907, 0.27430301904678345, 0.2659614086151123, 0.29999932646751404, 0.3244539499282837, 0.44114673137664795, 0.2601679265499115, 0.36301568150520325, 0.3057398498058319, 0.4935072362422943, 0.4771974980831146, 0.5887263417243958, 0.5438059568405151, 0.6589301824569702, 0.6054120659828186, 0.6921099424362183, 0.6859680414199829, 0.6332629919052124, 0.6019478440284729, 0.6134964823722839, 0.5579084157943726, 0.4959826171398163, 0.482289582490921, 0.42260581254959106, 0.4228343069553375]"
uuid:016476e7-f902-4866-b9af-f78bb26b8e3d,1.65E+38,Maize,1,1,1300,1.3,VELINGARA,MEDINA GOUNASS,MEDINA TOUAT,13.25779667,-13.80143667,"[0.3422392010688782, 0.3186202347278595, 0.31566470861434937, 0.2891026437282562, 0.28524646162986755, 0.24572090804576874, 0.2611421048641205, 0.25149065256118774, 0.25495681166648865, 0.2506925165653229, 0.25507915019989014, 0.2583211362361908, 0.2710034251213074, 0.26708176732063293, 0.2785285711288452, 0.2857445478439331, 0.2723720967769623, 0.29927319288253784, 0.2985895574092865, 0.358270525932312, 0.38814854621887207, 0.4378223717212677, 0.43001237511634827, 0.24591514468193054, 0.44929030537605286, 0.4368739128112793, 0.44865307211875916, 0.314881294965744, 0.25243282318115234, 0.42433691024780273, 0.47455161809921265, 0.5241714715957642, 0.6534852385520935, 0.5384830236434937, 0.7553123831748962, 0.6579900979995728, 0.677179217338562, 0.6212378144264221, 0.5406286716461182, 0.4937804341316223, 0.46691057085990906, 0.4392826557159424, 0.3950059711933136, 0.3435381054878235, 0.33556631207466125, 0.3374260663986206]"
uuid:01b4707d-12bb-4b6b-9f63-14a49420eced,1.25E+38,Maize,1,1,100,0.1,BOUNKILING,FAOUNE,Touba Mouride,13.06514167,-15.624235,"[0.3898445963859558, 0.3708401322364807, 0.3513484597206116, 0.3392455577850342, 0.3116360306739807, 0.2869012653827667, 0.27023017406463623, 0.25785204768180847, 0.2746550738811493, 0.27600976824760437, 0.2747724652290344, 0.28288185596466064, 0.28772473335266113, 0.2819192707538605, 0.2866913378238678, 0.29835689067840576, 0.28339430689811707, 0.29946744441986084, 0.27796632051467896, 0.2870759963989258, 0.28278788924217224, 0.29159247875213623, 0.27153289318084717, 0.28721803426742554, 0.2582972049713135, 0.25506362318992615, 0.33927008509635925, 0.2021826058626175, 0.3924711048603058, 0.35432618856430054, 0.48398712277412415, 0.5019054412841797, 0.5891185998916626, 0.6247262954711914, 0.6856242418289185, 0.6998665928840637, 0.7129169702529907, 0.6991795897483826, 0.6468145847320557, 0.6024597883224487, 0.5542029142379761, 0.5188897848129272, 0.4676082730293274, 0.43270111083984375, 0.40530750155448914, 0.3978056311607361]"
uuid:02717891-af80-4bed-9985-843f248d457e,2.72E+38,Maize,1,2,1400,0.7,MEDINA YORO FOULAH,KEREWANE,NGAYENE SENEGAL,13.39203167,-14.80931333,"[0.3097236454486847, 0.29239845275878906, 0.2917228937149048, 0.2719098627567291, 0.27300262451171875, 0.23262758553028107, 0.25129973888397217, 0.2383836805820465, 0.24059335887432098, 0.23374336957931519, 0.23427164554595947, 0.23703230917453766, 0.24242697656154633, 0.24319544434547424, 0.2537442743778229, 0.25621482729911804, 0.2482326179742813, 0.25948482751846313, 0.2406352013349533, 0.2590543031692505, 0.2518661320209503, 0.24404878914356232, 0.2503100037574768, 0.2700279951095581, 0.26335182785987854, 0.22246012091636658, 0.331157386302948, 0.18839776515960693, 0.4017952084541321, 0.32123276591300964, 0.43871498107910156, 0.49014905095100403, 0.3701696991920471, 0.6146345138549805, 0.6147080659866333, 0.6400360465049744, 0.6174550652503967, 0.5511097311973572, 0.49293163418769836, 0.40663018822669983, 0.390855610370636, 0.38572925329208374, 0.3306393623352051, 0.3200052082538605, 0.2940472364425659, 0.3055633008480072]"
uuid:02af83d1-8d49-43e5-ba09-ebb17abd3dc4,2.17E+38,Maize,1,1,340,0.34,GOUDOMP,SIMBANDI BRASSOU,SAMBOUCOUNDA,12.51315833,-15.50793333,"[0.5007044076919556, 0.49386417865753174, 0.4897679090499878, 0.4886624217033386, 0.44978001713752747, 0.4189716577529907, 0.42401430010795593, 0.4121583104133606, 0.4145875871181488, 0.4136393666267395, 0.3931516706943512, 0.3814374506473541, 0.3969222903251648, 0.3744853138923645, 0.37700212001800537, 0.41976991295814514, 0.37945687770843506, 0.4193061888217926, 0.3828899562358856, 0.47797006368637085, 0.5385338664054871, 0.5535033941268921, 0.48197609186172485, 0.413301557302475, 0.47222277522087097, 0.4915566146373749, 0.590592622756958, 0.3817387521266937, 0.4635815918445587, 0.3720127046108246, 0.3784666061401367, 0.6059942841529846, 0.6087378263473511, 0.4709821343421936, 0.6957988739013672, 0.7067920565605164, 0.7125087380409241, 0.711776852607727, 0.6797157526016235, 0.6613985896110535, 0.6824355125427246, 0.6623785495758057, 0.6041374206542969, 0.6002917289733887, 0.5319381356239319, 0.549411952495575]"
uuid:02ba5955-d08b-4644-9097-8b311d546d02,2.22E+38,Maize,1,1.3,1000,0.7692307692,KOLDA,MEDINA CHERIF,SARE WALY,12.93326333,-14.17876167,"[0.35637882351875305, 0.33632463216781616, 0.3271495997905731, 0.30584436655044556, 0.29851850867271423, 0.24919866025447845, 0.26504427194595337, 0.26275894045829773, 0.26349586248397827, 0.25973641872406006, 0.2617028057575226, 0.2557750940322876, 0.2543847858905792, 0.25316470861434937, 0.25808995962142944, 0.26124539971351624, 0.25307902693748474, 0.2671709656715393, 0.26345959305763245, 0.3566065728664398, 0.42175257205963135, 0.4512743353843689, 0.38230037689208984, 0.288790225982666, 0.40437623858451843, 0.387625128030777, 0.4744681119918823, 0.3484162390232086, 0.3977777659893036, 0.38637083768844604, 0.6071812510490417, 0.5658867359161377, 0.6305438876152039, 0.6955428123474121, 0.6929290890693665, 0.7165296077728271, 0.6990201473236084, 0.6757698655128479, 0.608286440372467, 0.5613328218460083, 0.5391895771026611, 0.494999498128891, 0.44787225127220154, 0.40407702326774597, 0.373344749212265, 0.3588132858276367]"
uuid:02e6550d-ea21-4a21-9553-522cd15544ce,2.57E+38,Maize,1,0.25,75,0.3,VELINGARA,SINTHIANG KOUNDARA,MEDINA AFIA,13.41065667,-13.77054333,"[0.3438875675201416, 0.3223329186439514, 0.32240235805511475, 0.3127434551715851, 0.2951033115386963, 0.2565678656101227, 0.2622920870780945, 0.25680339336395264, 0.2585080564022064, 0.254607230424881, 0.25159186124801636, 0.2551617920398712, 0.2642824649810791, 0.2602202594280243, 0.26333221793174744, 0.27329134941101074, 0.26737505197525024, 0.28334924578666687, 0.28622594475746155, 0.36414995789527893, 0.3754797875881195, 0.428799569606781, 0.45456448197364807, 0.38326215744018555, 0.48979344964027405, 0.4384270906448364, 0.46081864833831787, 0.14429813623428345, 0.2355104386806488, 0.2977507412433624, 0.4625147879123688, 0.5140891075134277, 0.5541098117828369, 0.4576978087425232, 0.6836879849433899, 0.6429857611656189, 0.6374570727348328, 0.5942023396492004, 0.5270050764083862, 0.46904677152633667, 0.46063756942749023, 0.43734461069107056, 0.4044009745121002, 0.3640331029891968, 0.347885400056839, 0.3475238084793091]"
