KEY,ID_menage,crops_cult2,season_cult2,Area planted,Quantity produced (Kg),Yield,Department,Counties,Village,gpslat,gpslon,ndvi
uuid:01bd688c-66fb-49cf-937c-2fedb039b0c6,1.25E+38,Irrigated rice winter,1,0.2,1600,8,DAGANA,MBANE,Toucouleur Diery,16.46825667,-15.63379333,"[0.37501636147499084, 0.35907283425331116, 0.36232197284698486, 0.3383421003818512, 0.3407364785671234, 0.31883999705314636, 0.3292129933834076, 0.3232858180999756, 0.32645997405052185, 0.3420483469963074, 0.3477265238761902, 0.3559189438819885, 0.3949650526046753, 0.35948172211647034, 0.342795193195343, 0.3701269328594208, 0.3645528256893158, 0.4050084948539734, 0.35519495606422424, 0.35041874647140503, 0.35037368535995483, 0.3243577182292938, 0.3057768642902374, 0.356646865606308, 0.33277595043182373, 0.3525161147117615, 0.3495957851409912, 0.31290191411972046, 0.35609346628189087, 0.4347715973854065, 0.4549071490764618, 0.4688217043876648, 0.49169689416885376, 0.49106982350349426, 0.5374612212181091, 0.5001527667045593, 0.5201067924499512, 0.49682745337486267, 0.5006809234619141, 0.4601929783821106, 0.4723731279373169, 0.44048216938972473, 0.4426192343235016, 0.37639087438583374, 0.35438886284828186, 0.3555176556110382]"
uuid:020619f4-595f-4b77-b1e8-898b4676315f,2.06E+38,Irrigated rice winter,1,0.54,1400,2.592592593,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32054167,-14.32229833,"[0.1941162794828415, 0.19236348569393158, 0.19714581966400146, 0.1750481277704239, 0.1951092928647995, 0.18172068893909454, 0.18485616147518158, 0.1874331384897232, 0.18413539230823517, 0.1798275262117386, 0.1777709275484085, 0.17887987196445465, 0.18117153644561768, 0.16982363164424896, 0.16674089431762695, 0.17316125333309174, 0.17287230491638184, 0.1709633320569992, 0.1668393611907959, 0.16012698411941528, 0.15963733196258545, 0.16069023311138153, 0.15755461156368256, 0.17824256420135498, 0.1787596195936203, 0.1701330691576004, 0.1740235686302185, 0.15753819048404694, 0.163310244679451, 0.20837968587875366, 0.21796810626983643, 0.2426910400390625, 0.23193518817424774, 0.24419625103473663, 0.22499603033065796, 0.19387435913085938, 0.189914271235466, 0.18860368430614471, 0.1865302473306656, 0.19420261681079865, 0.1823931783437729, 0.17919524013996124, 0.15815339982509613, 0.17728108167648315, 0.17462289333343506, 0.14600525796413422]"
uuid:032afcf7-2301-4f50-bf9e-97bf3a7600f5,3.22E+38,Irrigated rice winter,1,1.25,6000,4.8,PODOR,DODEL,THIALAGA,16.49635167,-14.45316,"[0.30755919218063354, 0.3040734827518463, 0.2947104275226593, 0.2639138400554657, 0.2716750204563141, 0.25827062129974365, 0.2602877914905548, 0.24822266399860382, 0.25524383783340454, 0.24449104070663452, 0.24073858559131622, 0.2439941167831421, 0.23557162284851074, 0.22001604735851288, 0.2048364132642746, 0.22319142520427704, 0.22549329698085785, 0.21778704226016998, 0.20271843671798706, 0.18618318438529968, 0.184166818857193, 0.18759185075759888, 0.17172874510288239, 0.17219923436641693, 0.19037745893001556, 0.18830609321594238, 0.18685896694660187, 0.161326602101326, 0.1766330450773239, 0.20862345397472382, 0.2299574911594391, 0.2962662875652313, 0.23415514826774597, 0.3249850273132324, 0.33038172125816345, 0.3888665735721588, 0.3951151967048645, 0.4104481637477875, 0.4070998430252075, 0.40982288122177124, 0.4019326865673065, 0.38824227452278137, 0.36890172958374023, 0.32202017307281494, 0.27638983726501465, 0.2212318331003189]"
uuid:0380d9a0-1e0a-4ff7-9834-8c2a26412063,3.80E+38,Irrigated rice winter,1,0.7,3000,4.285714286,MATAM,DABIA,SARE LIOU,15.92091167,-13.52668333,"[0.24509498476982117, 0.2360111027956009, 0.22972750663757324, 0.205108180642128, 0.213711678981781, 0.20180457830429077, 0.20175746083259583, 0.19519294798374176, 0.19765476882457733, 0.1917378008365631, 0.18690846860408783, 0.19210106134414673, 0.18264774978160858, 0.17955875396728516, 0.17174336314201355, 0.1793738305568695, 0.1895175278186798, 0.17964747548103333, 0.1702386438846588, 0.16391639411449432, 0.16149607300758362, 0.15407589077949524, 0.15225565433502197, 0.18027342855930328, 0.17797449231147766, 0.17566746473312378, 0.16899150609970093, 0.17541362345218658, 0.18352273106575012, 0.18618525564670563, 0.20792070031166077, 0.28170284628868103, 0.3663569688796997, 0.40030014514923096, 0.32858073711395264, 0.4562031328678131, 0.5037858486175537, 0.47537535429000854, 0.49901798367500305, 0.4626970887184143, 0.46975818276405334, 0.42618438601493835, 0.28445276618003845, 0.25621068477630615, 0.23561178147792816, 0.21936380863189697]"
uuid:042fdf6f-996a-4a5c-9b10-aab2b2378088,4.26E+38,Irrigated rice winter,1,0.5,1500,3,MATAM,DABIA,H1 PARIS LIOU,15.92064333,-13.52187667,"[0.2464137077331543, 0.237258642911911, 0.23088248074054718, 0.20622019469738007, 0.21442405879497528, 0.20253494381904602, 0.20232531428337097, 0.19594191014766693, 0.19818724691867828, 0.1921973079442978, 0.18738672137260437, 0.1924857199192047, 0.18292558193206787, 0.17998731136322021, 0.17205694317817688, 0.17967593669891357, 0.18989335000514984, 0.18005643784999847, 0.17063063383102417, 0.16431695222854614, 0.16175006330013275, 0.15446504950523376, 0.15245050191879272, 0.1810469925403595, 0.17825235426425934, 0.17612896859645844, 0.169352188706398, 0.1758740246295929, 0.1838468760251999, 0.18674236536026, 0.20798954367637634, 0.28135886788368225, 0.3650151491165161, 0.3994888663291931, 0.3284280300140381, 0.4552040100097656, 0.5022631287574768, 0.47401610016822815, 0.49746274948120117, 0.4613494575023651, 0.46835535764694214, 0.4253308176994324, 0.2839753031730652, 0.2563437223434448, 0.23595742881298065, 0.21932566165924072]"
uuid:0520b355-cdbb-4c49-b242-a2e03f1d5925,5.20E+38,Irrigated rice winter,1,1,3500,3.5,MATAM,NABADJI-CIVOL,H1 BASSOUDJ,15.79317,-13.28795167,"[0.34277665615081787, 0.36709535121917725, 0.3560712933540344, 0.3246329724788666, 0.3250952661037445, 0.3156183362007141, 0.3156796395778656, 0.30974993109703064, 0.295365571975708, 0.29770609736442566, 0.27814367413520813, 0.2789165675640106, 0.26877909898757935, 0.2536739408969879, 0.2305781990289688, 0.2357347309589386, 0.24261583387851715, 0.23576313257217407, 0.21788105368614197, 0.21764515340328217, 0.20861415565013885, 0.17659470438957214, 0.17394772171974182, 0.1993149220943451, 0.2193000167608261, 0.22139613330364227, 0.2263460010290146, 0.1910722255706787, 0.277940034866333, 0.30115604400634766, 0.2587028741836548, 0.24639134109020233, 0.24804691970348358, 0.2633848488330841, 0.24779623746871948, 0.2405659407377243, 0.24422021210193634, 0.25058379769325256, 0.2866855263710022, 0.27677446603775024, 0.28383246064186096, 0.3097299039363861, 0.2908722162246704, 0.29065364599227905, 0.26875385642051697, 0.24365144968032837]"
uuid:0520b355-cdbb-4c49-b242-a2e03f1d5925,5.20E+38,Irrigated rice winter,1,1,400,0.4,MATAM,NABADJI-CIVOL,H1 BASSOUDJ,15.79317,-13.28795167,"[0.34277665615081787, 0.36709535121917725, 0.3560712933540344, 0.3246329724788666, 0.3250952661037445, 0.3156183362007141, 0.3156796395778656, 0.30974993109703064, 0.295365571975708, 0.29770609736442566, 0.27814367413520813, 0.2789165675640106, 0.26877909898757935, 0.2536739408969879, 0.2305781990289688, 0.2357347309589386, 0.24261583387851715, 0.23576313257217407, 0.21788105368614197, 0.21764515340328217, 0.20861415565013885, 0.17659470438957214, 0.17394772171974182, 0.1993149220943451, 0.2193000167608261, 0.22139613330364227, 0.2263460010290146, 0.1910722255706787, 0.277940034866333, 0.30115604400634766, 0.2587028741836548, 0.24639134109020233, 0.24804691970348358, 0.2633848488330841, 0.24779623746871948, 0.2405659407377243, 0.24422021210193634, 0.25058379769325256, 0.2866855263710022, 0.27677446603775024, 0.28383246064186096, 0.3097299039363861, 0.2908722162246704, 0.29065364599227905, 0.26875385642051697, 0.24365144968032837]"
uuid:05895259-f6b5-410b-b758-2c33ceab405e,5.90E+38,Irrigated rice winter,1,1,4320,4.32,PODOR,FANAYE,DIMAR DIERY,16.51498833,-15.12941333,"[0.2557239234447479, 0.24663180112838745, 0.2564466595649719, 0.23412756621837616, 0.24758696556091309, 0.23517823219299316, 0.23838597536087036, 0.23592549562454224, 0.24332617223262787, 0.24174970388412476, 0.2322653979063034, 0.239199697971344, 0.2329941689968109, 0.22310815751552582, 0.22122327983379364, 0.23502911627292633, 0.2379663735628128, 0.2627684473991394, 0.21753747761249542, 0.22040586173534393, 0.2299470454454422, 0.2281862199306488, 0.20464295148849487, 0.22932025790214539, 0.23017844557762146, 0.22228653728961945, 0.22800993919372559, 0.2065097838640213, 0.22639352083206177, 0.23091529309749603, 0.22829070687294006, 0.26349225640296936, 0.31028735637664795, 0.3022788166999817, 0.28659817576408386, 0.2806090712547302, 0.27537983655929565, 0.265005499124527, 0.27256256341934204, 0.25859564542770386, 0.2635599672794342, 0.2571718096733093, 0.24614782631397247, 0.2351946234703064, 0.2312258929014206, 0.22306372225284576]"
uuid:07f222fd-fd01-4168-9a65-58f9c33e53da,7.62E+38,Irrigated rice winter,1,0.46,2322,5.047826087,PODOR,FANAYE,FANAYE DIERY,16.52658833,-15.217345,"[0.2925786077976227, 0.2917461395263672, 0.3050950765609741, 0.3054389953613281, 0.2937260866165161, 0.27961069345474243, 0.2779569625854492, 0.27303510904312134, 0.27877718210220337, 0.2741945683956146, 0.2673102021217346, 0.26858970522880554, 0.2586923837661743, 0.25312158465385437, 0.2450396567583084, 0.2525351345539093, 0.25991854071617126, 0.2830682098865509, 0.23696328699588776, 0.22986774146556854, 0.23014992475509644, 0.19233939051628113, 0.21071012318134308, 0.24219651520252228, 0.2338283807039261, 0.226911261677742, 0.23009611666202545, 0.1970098316669464, 0.2086009830236435, 0.24972017109394073, 0.272645503282547, 0.30099618434906006, 0.3236300051212311, 0.3292093276977539, 0.3025977909564972, 0.30176421999931335, 0.29896876215934753, 0.2867017090320587, 0.2958829998970032, 0.28365814685821533, 0.29042288661003113, 0.2858688235282898, 0.21521027386188507, 0.2610498368740082, 0.2589384913444519, 0.24853172898292542]"
uuid:08cfa4c3-6a07-4218-a514-3e6bd16753a8,8.36E+38,Irrigated rice winter,1,0.4,1998,4.995,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.521545,-14.87013167,"[0.24022187292575836, 0.23799490928649902, 0.23724210262298584, 0.24176983535289764, 0.23987115919589996, 0.22726981341838837, 0.22820180654525757, 0.22774191200733185, 0.23701211810112, 0.22799238562583923, 0.22276796400547028, 0.2234656661748886, 0.22976617515087128, 0.1982625424861908, 0.22814448177814484, 0.2447940558195114, 0.25936412811279297, 0.27384504675865173, 0.23762394487857819, 0.23401178419589996, 0.24231836199760437, 0.25217366218566895, 0.2249325066804886, 0.23605090379714966, 0.24619297683238983, 0.23087161779403687, 0.22404934465885162, 0.2057325839996338, 0.21147610247135162, 0.2553241550922394, 0.2872086465358734, 0.29638004302978516, 0.31843090057373047, 0.3146366477012634, 0.27631306648254395, 0.2793816328048706, 0.27165961265563965, 0.2645915150642395, 0.27873456478118896, 0.2641962468624115, 0.2691335678100586, 0.26205265522003174, 0.2448895126581192, 0.2428477555513382, 0.22566679120063782, 0.2161056399345398]"
