KEY,ID_menage,crops_cult2,season_cult2,Area planted,Quantity produced (Kg),Yield,Department,Counties,Village,gpslat,gpslon,ndvi
uuid:0a356269-baae-416c-920e-0655ab442400,1.36E+38,Irrigated rice winter,1,0.2,1300,6.5,DAGANA,MBANE,Toucouleur Diery,16.46835833,-15.63378167,"[0.37501636147499084, 0.35907283425331116, 0.36232197284698486, 0.3383421003818512, 0.3407364785671234, 0.31883999705314636, 0.3292129933834076, 0.3232858180999756, 0.32645997405052185, 0.3420483469963074, 0.3477265238761902, 0.3559189438819885, 0.3949650526046753, 0.35948172211647034, 0.342795193195343, 0.3701269328594208, 0.3645528256893158, 0.4050084948539734, 0.35519495606422424, 0.35041874647140503, 0.35037368535995483, 0.3243577182292938, 0.3057768642902374, 0.356646865606308, 0.33277595043182373, 0.3525161147117615, 0.3495957851409912, 0.31290191411972046, 0.35609346628189087, 0.4347715973854065, 0.4549071490764618, 0.4688217043876648, 0.49169689416885376, 0.49106982350349426, 0.5374612212181091, 0.5001527667045593, 0.5201067924499512, 0.49682745337486267, 0.5006809234619141, 0.4601929783821106, 0.4723731279373169, 0.44048216938972473, 0.4426192343235016, 0.37639087438583374, 0.35438886284828186, 0.3555176556110382]"
uuid:0ebcf100-38ea-48f0-bee0-ab5b1360125a,5.24E+38,Irrigated rice winter,1,0.79,3000,3.797468354,PODOR,DODEL,THIENEL SAKHOBES,16.59985,-14.92302,"[0.2965962886810303, 0.29583948850631714, 0.3049069344997406, 0.29319998621940613, 0.29377517104148865, 0.2798694968223572, 0.2793106734752655, 0.27478358149528503, 0.27896568179130554, 0.27559515833854675, 0.27399253845214844, 0.273987352848053, 0.27708882093429565, 0.2549886703491211, 0.2693437337875366, 0.2801187038421631, 0.28580495715141296, 0.321336567401886, 0.2587795555591583, 0.2576237916946411, 0.2701675295829773, 0.28239497542381287, 0.2495783269405365, 0.1911938488483429, 0.2729852795600891, 0.2509428560733795, 0.2388586848974228, 0.21254757046699524, 0.2296457439661026, 0.2706384062767029, 0.2914513647556305, 0.3127356767654419, 0.31960776448249817, 0.3303615152835846, 0.317539244890213, 0.3017843961715698, 0.28875619173049927, 0.2797204554080963, 0.27924269437789917, 0.27334731817245483, 0.2816215753555298, 0.27683815360069275, 0.27995380759239197, 0.26475080847740173, 0.2361205816268921, 0.24101531505584717]"
uuid:107e9338-3e71-4df5-86b1-93f2c8e57863,1.08E+39,Irrigated rice winter,1,0.5,200,0.4,GOUDOMP,SIMBADI BALANTE,H1 KRISSIM,12.53567833,-15.74796667,"[0.44095635414123535, 0.42796874046325684, 0.42583152651786804, 0.4226042330265045, 0.39590203762054443, 0.3830644190311432, 0.36775994300842285, 0.34986603260040283, 0.3669103980064392, 0.3630319833755493, 0.34622105956077576, 0.3476881682872772, 0.35027840733528137, 0.32653331756591797, 0.3300706446170807, 0.35053324699401855, 0.32777056097984314, 0.35629498958587646, 0.33634719252586365, 0.4025002121925354, 0.39991629123687744, 0.42324098944664, 0.36908668279647827, 0.3582097887992859, 0.34199684858322144, 0.38162150979042053, 0.47502002120018005, 0.2244788557291031, 0.4308503568172455, 0.349496990442276, 0.4069400727748871, 0.49299466609954834, 0.5406381487846375, 0.3620501458644867, 0.5775573253631592, 0.6069927215576172, 0.6024968028068542, 0.579437792301178, 0.578219473361969, 0.5537470579147339, 0.5765083432197571, 0.5663418173789978, 0.49979090690612793, 0.4946293234825134, 0.44205987453460693, 0.43902233242988586]"
uuid:10cdaffa-c1b8-4676-964e-920ba980799d,1.03E+39,Irrigated rice winter,1,1,1750,1.75,MATAM,NABADJI-CIVOL,H2 GOUREL DEMBA RACINE,15.84026167,-13.30673167,"[0.28326448798179626, 0.29274430871009827, 0.280293345451355, 0.2597008943557739, 0.27168306708335876, 0.25942036509513855, 0.26666128635406494, 0.26785844564437866, 0.2571902275085449, 0.2543329894542694, 0.24192465841770172, 0.25056347250938416, 0.23666931688785553, 0.2215564101934433, 0.20436972379684448, 0.20731694996356964, 0.20443907380104065, 0.20049719512462616, 0.17951808869838715, 0.18785452842712402, 0.18310555815696716, 0.1610301285982132, 0.16086217761039734, 0.1666446030139923, 0.18392598628997803, 0.18235458433628082, 0.1792970448732376, 0.16180148720741272, 0.20453378558158875, 0.2349206507205963, 0.205418199300766, 0.18754756450653076, 0.19928492605686188, 0.21233287453651428, 0.199020117521286, 0.22000670433044434, 0.24309775233268738, 0.25906944274902344, 0.292525053024292, 0.29480496048927307, 0.29881614446640015, 0.3178941011428833, 0.3059808611869812, 0.29649415612220764, 0.2676791250705719, 0.2653806507587433]"
uuid:12329cfc-3833-4deb-9271-461231512215,1.23E+39,Irrigated rice winter,1,0.5,2800,5.6,DAGANA,BOKHOL,BOKHOL,16.523485,-15.40006667,"[0.286154568195343, 0.2974054515361786, 0.31937408447265625, 0.3317629098892212, 0.3240763545036316, 0.31656166911125183, 0.32744890451431274, 0.31592172384262085, 0.3267773389816284, 0.32251498103141785, 0.3133675754070282, 0.310583233833313, 0.31934458017349243, 0.28170397877693176, 0.27668771147727966, 0.2977391183376312, 0.3005931079387665, 0.3312784731388092, 0.28082069754600525, 0.2835133969783783, 0.2797780930995941, 0.2277076095342636, 0.2508109211921692, 0.282988041639328, 0.26533791422843933, 0.2605246901512146, 0.23985439538955688, 0.2090919464826584, 0.2708841562271118, 0.3218580186367035, 0.34619081020355225, 0.3612845838069916, 0.3953750431537628, 0.4036298096179962, 0.3713100254535675, 0.38705235719680786, 0.3939816355705261, 0.36024942994117737, 0.3633098602294922, 0.3323887884616852, 0.3515598773956299, 0.33048015832901, 0.29100045561790466, 0.300664484500885, 0.2880464196205139, 0.2819327712059021]"
uuid:1367df7e-a341-46d6-a6c2-a2d25dddcd82,1.37E+39,Irrigated rice winter,3,0.4,2300,5.75,MATAM,BOKIDIAWE,DOUMGA RINDIAO,15.86577167,-13.46716,"[0.24341802299022675, 0.2413458675146103, 0.23721055686473846, 0.2159615159034729, 0.2187114655971527, 0.20832550525665283, 0.21165749430656433, 0.2024058848619461, 0.21040017902851105, 0.20223172008991241, 0.1983204036951065, 0.19800324738025665, 0.19159577786922455, 0.1882849931716919, 0.1779703050851822, 0.18587680160999298, 0.197784423828125, 0.1881784200668335, 0.17372596263885498, 0.1717190146446228, 0.16921430826187134, 0.15418343245983124, 0.1577209234237671, 0.1622970551252365, 0.2074214220046997, 0.2056528776884079, 0.19309045374393463, 0.1919277459383011, 0.2402488887310028, 0.25381702184677124, 0.22885137796401978, 0.26729485392570496, 0.29699841141700745, 0.32687807083129883, 0.28314030170440674, 0.3529982268810272, 0.3633648753166199, 0.34617555141448975, 0.3643048405647278, 0.35001829266548157, 0.35758480429649353, 0.3277290463447571, 0.29119059443473816, 0.2446705847978592, 0.2308783382177353, 0.21980035305023193]"
uuid:1367df7e-a341-46d6-a6c2-a2d25dddcd82,1.37E+39,Irrigated rice winter,3,0.6,2250,3.75,MATAM,BOKIDIAWE,DOUMGA RINDIAO,15.86577167,-13.46716,"[0.24341802299022675, 0.2413458675146103, 0.23721055686473846, 0.2159615159034729, 0.2187114655971527, 0.20832550525665283, 0.21165749430656433, 0.2024058848619461, 0.21040017902851105, 0.20223172008991241, 0.1983204036951065, 0.19800324738025665, 0.19159577786922455, 0.1882849931716919, 0.1779703050851822, 0.18587680160999298, 0.197784423828125, 0.1881784200668335, 0.17372596263885498, 0.1717190146446228, 0.16921430826187134, 0.15418343245983124, 0.1577209234237671, 0.1622970551252365, 0.2074214220046997, 0.2056528776884079, 0.19309045374393463, 0.1919277459383011, 0.2402488887310028, 0.25381702184677124, 0.22885137796401978, 0.26729485392570496, 0.29699841141700745, 0.32687807083129883, 0.28314030170440674, 0.3529982268810272, 0.3633648753166199, 0.34617555141448975, 0.3643048405647278, 0.35001829266548157, 0.35758480429649353, 0.3277290463447571, 0.29119059443473816, 0.2446705847978592, 0.2308783382177353, 0.21980035305023193]"
uuid:137695df-6148-445c-95dd-06634a702679,1.38E+39,Irrigated rice winter,1,1,3000,3,BIGNONA,SINDIAN,SINDIAN,12.96353833,-16.18085667,"[0.4994816184043884, 0.4799136817455292, 0.4610276222229004, 0.4518871605396271, 0.4084526002407074, 0.37098878622055054, 0.3561810851097107, 0.3299121558666229, 0.32903915643692017, 0.3256452977657318, 0.3176838755607605, 0.3330833911895752, 0.3315768241882324, 0.32694143056869507, 0.3355741798877716, 0.3431779444217682, 0.3371087312698364, 0.3529868721961975, 0.31279122829437256, 0.2904236912727356, 0.32839831709861755, 0.3561815321445465, 0.33535563945770264, 0.351982444524765, 0.377673476934433, 0.5021486878395081, 0.4962162375450134, 0.26196643710136414, 0.48141857981681824, 0.3707292973995209, 0.6193530559539795, 0.5882266759872437, 0.560115396976471, 0.5991649627685547, 0.7302130460739136, 0.7429206371307373, 0.7342299222946167, 0.7216973900794983, 0.6865642070770264, 0.6553434133529663, 0.6331288814544678, 0.6302907466888428, 0.6216528415679932, 0.5840625166893005, 0.5217347741127014, 0.5311664342880249]"
uuid:1464e001-0cef-40e0-95e4-a8be75d57615,1.46E+39,Irrigated rice winter,1,0.2,90,0.45,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57229167,-16.20859,"[0.33611026406288147, 0.33450639247894287, 0.31442415714263916, 0.29703599214553833, 0.2954319715499878, 0.2743048071861267, 0.26631611585617065, 0.26438775658607483, 0.2826216518878937, 0.2744215428829193, 0.25003042817115784, 0.26651692390441895, 0.25255605578422546, 0.25428006052970886, 0.2405356913805008, 0.27255940437316895, 0.2241286039352417, 0.26326048374176025, 0.22165369987487793, 0.18655738234519958, 0.24288299679756165, 0.2643339931964874, 0.24540212750434875, 0.29985371232032776, 0.23295295238494873, 0.24180272221565247, 0.3045528829097748, 0.20055635273456573, 0.24802887439727783, 0.2356383055448532, 0.440601110458374, 0.3430226445198059, 0.36195361614227295, 0.30306974053382874, 0.44531476497650146, 0.46137744188308716, 0.4406217038631439, 0.4663166105747223, 0.4394899606704712, 0.4344533681869507, 0.4364701807498932, 0.44238153100013733, 0.39298468828201294, 0.4072659909725189, 0.34464845061302185, 0.34311047196388245]"
uuid:1464e001-0cef-40e0-95e4-a8be75d57615,1.46E+39,Irrigated rice winter,1,0.3,100,0.3333333333,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57229167,-16.20859,"[0.33611026406288147, 0.33450639247894287, 0.31442415714263916, 0.29703599214553833, 0.2954319715499878, 0.2743048071861267, 0.26631611585617065, 0.26438775658607483, 0.2826216518878937, 0.2744215428829193, 0.25003042817115784, 0.26651692390441895, 0.25255605578422546, 0.25428006052970886, 0.2405356913805008, 0.27255940437316895, 0.2241286039352417, 0.26326048374176025, 0.22165369987487793, 0.18655738234519958, 0.24288299679756165, 0.2643339931964874, 0.24540212750434875, 0.29985371232032776, 0.23295295238494873, 0.24180272221565247, 0.3045528829097748, 0.20055635273456573, 0.24802887439727783, 0.2356383055448532, 0.440601110458374, 0.3430226445198059, 0.36195361614227295, 0.30306974053382874, 0.44531476497650146, 0.46137744188308716, 0.4406217038631439, 0.4663166105747223, 0.4394899606704712, 0.4344533681869507, 0.4364701807498932, 0.44238153100013733, 0.39298468828201294, 0.4072659909725189, 0.34464845061302185, 0.34311047196388245]"
uuid:1516753d-c77c-42c0-8688-8e4b71c663c2,1.52E+39,Irrigated rice winter,1,5,1000,0.2,FOUNDIOUGNE,TOUBACOUTA,BETTENTY,13.69119833,-16.63135333,"[0.4162636697292328, 0.3883455693721771, 0.40096062421798706, 0.3959241509437561, 0.3742923140525818, 0.34946978092193604, 0.34410586953163147, 0.32639285922050476, 0.34514960646629333, 0.32635101675987244, 0.3264245390892029, 0.32809436321258545, 0.36991915106773376, 0.29643598198890686, 0.30030032992362976, 0.31551748514175415, 0.2979828119277954, 0.3348532021045685, 0.28324952721595764, 0.3526815176010132, 0.3095986843109131, 0.13916295766830444, 0.2880483567714691, 0.33567434549331665, 0.3191854655742645, 0.33475151658058167, 0.269435852766037, 0.3275149166584015, 0.3644374907016754, 0.1790292114019394, 0.4620552361011505, 0.44095638394355774, 0.4599268138408661, 0.5133793354034424, 0.5252832770347595, 0.4641495645046234, 0.5314478874206543, 0.5286470055580139, 0.5130774974822998, 0.4919791519641876, 0.5305238366127014, 0.4674926996231079, 0.3979392647743225, 0.523391604423523, 0.40605875849723816, 0.4191722869873047]"
uuid:166405f8-1e7d-4c0e-aa9f-cd1887d12654,1.66E+39,Irrigated rice winter,1,0.4,1620,4.05,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32227,-14.32367833,"[0.24612553417682648, 0.24643243849277496, 0.23374131321907043, 0.21174044907093048, 0.23552733659744263, 0.20961998403072357, 0.21268555521965027, 0.218363419175148, 0.206676185131073, 0.21921144425868988, 0.21433120965957642, 0.21328285336494446, 0.1992087960243225, 0.1858871728181839, 0.18636895716190338, 0.1955031156539917, 0.19308744370937347, 0.1884358525276184, 0.1814340204000473, 0.17633122205734253, 0.1720288097858429, 0.1760362982749939, 0.16561536490917206, 0.19092504680156708, 0.1943856179714203, 0.18305255472660065, 0.18485891819000244, 0.16185586154460907, 0.17590095102787018, 0.2140888273715973, 0.2226053774356842, 0.24023494124412537, 0.22536200284957886, 0.21150028705596924, 0.19581717252731323, 0.20460861921310425, 0.19672705233097076, 0.21089226007461548, 0.21357187628746033, 0.22151269018650055, 0.22508829832077026, 0.2333800345659256, 0.16815759241580963, 0.22536583244800568, 0.1986258625984192, 0.16219668090343475]"
uuid:17988c2c-2831-4f02-9444-3f23d10d122c,1.80E+39,Irrigated rice winter,1,0.5,3000,6,MATAM,DABIA,KOBILO DIADIABE,15.92785667,-13.52479,"[0.2507580518722534, 0.24158236384391785, 0.23581582307815552, 0.21204940974712372, 0.21870110929012299, 0.2063666582107544, 0.20616136491298676, 0.19894318282604218, 0.2005549669265747, 0.1955876350402832, 0.19079571962356567, 0.19470550119876862, 0.18504101037979126, 0.18214648962020874, 0.17384400963783264, 0.18190321326255798, 0.1916702836751938, 0.18212799727916718, 0.17225593328475952, 0.1660638153553009, 0.16348907351493835, 0.1564631164073944, 0.15343934297561646, 0.18481415510177612, 0.18119850754737854, 0.1789717823266983, 0.17195381224155426, 0.17734722793102264, 0.18609298765659332, 0.18942919373512268, 0.2092694640159607, 0.2784877121448517, 0.3599027693271637, 0.39396101236343384, 0.32817819714546204, 0.4504851996898651, 0.4955672025680542, 0.46823856234550476, 0.4908885657787323, 0.45592567324638367, 0.4627082943916321, 0.42212939262390137, 0.2819223403930664, 0.25953105092048645, 0.23869135975837708, 0.2191774696111679]"
uuid:19101c6c-301b-43cd-a350-dfee69dfbe9d,1.91E+39,Irrigated rice winter,1,0.5,2500,5,PODOR,NDIAYENE PENDAO,H5 KOITI GOTTI,16.36436667,-14.99689333,"[0.17134328186511993, 0.18076126277446747, 0.17400912940502167, 0.1579672247171402, 0.18071161210536957, 0.16242125630378723, 0.1655779629945755, 0.16409124433994293, 0.16828526556491852, 0.1648828536272049, 0.1614178717136383, 0.15892420709133148, 0.15729820728302002, 0.15077945590019226, 0.1594405621290207, 0.15752317011356354, 0.16794444620609283, 0.16291049122810364, 0.15269246697425842, 0.13979417085647583, 0.14680850505828857, 0.14632843434810638, 0.13706955313682556, 0.1428571492433548, 0.1390087604522705, 0.14511574804782867, 0.14921729266643524, 0.13908062875270844, 0.15726730227470398, 0.18383517861366272, 0.21265122294425964, 0.2194054275751114, 0.26861950755119324, 0.29548123478889465, 0.25730621814727783, 0.20030075311660767, 0.17622829973697662, 0.17261448502540588, 0.1622915118932724, 0.166465625166893, 0.16828329861164093, 0.15393902361392975, 0.17074722051620483, 0.1551089733839035, 0.15560482442378998, 0.15160392224788666]"
