KEY,ID_menage,crops_cult4,season_cult4,Area planted,Quantity produced (Kg),Yield,Department,Counties,Village,gpslat,gpslon,ndvi
uuid:0003a9b4-9afb-4ff0-8efa-0fabbdb83ccb,3.19E+36,Millet,1,3,1000,0.3333333333,KAOLACK,THIARE,MAKA FASS,13.98807667,-15.839605,"[0.27353909611701965, 0.26804202795028687, 0.2619583010673523, 0.2600390613079071, 0.24942319095134735, 0.24003900587558746, 0.23172342777252197, 0.22373192012310028, 0.22982966899871826, 0.22086429595947266, 0.21876949071884155, 0.2225826233625412, 0.22075890004634857, 0.22041615843772888, 0.21951976418495178, 0.22614271938800812, 0.21530629694461823, 0.21110819280147552, 0.2036120742559433, 0.1910734325647354, 0.18389976024627686, 0.13990925252437592, 0.17987419664859772, 0.19097411632537842, 0.20288585126399994, 0.1963709145784378, 0.20817561447620392, 0.1532108187675476, 0.3049852252006531, 0.37077534198760986, 0.44880062341690063, 0.5493022203445435, 0.5250241160392761, 0.6299501657485962, 0.6088725924491882, 0.6344035267829895, 0.5524111986160278, 0.4894241988658905, 0.3876763880252838, 0.3306562304496765, 0.3340425193309784, 0.2969193756580353, 0.2646288275718689, 0.26331350207328796, 0.2576908469200134, 0.24998269975185394]"
uuid:000a83ec-a8df-4439-bb6c-77cf4d6439e5,1.84E+36,Millet,1,0.5,180,0.36,NIORO,MEDINA-SABAKH,MBAPP,13.59625,-15.48026167,"[0.3041703701019287, 0.2963317334651947, 0.28805509209632874, 0.2867951989173889, 0.2744860053062439, 0.25409194827079773, 0.25494474172592163, 0.24716609716415405, 0.2546101212501526, 0.24761885404586792, 0.24261891841888428, 0.24641238152980804, 0.24553969502449036, 0.2439197450876236, 0.24277769029140472, 0.24466903507709503, 0.22912348806858063, 0.22855786979198456, 0.21016432344913483, 0.2019742876291275, 0.19574704766273499, 0.199721559882164, 0.18948820233345032, 0.19249100983142853, 0.20980718731880188, 0.2420494109392166, 0.23326146602630615, 0.1637122482061386, 0.282295286655426, 0.33760425448417664, 0.42624154686927795, 0.5455106496810913, 0.5617490410804749, 0.6359689831733704, 0.5010590553283691, 0.6739656329154968, 0.6384760737419128, 0.5853424072265625, 0.4861041009426117, 0.4072975218296051, 0.39657142758369446, 0.3545626103878021, 0.3155510723590851, 0.3054041564464569, 0.29313141107559204, 0.29349982738494873]"
uuid:000a83ec-a8df-4439-bb6c-77cf4d6439e5,1.84E+36,Millet,1,0.5,100,0.2,NIORO,MEDINA-SABAKH,MBAPP,13.59625,-15.48026167,"[0.3041703701019287, 0.2963317334651947, 0.28805509209632874, 0.2867951989173889, 0.2744860053062439, 0.25409194827079773, 0.25494474172592163, 0.24716609716415405, 0.2546101212501526, 0.24761885404586792, 0.24261891841888428, 0.24641238152980804, 0.24553969502449036, 0.2439197450876236, 0.24277769029140472, 0.24466903507709503, 0.22912348806858063, 0.22855786979198456, 0.21016432344913483, 0.2019742876291275, 0.19574704766273499, 0.199721559882164, 0.18948820233345032, 0.19249100983142853, 0.20980718731880188, 0.2420494109392166, 0.23326146602630615, 0.1637122482061386, 0.282295286655426, 0.33760425448417664, 0.42624154686927795, 0.5455106496810913, 0.5617490410804749, 0.6359689831733704, 0.5010590553283691, 0.6739656329154968, 0.6384760737419128, 0.5853424072265625, 0.4861041009426117, 0.4072975218296051, 0.39657142758369446, 0.3545626103878021, 0.3155510723590851, 0.3054041564464569, 0.29313141107559204, 0.29349982738494873]"
uuid:000be421-3444-486e-8d1c-23514be2cbde,2.54E+36,Millet,1,0.8,5,0.00625,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,12.74920333,-16.04972,"[0.41235876083374023, 0.4080786108970642, 0.393177330493927, 0.3836832046508789, 0.3572537302970886, 0.33480918407440186, 0.3303188979625702, 0.31436842679977417, 0.31804993748664856, 0.3185124695301056, 0.30298522114753723, 0.30810457468032837, 0.30637237429618835, 0.28980767726898193, 0.29827091097831726, 0.3085777759552002, 0.29410335421562195, 0.31329119205474854, 0.2831840217113495, 0.2864956557750702, 0.2982178032398224, 0.30041247606277466, 0.2824264466762543, 0.294719934463501, 0.31945082545280457, 0.3003166913986206, 0.42676448822021484, 0.28335851430892944, 0.3485868275165558, 0.30015137791633606, 0.5406633019447327, 0.43687379360198975, 0.5236732363700867, 0.4709165394306183, 0.5997419357299805, 0.5282419323921204, 0.6262657046318054, 0.6157054901123047, 0.5991332530975342, 0.5760910511016846, 0.5737916231155396, 0.5588058233261108, 0.49117836356163025, 0.49861791729927063, 0.4338679313659668, 0.42715176939964294]"
uuid:00340f33-3cc3-4cfa-a829-f44c28bacf13,3.41E+37,Millet,1,2,700,0.35,KOUNGHEUL,MISSIRAH WADENE,KEUR MALICK MARAM,,,
uuid:00b0e565-1670-4b4e-9deb-f41c78b107ec,2.06E+37,Millet,3,6,150,0.025,MATAM,AGNAM-CIVOL,AGNAM GOLY,16.009105,-13.68753333,"[0.3934859037399292, 0.3985716998577118, 0.38691410422325134, 0.3730956017971039, 0.32774657011032104, 0.31993240118026733, 0.3065165579319, 0.290446013212204, 0.2862056791782379, 0.27085238695144653, 0.2584729492664337, 0.24851945042610168, 0.23207950592041016, 0.22451038658618927, 0.20706886053085327, 0.22054879367351532, 0.22925834357738495, 0.21815276145935059, 0.19771552085876465, 0.1942502111196518, 0.181710347533226, 0.18770377337932587, 0.17041745781898499, 0.24623119831085205, 0.23530270159244537, 0.23751357197761536, 0.21747058629989624, 0.1960565149784088, 0.2179422676563263, 0.24723580479621887, 0.23763030767440796, 0.19715948402881622, 0.19898109138011932, 0.23281043767929077, 0.286562442779541, 0.302184134721756, 0.3034153878688812, 0.31345030665397644, 0.30521586537361145, 0.31394991278648376, 0.2920885682106018, 0.33419790863990784, 0.3273196518421173, 0.32829082012176514, 0.29683196544647217, 0.31141865253448486]"
uuid:00bb29a9-7f59-45c9-8f54-d7b577599d89,2.23E+37,Millet,1,3,20000,6.666666667,KOLDA,THIETTY,SARE KOUBE FATAWORO(SINTHIANG KOUBE),13.025065,-15.11171333,"[0.3842112421989441, 0.36156463623046875, 0.35426047444343567, 0.32658737897872925, 0.3235289752483368, 0.2967935800552368, 0.2890118956565857, 0.28239667415618896, 0.2835780382156372, 0.27634063363075256, 0.27881255745887756, 0.28031009435653687, 0.2930268943309784, 0.29005739092826843, 0.301506370306015, 0.3297373354434967, 0.30771657824516296, 0.3375169038772583, 0.34339937567710876, 0.39619359374046326, 0.3830595910549164, 0.40042829513549805, 0.4011485278606415, 0.4462309777736664, 0.3800681233406067, 0.3876805305480957, 0.5138977766036987, 0.34885239601135254, 0.40281403064727783, 0.34307995438575745, 0.5095776319503784, 0.6090680360794067, 0.5474267601966858, 0.6433445811271667, 0.6770015954971313, 0.7069359421730042, 0.7148824334144592, 0.6587463021278381, 0.6005600690841675, 0.5432301759719849, 0.545070469379425, 0.5117629170417786, 0.4306446313858032, 0.4157859981060028, 0.3843061327934265, 0.39601361751556396]"
uuid:00bb29a9-7f59-45c9-8f54-d7b577599d89,2.23E+37,Millet,1,1,1000,1,KOLDA,THIETTY,SARE KOUBE FATAWORO(SINTHIANG KOUBE),13.025065,-15.11171333,"[0.3842112421989441, 0.36156463623046875, 0.35426047444343567, 0.32658737897872925, 0.3235289752483368, 0.2967935800552368, 0.2890118956565857, 0.28239667415618896, 0.2835780382156372, 0.27634063363075256, 0.27881255745887756, 0.28031009435653687, 0.2930268943309784, 0.29005739092826843, 0.301506370306015, 0.3297373354434967, 0.30771657824516296, 0.3375169038772583, 0.34339937567710876, 0.39619359374046326, 0.3830595910549164, 0.40042829513549805, 0.4011485278606415, 0.4462309777736664, 0.3800681233406067, 0.3876805305480957, 0.5138977766036987, 0.34885239601135254, 0.40281403064727783, 0.34307995438575745, 0.5095776319503784, 0.6090680360794067, 0.5474267601966858, 0.6433445811271667, 0.6770015954971313, 0.7069359421730042, 0.7148824334144592, 0.6587463021278381, 0.6005600690841675, 0.5432301759719849, 0.545070469379425, 0.5117629170417786, 0.4306446313858032, 0.4157859981060028, 0.3843061327934265, 0.39601361751556396]"
uuid:00dee809-f770-421d-b013-f84427d7db08,4.56E+37,Millet,1,1,900,0.9,NIORO,MEDINA-SABAKH,KEUR AYIB GUEYE,13.60275833,-15.60615333,"[0.32235175371170044, 0.3126063644886017, 0.30412477254867554, 0.29919806122779846, 0.284775972366333, 0.27156978845596313, 0.2651667594909668, 0.2568119168281555, 0.2630130648612976, 0.2578721344470978, 0.25424665212631226, 0.25321218371391296, 0.25681594014167786, 0.25389906764030457, 0.2556093633174896, 0.256251722574234, 0.24605070054531097, 0.24052947759628296, 0.22278174757957458, 0.20944857597351074, 0.20506256818771362, 0.2088131308555603, 0.1969796121120453, 0.21225759387016296, 0.2133694887161255, 0.22614450752735138, 0.26056480407714844, 0.14852753281593323, 0.28883296251296997, 0.36160480976104736, 0.4481581449508667, 0.551639199256897, 0.5763146281242371, 0.6353887915611267, 0.551758885383606, 0.6723659038543701, 0.6384590864181519, 0.6115596890449524, 0.526997983455658, 0.4439672827720642, 0.4269234240055084, 0.38057801127433777, 0.33052635192871094, 0.3238169550895691, 0.3085592985153198, 0.3060547709465027]"
uuid:00e380d0-5939-4c9c-b9db-42027d526e49,5.38E+37,Millet,1,1.5,350,0.2333333333,GOUDOMP,KOLIBANTANG,SANDINIEREY,12.73245,-15.529385,"[0.4307057857513428, 0.4093101918697357, 0.4005410373210907, 0.38919299840927124, 0.3685402274131775, 0.34299978613853455, 0.33809804916381836, 0.3195268213748932, 0.32895100116729736, 0.32352590560913086, 0.3135067820549011, 0.30306699872016907, 0.31912100315093994, 0.3049757480621338, 0.3025679588317871, 0.320483922958374, 0.30533915758132935, 0.3262355625629425, 0.3120511770248413, 0.3322925865650177, 0.35489463806152344, 0.3588227927684784, 0.3294825553894043, 0.3621083199977875, 0.4036121666431427, 0.3434963524341583, 0.5361315011978149, 0.29284581542015076, 0.4247645437717438, 0.283407598733902, 0.5152710676193237, 0.4533241391181946, 0.5582713484764099, 0.44852226972579956, 0.5428792834281921, 0.6256908774375916, 0.6394495368003845, 0.6346218585968018, 0.5978793501853943, 0.5791749358177185, 0.5881795287132263, 0.5547886490821838, 0.49820631742477417, 0.4861399531364441, 0.43576306104660034, 0.434330016374588]"
