KEY,ID_menage,riz_irrig_hiv2,crops_cult2,season_cult2,Area_cult2,QuantityProduced_cult2,Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:d82dc0ac-4c85-47cd-8392-5cc71991e361,4.82E+39,1,Irrigated rice winter,1,0.4,2000,5,PODOR,GUEDE VILLAGE,H23 GAODE BOFFE,16.19987167,-14.91564167
uuid:48826e04-7eb1-49b0-ba29-2a067899d19e,4.88E+39,1,Irrigated rice winter,1,0.1,560,5.6,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32247,-14.32304167
uuid:56bf390b-1d3a-4aef-bcfb-b7e11a0aacf8,5.63E+39,1,Irrigated rice winter,1,0.27,900,3.333333333,PODOR,DOUNGA-LAO,AWQUALY (THIEWEL),16.24968667,-14.315025
uuid:636804c1-8f03-44c8-96fa-5f8fa0565924,6.37E+39,1,Irrigated rice winter,1,0.5,2500,5,PODOR,GUEDE VILLAGE,DIATAR,16.63266333,-14.910755
uuid:66384f73-5fe1-4603-a592-c43d0daddaad,6.64E+39,1,Irrigated rice winter,1,0.4,3400,8.5,PODOR,GUEDE VILLAGE,DIATAR,16.63178667,-14.90965333
uuid:74ce903c-de29-4d65-a171-f9652f70d562,7.44E+39,1,Irrigated rice winter,1,1,2500,2.5,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32135833,-14.32315667
uuid:7d7292c0-79ec-4be9-8bb4-b1615c034cce,7.47E+39,1,Irrigated rice winter,1,0.35,595,1.7,PODOR,DOUNGA-LAO,AWQUALY (THIEWEL),16.252215,-14.320445
uuid:796cdfe1-63f6-4579-9c43-b319da753224,7.96E+39,1,Irrigated rice winter,1,0.26,2600,10,PODOR,BOKE DIALLOUBE,GADIOBE,16.11547667,-13.96388833
uuid:8fd036b2-9be8-47d5-8e5d-47efa39c7dfc,8.64E+39,1,Irrigated rice winter,2,0.2,1650,8.25,PODOR,GUEDE VILLAGE,H2 VANDE KADE,16.62892167,-14.90089167
uuid:9c761283-50c4-4d6c-bf6b-9a4005261af8,9.38E+39,1,Irrigated rice winter,1,0.09,500,5.555555556,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32236,-14.323815
uuid:956dff97-42da-4afa-84e7-199344482749,9.56E+39,1,Irrigated rice winter,1,0.35,1750,5,PODOR,GUEDE VILLAGE,DIATAR,16.63031667,-14.90913167
uuid:826eea2b-e840-428c-bfc0-3322b56a4354,8.27E+39,1,Irrigated rice winter,1,5,26650,5.33,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39949833,-16.07573667
uuid:8248df92-09ce-45a7-a7a7-11d359526f46,8.25E+39,1,Irrigated rice winter,1,0.38,2584,6.8,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.40089833,-16.075425
uuid:ca90b085-d475-4013-bb66-d7793ea6ab29,3.19E+39,1,Irrigated rice winter,1,0.4,2430,6.075,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.571045,-14.84369167
uuid:36cae58b-dad7-43f2-a676-1ab83d9c3cbc,3.63E+39,1,Irrigated rice winter,1,0.8,972,1.215,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57263833,-14.84367
uuid:4b9e9c3b-24e3-428f-9dc1-75e1d757c088,4.30E+39,1,Irrigated rice winter,1,1.53,1898,1.240522876,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57356,-14.843995
uuid:541d68fe-19bd-4495-ac39-96c6da26d14a,5.41E+39,1,Irrigated rice winter,1,0.6,2484,4.14,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57293333,-14.84297333
uuid:e425e63f-264f-492f-a779-e4acddb7ccd8,5.43E+39,1,Irrigated rice winter,1,0.53,3240,6.113207547,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.572105,-14.84312167
uuid:07f222fd-fd01-4168-9a65-58f9c33e53da,7.62E+38,1,Irrigated rice winter,1,0.46,2322,5.047826087,PODOR,FANAYE,FANAYE DIERY,16.52658833,-15.217345
uuid:a20fa0b0-d049-4f11-b0bb-476a306f7cd7,1.21E+39,1,Irrigated rice winter,1,0.79,3564,4.511392405,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57291333,-14.84423
uuid:bb7d8522-5eb4-4eeb-bde4-898bd27e1409,2.27E+39,1,Irrigated rice winter,1,0.4,1458,3.645,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.52173833,-14.87267
uuid:36c402b6-c82a-4e16-a045-6e29efd2b2c7,3.63E+39,1,Irrigated rice winter,1,0.47,1500,3.191489362,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57438833,-14.84533667
uuid:4a944c65-b353-4a08-91e8-0f982bc091cd,4.19E+39,1,Irrigated rice winter,1,0.9,2100,2.333333333,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57420167,-14.84472667
uuid:ea84ef26-1703-4cf3-8a66-a96d325e0f06,5.18E+39,1,Irrigated rice winter,2,0.98,3510,3.581632653,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57274167,-14.844915
uuid:efd9041a-4d16-4309-ae91-6ba9b3a647b7,5.65E+39,1,Irrigated rice winter,1,1.2,3510,2.925,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57394333,-14.84361
uuid:826eea2b-e840-428c-bfc0-3322b56a4354,8.27E+39,1,Irrigated rice winter,1,3,20500,6.833333333,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39949833,-16.07573667
uuid:08cfa4c3-6a07-4218-a514-3e6bd16753a8,8.36E+38,1,Irrigated rice winter,1,0.4,1998,4.995,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.521545,-14.87013167
uuid:1b20cd9d-a66e-4609-89ca-8bdcb9223ddd,1.22E+39,1,Irrigated rice winter,2,0.3,600,2,DAGANA,MBANE,Keur Mbay Nar,16.476935,-15.59590833
uuid:adf93fce-0451-43a0-b201-35ef1bd6347a,1.47E+39,1,Irrigated rice winter,1,0.4,1890,4.725,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.51916667,-14.87187333
uuid:293dea87-7008-42f8-93ed-6308fe94db00,2.93E+39,1,Irrigated rice winter,1,0.4,1350,3.375,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.522445,-14.866905
uuid:cc8d4d35-db55-45a8-a3b9-a86d4eaae166,3.38E+39,1,Irrigated rice winter,1,0.3,972,3.24,PODOR,FANAYE,DIMAR DIERY,16.51347167,-15.12388333
uuid:cc902a9e-a312-4a52-a64d-33788ac0b713,3.39E+39,1,Irrigated rice winter,1,4,28050,7.0125,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.399115,-16.07456
uuid:05895259-f6b5-410b-b758-2c33ceab405e,5.90E+38,1,Irrigated rice winter,1,1,4320,4.32,PODOR,FANAYE,DIMAR DIERY,16.51498833,-15.12941333
uuid:7efe855c-dfa2-4851-9b73-a7a635f699bd,7.57E+39,1,Irrigated rice winter,1,0.5,2160,4.32,PODOR,FANAYE,DIMAR DIERY,16.51566333,-15.12864333
uuid:8248df92-09ce-45a7-a7a7-11d359526f46,8.25E+39,1,Irrigated rice winter,1,1.65,11220,6.8,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.40089833,-16.075425
uuid:8248df92-09ce-45a7-a7a7-11d359526f46,8.25E+39,1,Irrigated rice winter,1,1,5780,5.78,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.40089833,-16.075425
uuid:26d497e0-ac42-4881-bffc-4f1163d71479/prod_parc[2/parc[6,2.64E+39,1,Irrigated rice winter,1,2,750,0.375,,,,,
uuid:3e74e395-2dcf-499b-8ec4-4c009d499b98,3.57E+39,1,Irrigated rice winter,1,0.3,105,0.35,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57246,-16.20849333
uuid:3e74e395-2dcf-499b-8ec4-4c009d499b98,3.57E+39,1,Irrigated rice winter,1,0.3,100,0.3333333333,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57246,-16.20849333
uuid:d2a39fa3-7281-4e17-91c7-d62e3f74c810,4.21E+39,1,Irrigated rice winter,1,0.4,200,0.5,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57207167,-16.20967
uuid:1464e001-0cef-40e0-95e4-a8be75d57615,1.46E+39,1,Irrigated rice winter,1,0.2,90,0.45,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57229167,-16.20859
uuid:2c0a1e33-3eb6-4c51-aebd-47edf5855b5e,2.30E+39,1,Irrigated rice winter,1,0.2,150,0.75,OUSSOUYE,DJEMBERING,DIEMBERING,12.46854333,-16.77807167
uuid:d2a39fa3-7281-4e17-91c7-d62e3f74c810,4.21E+39,1,Irrigated rice winter,1,0.2,110,0.55,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57207167,-16.20967
uuid:76ab9cbd-63c9-4cca-adaa-80118a31941b,7.61E+39,1,Irrigated rice winter,1,0.2,120,0.6,OUSSOUYE,DJEMBERING,DIEMBERING,12.46631,-16.77910167
uuid:12329cfc-3833-4deb-9271-461231512215,1.23E+39,1,Irrigated rice winter,1,0.5,2800,5.6,DAGANA,BOKHOL,BOKHOL,16.523485,-15.40006667
uuid:ef6a645c-a1ff-425b-b25f-d91e66f7ac9f,5.66E+39,1,Irrigated rice winter,1,0.5,3192,6.384,DAGANA,BOKHOL,BOKHOL,16.52336333,-15.40130333
uuid:7f179d1b-ae7f-4ab9-b18e-b99d827d6944,7.62E+39,1,Irrigated rice winter,1,0.96,6560,6.833333333,DAGANA,BOKHOL,BOKHOL,16.52221,-15.39946833
uuid:1464e001-0cef-40e0-95e4-a8be75d57615,1.46E+39,1,Irrigated rice winter,1,0.3,100,0.3333333333,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57229167,-16.20859
uuid:a97afef2-6093-4a68-823a-69cac653d360,1.97E+39,1,Irrigated rice winter,1,0.2,95,0.475,BIGNONA,COUBALAN,KOUBANAO,12.67096167,-16.09206833
uuid:2c0a1e33-3eb6-4c51-aebd-47edf5855b5e,2.30E+39,1,Irrigated rice winter,1,0.3,150,0.5,OUSSOUYE,DJEMBERING,DIEMBERING,12.46854333,-16.77807167
uuid:23dc8b6d-1a10-4ab2-8ea1-a7b0ecbdb77b,2.34E+39,1,Irrigated rice winter,1,0.5,2800,5.6,DAGANA,BOKHOL,BOKHOL,16.5223,-15.40169
uuid:bdcfc760-8dcb-4a08-8df3-14b809028d6f,2.44E+39,1,Irrigated rice winter,1,0.8,2916,3.645,PODOR,FANAYE,DIMAR DIERY,16.51417167,-15.128705
uuid:257cee68-3ec7-4862-8bd5-6ff7df04e68a,2.57E+39,1,Irrigated rice winter,1,0.2,165,0.825,OUSSOUYE,DJEMBERING,DIEMBERING,12.46909167,-16.77791833
uuid:28d13f36-d9ac-4894-be5d-92520a1a6dac,2.84E+39,1,Irrigated rice winter,1,2.5,800,0.32,ZIGUINCHOR,ENAMPORE,KAMOUBEUL,12.50346,-16.433915
uuid:c08acd9a-973e-4188-9d61-d73a6c3b6933,3.08E+39,1,Irrigated rice winter,1,0.3,210,0.7,OUSSOUYE,DJEMBERING,DIEMBERING,12.46987833,-16.77814333
uuid:d11cad3b-6647-45ef-9ab7-3985224487f5,4.11E+39,1,Irrigated rice winter,1,0.1,800,8,DAGANA,MBANE,Toucouleur Diery,16.46832333,-15.63371333
uuid:da2f58cb-fead-4baf-a13d-6f397950789b,4.13E+39,1,Irrigated rice winter,1,1.5,6840,4.56,DAGANA,BOKHOL,BOKHOL,16.523695,-15.40112667
uuid:d2a39fa3-7281-4e17-91c7-d62e3f74c810,4.21E+39,1,Irrigated rice winter,1,0.2,115,0.575,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57207167,-16.20967
uuid:d72be2ed-d23a-4e4a-a12f-3073c4db2660,4.72E+39,1,Irrigated rice winter,1,0.5,200,0.4,ZIGUINCHOR,ENAMPORE,KAMOUBEUL,12.50457833,-16.432125
uuid:47f1c2f5-a621-433f-9a93-e7012fac96e1,4.76E+39,1,Irrigated rice winter,1,1,1500,1.5,PODOR,DOUNGA-LAO,AWQUALY (THIEWEL),16.24962,-14.31619667
uuid:6acd5a6c-2e57-4759-8577-4904c3018ee2,6.13E+39,1,Irrigated rice winter,1,0.3,75,0.25,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57271667,-16.20892833
uuid:76ab9cbd-63c9-4cca-adaa-80118a31941b,7.61E+39,1,Irrigated rice winter,1,0.2,120,0.6,OUSSOUYE,DJEMBERING,DIEMBERING,12.46631,-16.77910167
uuid:7da549c8-5dbc-4e2d-b559-4a99dfa29f33,7.42E+39,1,Irrigated rice winter,1,0.4,1890,4.725,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.52309333,-14.86557333
uuid:8afabe0e-34ce-4ed2-af4c-61f9168f1755,8.16E+39,1,Irrigated rice winter,1,0.3,700,2.333333333,DAGANA,MBANE,Keur Mbay Nar,16.47694167,-15.59815
uuid:8b61856d-225e-4a3f-838a-21b105395c11,8.26E+39,1,Irrigated rice winter,1,0.33,2160,6.545454545,PODOR,FANAYE,FANAYE DIERY,16.52643833,-15.21741
uuid:abcf1d41-bab2-4340-a7c8-03e610962e46,1.24E+39,1,Irrigated rice winter,1,0.5,2400,4.8,DAGANA,BOKHOL,BOKHOL,16.52277833,-15.39927
uuid:a81d010c-b595-4cb0-9df5-3c4b457e762f,1.81E+39,1,Irrigated rice winter,1,0.9,1500,1.666666667,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:b170061e-0480-4670-ab84-5b04f8d0fce8,2.17E+39,1,Irrigated rice winter,1,1,5346,5.346,PODOR,DODEL,THIALAGA,16.49203833,-14.45261667
uuid:2351cdaf-2db6-4976-b824-7ca8fb3da702,2.35E+39,1,Irrigated rice winter,1,1.25,1300,1.04,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:bc7d7715-c6da-4539-b51f-d0b29e15493b,2.37E+39,1,Irrigated rice winter,1,0.5,1750,3.5,KANEL,OURO SIDY,BOW,,
uuid:bd91c6c3-64b1-470e-b9ad-ad42c6e27d32,2.49E+39,1,Irrigated rice winter,1,0.5,900,1.8,KANEL,OURO SIDY,BOW,,
uuid:32ad1ea6-48a4-47d9-a15d-f54521baf1d1,3.21E+39,1,Irrigated rice winter,1,0.5,1900,3.8,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:cedd10fe-e2da-421c-a0a2-47ab5967dc1d,3.54E+39,1,Irrigated rice winter,1,0.5,2500,5,KANEL,ORKADIERE,GOURIKI COLIYABE,15.43910667,-12.95183667
uuid:4193e825-408a-49d5-a005-3e1a935eeec6,4.19E+39,1,Irrigated rice winter,1,1,4000,4,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:4324bccb-a334-4ea3-8b8d-9cea999ea85f,4.32E+39,1,Irrigated rice winter,1,1,2500,2.5,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:4ddcb8f0-9e56-4016-b62a-dbc8a09dcdae,4.44E+39,1,Irrigated rice winter,1,1,2000,2,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:450929f8-9f14-452e-8e99-571833385511,4.51E+39,1,Irrigated rice winter,1,0.5,1400,2.8,KANEL,OURO SIDY,BOW,,
uuid:e3507a1b-8a9f-4ce0-8ff3-356dd8ce1828,5.35E+39,1,Irrigated rice winter,1,1,750,0.75,MATAM,NABADJI-CIVOL,H2 GOUREL DEMBA RACINE,15.84025167,-13.30680167
uuid:5dc82590-b849-4cd9-b9d6-df9a20205291,5.44E+39,1,Irrigated rice winter,1,0.95,4590,4.831578947,DAGANA,DIAMA,BIFFECHE,16.17062833,-16.30854333
uuid:54875365-e700-466d-a648-69617e9695ee,5.49E+39,1,Irrigated rice winter,1,0.72,2100,2.916666667,KANEL,OURO SIDY,BOW,,
uuid:5e6be057-525b-4a0e-8825-579651c7cdfc,5.56E+39,1,Irrigated rice winter,1,0.42,1900,4.523809524,KANEL,ORKADIERE,GOURIKI COLIYABE,15.43851667,-12.95012333
uuid:5f5577ad-3cb3-4d8c-84d0-d1099b6a0375,5.66E+39,1,Irrigated rice winter,1,1,1950,1.95,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:e8e684d7-a26a-40d8-a4a2-2e20271711f4,5.86E+39,1,Irrigated rice winter,1,0.9,2000,2.222222222,KANEL,ORKADIERE,GOURIKI COLIYABE,,
uuid:6004e617-ec67-413c-80f3-4bc6ca3cb1a4,6.00E+39,1,Irrigated rice winter,1,0.06,500,8.333333333,PODOR,BOKE DIALLOUBE,WALLAH,16.51974333,-14.83186167
uuid:621928b5-eb4d-4374-a544-b2f492fc7870,6.22E+39,1,Irrigated rice winter,1,0.5,1750,3.5,KANEL,OURO SIDY,BOW,,
uuid:630bc31e-93c3-45c5-a262-951988324b34,6.30E+39,1,Irrigated rice winter,1,0.9,3150,3.5,KANEL,OURO SIDY,BOW,,
uuid:63c0a6d4-e188-43a7-8b0c-08f6a65df454,6.33E+39,1,Irrigated rice winter,1,0.52,3037,5.840384615,PODOR,DODEL,THIALAGA,16.495925,-14.45753833
uuid:71c52af4-810a-47fb-9a4d-1767859a97d2,7.14E+39,1,Irrigated rice winter,1,1,5435,5.435,PODOR,DODEL,THIALAGA,16.495585,-14.45424667
uuid:8bce4268-7086-4e14-b711-cca21bdfcb75,8.24E+39,1,Irrigated rice winter,1,1,4860,4.86,PODOR,DODEL,THIALAGA,16.49582167,-14.45338333
uuid:8401de46-92e8-462c-bc4a-18fe386624ac,8.40E+39,1,Irrigated rice winter,1,0.3,1300,4.333333333,DAGANA,MBANE,Keur Mbay Nar,16.47752167,-15.59635833
uuid:873757f4-f69d-4956-9110-275294eb8dc3,8.74E+39,1,Irrigated rice winter,1,0.6,1500,2.5,KANEL,OURO SIDY,BOW,,
uuid:a2a7844b-8537-408a-a3f1-5a855dece91a,1.22E+39,1,Irrigated rice winter,1,0.5,100,0.2,VELINGARA,OUASSADOU,MEDINA POUSSANG,12.71892167,-14.19461333
uuid:eb1e1395-a058-4ea5-b342-c73538edadd1,5.22E+39,1,Irrigated rice winter,1,0.7,650,0.9285714286,MEDINA YORO FOULAH,BADION,SARE YORO BAMBI,13.06261,-14.401785
uuid:7e91ba6e-354c-4399-9e5a-4420e31760e6,7.59E+39,1,Irrigated rice winter,1,1.5,2500,1.666666667,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77058333,-13.468415
uuid:10cdaffa-c1b8-4676-964e-920ba980799d,1.03E+39,1,Irrigated rice winter,1,1,1750,1.75,MATAM,NABADJI-CIVOL,H2 GOUREL DEMBA RACINE,15.84026167,-13.30673167
uuid:a0f2bdc6-e92b-46f6-8a12-0ec2111cfdfb,1.06E+39,1,Irrigated rice winter,1,0.5,2000,4,MATAM,DABIA,KOBILO DIADIABE,15.92836667,-13.52510667
uuid:107e9338-3e71-4df5-86b1-93f2c8e57863,1.08E+39,1,Irrigated rice winter,1,0.5,200,0.4,GOUDOMP,SIMBADI BALANTE,H1 KRISSIM,12.53567833,-15.74796667
uuid:a08e6985-5c70-42cb-8481-4153affd9a6a,1.09E+39,1,Irrigated rice winter,1,1,5000,5,PODOR,DODEL,THIENEL SAKHOBES,16.598615,-14.92432167
uuid:1a64dcf7-879b-4895-9972-6726c0f4dd94,1.16E+39,1,Irrigated rice winter,1,0.5,2000,4,MATAM,DABIA,SARE LIOU,15.92093333,-13.53208167
uuid:ab2b181d-b282-43dc-8e93-1407a0fe3abf,1.22E+39,1,Irrigated rice winter,1,0.33,540,1.636363636,PODOR,BOKE DIALLOUBE,GADIOBE,16.11690833,-13.96315333
uuid:abc8b19f-746c-4372-a3ba-76e8697932df,1.24E+39,1,Irrigated rice winter,1,0.3,650,2.166666667,DAGANA,MBANE,Keur Mbay Nar,16.47597167,-15.59648
uuid:01bd688c-66fb-49cf-937c-2fedb039b0c6,1.25E+38,1,Irrigated rice winter,1,0.2,1600,8,DAGANA,MBANE,Toucouleur Diery,16.46825667,-15.63379333
uuid:a2e4482c-b4ce-46c8-b43f-d2f7c5779c48,1.25E+39,1,Irrigated rice winter,1,0.2,100,0.5,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57109667,-16.211655
uuid:1be8faf5-1339-427c-bd54-bd72b3ea83eb,1.26E+39,1,Irrigated rice winter,1,0.33,960,2.909090909,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32096,-14.32139333
uuid:1b94f9f0-9714-4d4d-a09d-214d93e8d6d2,1.29E+39,1,Irrigated rice winter,1,0.5,2500,5,PODOR,FANAYE,FANAYE DIERY,16.52167,-15.18944
uuid:aca1726c-18dd-4824-afb0-e5c18f57181b,1.31E+39,1,Irrigated rice winter,1,0.5,1250,2.5,PODOR,NDIAYENE PENDAO,H5 KOITI GOTTI,16.36447,-14.996885
uuid:0a356269-baae-416c-920e-0655ab442400,1.36E+38,1,Irrigated rice winter,1,0.2,1300,6.5,DAGANA,MBANE,Toucouleur Diery,16.46835833,-15.63378167
uuid:1fb7db00-aa45-4de0-af23-b3ffc7d4c756,1.63E+39,1,Irrigated rice winter,1,0.3,800,2.666666667,DAGANA,MBANE,Keur Mbaye Wolof,16.47856333,-15.60285667
uuid:166405f8-1e7d-4c0e-aa9f-cd1887d12654,1.66E+39,1,Irrigated rice winter,1,0.4,1620,4.05,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32227,-14.32367833
uuid:a7befff6-c201-4144-9214-466d9ca6d441,1.73E+39,1,Irrigated rice winter,1,0.32,1400,4.375,PODOR,FANAYE,WENDOU OLDOU,16.51975833,-15.188445
uuid:17988c2c-2831-4f02-9444-3f23d10d122c,1.80E+39,1,Irrigated rice winter,1,0.5,3000,6,MATAM,DABIA,KOBILO DIADIABE,15.92785667,-13.52479
uuid:19101c6c-301b-43cd-a350-dfee69dfbe9d,1.91E+39,1,Irrigated rice winter,1,0.5,2500,5,PODOR,NDIAYENE PENDAO,H5 KOITI GOTTI,16.36436667,-14.99689333
uuid:a97afef2-6093-4a68-823a-69cac653d360,1.97E+39,1,Irrigated rice winter,1,0.4,150,0.375,BIGNONA,COUBALAN,KOUBANAO,12.67096167,-16.09206833
uuid:198678e6-fc9e-44af-b763-40f01b59d812,1.99E+39,1,Irrigated rice winter,1,1,1200,1.2,MATAM,NABADJI-CIVOL,H2 GOUREL DEMBA RACINE,15.84027667,-13.30685833
uuid:020619f4-595f-4b77-b1e8-898b4676315f,2.06E+38,1,Irrigated rice winter,1,0.54,1400,2.592592593,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32054167,-14.32229833
uuid:b1fa9223-d44d-465c-a7d7-222f4a5e8ad7,2.16E+39,1,Irrigated rice winter,1,0.5,1500,3,MATAM,DABIA,SARE LIOU,15.92489333,-13.52424
uuid:2af2a155-2ab5-433d-9ede-9f673ef56000,2.16E+39,1,Irrigated rice winter,1,0.5,1800,3.6,MATAM,DABIA,SARE LIOU,15.91990833,-13.52854167
uuid:b3cc733a-264d-4367-b656-a6e8e75f95bd,2.33E+39,1,Irrigated rice winter,1,0.6,2250,3.75,PODOR,BOKE DIALLOUBE,GADIOBE,16.11625833,-13.96372667
uuid:235ddffa-251e-4124-be57-af00429b0474,2.35E+39,1,Irrigated rice winter,1,2,8100,4.05,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.332305,-14.31076167
uuid:239c4fdb-37a4-4db9-852d-ce63e839a175,2.39E+39,1,Irrigated rice winter,1,0.7,3000,4.285714286,MATAM,DABIA,H1 PARIS LIOU,15.925935,-13.52517667
uuid:b47968e3-ebb5-4ba2-b2be-bc59a260472e,2.48E+39,1,Irrigated rice winter,1,0.3,2000,6.666666667,DAGANA,MBANE,Keur Mbay Nar,16.47786667,-15.59637333
uuid:be0711ce-e57d-4241-a404-e4f481b9449f,2.51E+39,1,Irrigated rice winter,1,0.5,2500,5,MATAM,DABIA,KOBILO DIADIABE,15.92638,-13.52534333
