KEY,ID_menage,riz_irrig_hiv2,crops_cult2,season_cult2,Area_cult2,QuantityProduced_cult2,Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:a32377bb-63e8-45ee-885d-8b5cb32c2b33,1.32E+39,1,Irrigated rice winter,1,1.94,8160,4.206185567,PODOR,DODEL,THIALAGA,16.49596833,-14.45341
uuid:a3959a5a-c877-4142-a63a-32b16506805c,1.40E+39,1,Irrigated rice winter,1,0.91,5100,5.604395604,PODOR,DODEL,THIALAGA,16.493855,-14.45401
uuid:b8b54871-df6e-472a-865b-bd47eccf6386,2.83E+39,1,Irrigated rice winter,1,0.5,1800,3.6,PODOR,BOKE DIALLOUBE,GADIOBE,16.11698,-13.96376833
uuid:032afcf7-2301-4f50-bf9e-97bf3a7600f5,3.22E+38,1,Irrigated rice winter,1,1.25,6000,4.8,PODOR,DODEL,THIALAGA,16.49635167,-14.45316
uuid:49e7c682-2ddb-4e82-8f4b-06973169d76c,4.96E+39,1,Irrigated rice winter,1,0.5,1200,2.4,PODOR,DODEL,H1 GOUREL GUELADIO,16.49508167,-14.46107167
uuid:56409721-43cc-444a-a16e-2692a91ab950,5.64E+39,1,Irrigated rice winter,1,0.5,2975,5.95,PODOR,DODEL,THIALAGA,16.49206833,-14.45240833
uuid:fa9013c7-3d43-4f8e-9546-8991b9d75500,6.19E+39,1,Irrigated rice winter,1,1,6120,6.12,PODOR,DODEL,H1 GOUREL GUELADIO,16.50251,-14.45927333
uuid:8032dc14-fd8b-4782-b1a8-d69853cf38e2,8.03E+39,1,Irrigated rice winter,1,0.4,2210,5.525,PODOR,DOUNGA-LAO,AWQUALY (THIEWEL),16.24692833,-14.319325
uuid:c52f3ab3-27d9-44eb-8264-440fbfde1e3c,3.53E+39,1,Irrigated rice winter,1,0.6,3240,5.4,PODOR,GUEDE VILLAGE,DIATAR,16.631945,-14.909405
uuid:ab8d6c3e-91d6-4a81-a64c-c25653cd5c57,1.28E+39,1,Irrigated rice winter,1,0.4,2000,5,PODOR,GUEDE VILLAGE,H23 GAODE BOFFE,16.20203333,-14.91918667
uuid:a58e7e32-d984-46bd-b819-dacb43604df7,1.59E+39,1,Irrigated rice winter,1,0.3,1600,5.333333333,PODOR,BOKE DIALLOUBE,GADIOBE,16.11436,-13.96449167
uuid:2209e4c6-52e3-4f86-ba3d-67fc1c9621ba,2.21E+39,1,Irrigated rice winter,1,2,9000,4.5,PODOR,GUEDE VILLAGE,DIATAR,16.63067667,-14.90874833
uuid:24970ac5-dfe1-4d77-8e69-ddc978a8b0e2,2.50E+39,1,Irrigated rice winter,1,0.4,2500,6.25,PODOR,GUEDE VILLAGE,H23 GAODE BOFFE,16.20092,-14.91612167
uuid:26eba003-de70-4f06-8e8b-076bae41d96e,2.65E+39,1,Irrigated rice winter,1,0.2,1500,7.5,PODOR,BOKE DIALLOUBE,GADIOBE,16.11342,-13.96115333
uuid:c64d477e-a3ff-4c6e-abca-5d872a7bbfbf,3.64E+39,1,Irrigated rice winter,1,0.35,935,2.671428571,PODOR,DOUNGA-LAO,AWQUALY (THIEWEL),16.251985,-14.31611
uuid:d175aad0-51fe-4f68-8848-f7df5667183c,4.18E+39,1,Irrigated rice winter,1,10,480,0.048,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32183167,-14.32308167
uuid:db9b5119-00d0-4114-99e2-e658122f0013,4.29E+39,1,Irrigated rice winter,1,0.25,2000,8,PODOR,GUEDE VILLAGE,DIATAR,16.63068667,-14.90985
uuid:4dbc71d7-07cd-498c-81b1-a8eb9fd29030,4.42E+39,1,Irrigated rice winter,1,0.09,800,8.888888889,PODOR,DOUNGA-LAO,H6 PETEL AWQUALY,16.32201833,-14.32319
