KEY,ID_menage,riz_irrig_csc2,riz_irrig_hiv2,crops_cult1 irrigated rice,season_cult1,Area planted (ha) irrigated rice,Quantity produced (Kg) irrigated rice,Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:05583819-bbbb-48cf-831f-90837030102a,5.58E+38,1,0,CSC Irrigated Rice,3,0.5,700,1.4,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77545833,-13.46824833
uuid:826eea2b-e840-428c-bfc0-3322b56a4354,8.27E+39,1,1,CSC Irrigated Rice,2,5,30750,6.15,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39949833,-16.07573667
uuid:abcf1d41-bab2-4340-a7c8-03e610962e46,1.24E+39,1,0,CSC Irrigated Rice,2,0.400000006,2820,7.049999895,DAGANA,BOKHOL,BOKHOL,16.52277833,-15.39927
uuid:ab37f2a6-51f4-41c2-9ff4-9d30d66c358e,1.24E+39,1,0,CSC Irrigated Rice,2,1,4000,4,DAGANA,RONKH,H3 KEUR L ISLAM,16.34193167,-16.00491667
uuid:3513b03f-dde4-4f87-88a3-44e34125b968,3.51E+39,1,0,CSC Irrigated Rice,2,1,5760,5.76,DAGANA,RONKH,H3 KEUR L ISLAM,16.34223667,-16.00418167
uuid:fd70b670-3b98-4804-8a26-129b77ba2aa4,6.47E+39,1,0,CSC Irrigated Rice,2,1,1600,1.6,DAGANA,RONKH,H3 KEUR L ISLAM,16.34232,-16.00423333
uuid:8248df92-09ce-45a7-a7a7-11d359526f46,8.25E+39,1,1,CSC Irrigated Rice,2,0.3799999952,3294.6,8.670000109,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.40089833,-16.075425
uuid:8afabe0e-34ce-4ed2-af4c-61f9168f1755,8.16E+39,1,0,CSC Irrigated Rice,2,1,1650,1.65,DAGANA,MBANE,Keur Mbay Nar,16.47694167,-15.59815
uuid:3bc8434e-946a-4dd5-bd7d-6d536c9b3d80,3.24E+39,1,0,CSC Irrigated Rice,3,0.400000006,3300,8.249999877,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77333667,-13.46580167
uuid:41525569-af46-419c-b800-3935095a1a50,4.15E+39,1,0,CSC Irrigated Rice,2,0.8999999762,5694,6.326666834,DAGANA,RONKH,KHEUNE,16.52282333,-16.10777167
uuid:05583819-bbbb-48cf-831f-90837030102a,5.58E+38,1,0,CSC Irrigated Rice,3,0.9499999881,950,1.000000013,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77545833,-13.46824833
uuid:ca90b085-d475-4013-bb66-d7793ea6ab29,3.19E+39,1,1,CSC Irrigated Rice,2,0.400000006,2160,5.39999992,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.571045,-14.84369167
uuid:36cae58b-dad7-43f2-a676-1ab83d9c3cbc,3.63E+39,1,1,CSC Irrigated Rice,2,0.8000000119,2916,3.644999946,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57263833,-14.84367
uuid:4b9e9c3b-24e3-428f-9dc1-75e1d757c088,4.30E+39,1,1,CSC Irrigated Rice,2,2.319999933,6210,2.676724215,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57356,-14.843995
uuid:541d68fe-19bd-4495-ac39-96c6da26d14a,5.41E+39,1,1,CSC Irrigated Rice,2,0.6000000238,2960,4.933333137,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57293333,-14.84297333
uuid:e425e63f-264f-492f-a779-e4acddb7ccd8,5.43E+39,1,1,CSC Irrigated Rice,2,0.7200000286,5130,7.124999717,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.572105,-14.84312167
uuid:07f222fd-fd01-4168-9a65-58f9c33e53da,7.62E+38,1,1,CSC Irrigated Rice,2,0.4600000083,2862,6.221739018,PODOR,FANAYE,FANAYE DIERY,16.52658833,-15.217345
