KEY,ID_menage,riz_irrig_csc2,riz_irrig_hiv2,crops_cult1 irrigated rice,season_cult1,Area planted (ha) irrigated rice,Quantity produced (Kg) irrigated rice,Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:a20fa0b0-d049-4f11-b0bb-476a306f7cd7,1.21E+39,1,1,CSC Irrigated Rice,1,0.7900000215,3078,3.896202426,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57291333,-14.84423
uuid:bb7d8522-5eb4-4eeb-bde4-898bd27e1409,2.27E+39,1,1,CSC Irrigated Rice,2,0.400000006,2160,5.39999992,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.52173833,-14.87267
uuid:36c402b6-c82a-4e16-a045-6e29efd2b2c7,3.63E+39,1,1,CSC Irrigated Rice,2,0.4699999988,2000,4.25531916,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57438833,-14.84533667
uuid:4a944c65-b353-4a08-91e8-0f982bc091cd,4.19E+39,1,1,CSC Irrigated Rice,1,0.8999999762,3000,3.333333422,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57420167,-14.84472667
uuid:ea84ef26-1703-4cf3-8a66-a96d325e0f06,5.18E+39,1,1,CSC Irrigated Rice,2,0.9800000191,4752,4.848979497,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57274167,-14.844915
uuid:efd9041a-4d16-4309-ae91-6ba9b3a647b7,5.65E+39,1,1,CSC Irrigated Rice,2,1.200000048,4860,4.049999839,PODOR,GUEDE VILLAGE,DIAMBO DIAOBE,16.57394333,-14.84361
uuid:826eea2b-e840-428c-bfc0-3322b56a4354,8.27E+39,1,1,CSC Irrigated Rice,2,3,22550,7.516666667,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39949833,-16.07573667
uuid:08cfa4c3-6a07-4218-a514-3e6bd16753a8,8.36E+38,1,1,CSC Irrigated Rice,2,0.400000006,1782,4.454999934,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.521545,-14.87013167
uuid:bb46e721-fc2e-4ebc-8959-e7a1a8149d10,2.25E+39,1,0,CSC Irrigated Rice,2,1.399999976,12155,8.682143005,DAGANA,DIAMA,H3 YAYE FOUNDA,16.28036333,-16.217845
uuid:bb46e721-fc2e-4ebc-8959-e7a1a8149d10,2.25E+39,1,0,CSC Irrigated Rice,2,0.8999999762,7650,8.500000225,DAGANA,DIAMA,H3 YAYE FOUNDA,16.28036333,-16.217845
uuid:bb46e721-fc2e-4ebc-8959-e7a1a8149d10,2.25E+39,1,0,CSC Irrigated Rice,2,0.400000006,3655,9.137499864,DAGANA,DIAMA,H3 YAYE FOUNDA,16.28036333,-16.217845
uuid:5fe3bf02-a63e-428d-9a83-00fbd7054518,5.65E+39,1,0,CSC Irrigated Rice,2,0.8000000119,2916,3.644999946,PODOR,BOKE DIALLOUBE,WALLAH,16.52339667,-14.852195
uuid:fcd0049c-18a5-421f-81f5-212784cab964,6.34E+39,1,0,CSC Irrigated Rice,2,3,19920,6.64,DAGANA,RONKH,KHEUNE,16.52202,-16.10739
uuid:7b12ad79-afa9-4c1f-ba38-307d75230921,7.21E+39,1,0,CSC Irrigated Rice,2,0.6999999881,1600,2.285714325,MATAM,BOKIDIAWE,DOUMGA RINDIAO,15.866715,-13.46918167
uuid:9db230c4-2f61-4b38-8ed5-2cad1d43cb58,9.42E+39,1,0,CSC Irrigated Rice,2,0.400000006,2052,5.129999924,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.51968167,-14.87275333
uuid:12329cfc-3833-4deb-9271-461231512215,1.23E+39,1,0,CSC Irrigated Rice,1,0.5,3200,6.4,DAGANA,BOKHOL,BOKHOL,16.523485,-15.40006667
uuid:ab37f2a6-51f4-41c2-9ff4-9d30d66c358e,1.24E+39,1,0,CSC Irrigated Rice,2,1,3200,3.2,DAGANA,RONKH,H3 KEUR L ISLAM,16.34193167,-16.00491667
uuid:1424e5ff-0ec1-4ab8-805b-80e0bd1a288b,1.42E+39,1,0,CSC Irrigated Rice,2,0.5,2288,4.576,PODOR,FANAYE,FANAYE DIERY,16.52558167,-15.21759
uuid:14cd7190-f956-4581-91ae-3c5c06e3b4e2,1.43E+39,1,0,CSC Irrigated Rice,2,1.299999952,6920,5.323077118,DAGANA,RONKH,H1 GUILADO I,16.374655,-15.93955667
uuid:1628d4cd-46ef-4b72-8db6-34356d34ef0a,1.63E+39,1,0,CSC Irrigated Rice,2,1.100000024,7200,6.545454404,DAGANA,RONKH,H3 KEUR L ISLAM,16.34188167,-16.00444333
uuid:1628d4cd-46ef-4b72-8db6-34356d34ef0a,1.63E+39,1,0,CSC Irrigated Rice,2,3,8000,2.666666667,DAGANA,RONKH,H3 KEUR L ISLAM,16.34188167,-16.00444333
uuid:a898425b-3a6f-40a7-b16e-26328064e3ab,1.90E+39,1,0,CSC Irrigated Rice,2,1.5,11050,7.366666667,DAGANA,DIAMA,H3 YAYE FOUNDA,16.28034833,-16.21813167
uuid:a898425b-3a6f-40a7-b16e-26328064e3ab,1.90E+39,1,0,CSC Irrigated Rice,1,1,6800,6.8,DAGANA,DIAMA,H3 YAYE FOUNDA,16.28034833,-16.21813167
uuid:bcdd85c9-f227-4a56-9f4d-8285dcf7255a,2.34E+39,1,0,CSC Irrigated Rice,2,0.7900000215,6557,8.299999775,DAGANA,DIAMA,H2 POLLO,16.26117833,-16.24121167
uuid:247a4d22-0740-4ef9-945a-b8f757895a40,2.47E+39,1,0,CSC Irrigated Rice,2,1,4640,4.64,DAGANA,RONKH,"NDIAEL I, NDIAEL II, NDIAEL III",16.35868667,-15.97866167
uuid:288c9769-251a-4563-a477-9462796e6dd0,2.88E+39,1,0,CSC Irrigated Rice,2,0.5,2808,5.616,PODOR,FANAYE,FANAYE DIERY,16.52663667,-15.22255167
uuid:c04777a3-5c2f-4ee2-a601-b5b70d32549b,3.05E+39,1,0,CSC Irrigated Rice,2,2,13500,6.75,PODOR,FANAYE,FANAYE DIERY,16.52826167,-15.22264833
uuid:ca104e78-ebac-4b24-b6f3-048a39cf9cc6,3.11E+39,1,0,CSC Irrigated Rice,2,0.3300000131,2160,6.545454285,PODOR,FANAYE,FANAYE DIERY,16.52631,-15.22234167
uuid:cb053cd6-963d-400c-ab97-813b7bf2a4cf,3.21E+39,1,0,CSC Irrigated Rice,2,2,13104,6.552,DAGANA,RONKH,H1 GUILADO I,16.37488167,-15.93904667
uuid:337fccc3-3714-4578-bf66-424ebf7679c2,3.38E+39,1,0,CSC Irrigated Rice,2,1.24000001,10200,8.225806388,DAGANA,DIAMA,H2 POLLO,16.261245,-16.24123333
uuid:3513b03f-dde4-4f87-88a3-44e34125b968,3.51E+39,1,0,CSC Irrigated Rice,2,1,8400,8.4,DAGANA,RONKH,H3 KEUR L ISLAM,16.34223667,-16.00418167
uuid:3e1ec2bd-0409-4a2c-ae6d-06c4ddb6af02,3.52E+39,1,0,CSC Irrigated Rice,2,10,48000,4.8,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.398815,-16.07490833
uuid:ce9a6f1a-5006-43c7-8f05-b9dc46990dff,3.59E+39,1,0,CSC Irrigated Rice,2,0.6399999857,5292,8.268750185,PODOR,FANAYE,FANAYE DIERY,16.52727,-15.21970833
uuid:c950cc93-d1d5-4947-b082-544ac4324722,3.95E+39,1,0,CSC Irrigated Rice,2,1.5,7560,5.04,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.49907667,-15.05922333
uuid:da2f58cb-fead-4baf-a13d-6f397950789b,4.13E+39,1,0,CSC Irrigated Rice,2,0.8000000119,6080,7.599999887,DAGANA,BOKHOL,BOKHOL,16.523695,-15.40112667
uuid:41525569-af46-419c-b800-3935095a1a50,4.15E+39,1,0,CSC Irrigated Rice,2,3,22074,7.358,DAGANA,RONKH,KHEUNE,16.52282333,-16.10777167
uuid:d3a6e8e6-09f0-491b-a4b9-3eca54456f1c,4.32E+39,1,0,CSC Irrigated Rice,2,4,24864,6.216,DAGANA,RONKH,KHEUNE,16.52201667,-16.106955
uuid:ead2c7e4-5ac3-409c-a422-9dcbe9749a7a,5.14E+39,1,0,CSC Irrigated Rice,2,0.5699999928,2500,4.385964967,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.50038167,-15.05888167
uuid:51e28c87-19af-4eba-ad68-dfcf791cfc0d,5.15E+39,1,0,CSC Irrigated Rice,2,0.8500000238,9350,10.99999969,DAGANA,DIAMA,BIFFECHE,16.169205,-16.30819667
uuid:ef6a645c-a1ff-425b-b25f-d91e66f7ac9f,5.66E+39,1,0,CSC Irrigated Rice,2,0.3000000119,3420,11.39999955,DAGANA,BOKHOL,BOKHOL,16.52336333,-15.40130333
uuid:57b69d0b-0453-48a5-8149-edb33b2c270d,5.73E+39,1,0,CSC Irrigated Rice,2,1.649999976,13600,8.242424362,DAGANA,RONKH,H1 GUILADO I,16.37498167,-15.9396
uuid:60bdadc9-3959-44d9-a407-6e3e84243e22,6.02E+39,1,0,CSC Irrigated Rice,2,1,6400,6.4,DAGANA,BOKHOL,BOKHOL,16.523005,-15.399555
uuid:0f0ede43-a1ee-4a6e-bbe3-e4636613d604,6.05E+38,1,0,CSC Irrigated Rice,2,1,3600,3.6,DAGANA,NGNITH,Mbilor,16.48677333,-15.559045
uuid:6be86a98-84f6-4e9c-aab0-d9052301cae1,6.26E+39,1,0,CSC Irrigated Rice,2,0.5,3942,7.884,PODOR,FANAYE,FANAYE DIERY,16.52648167,-15.219475
uuid:fd70b670-3b98-4804-8a26-129b77ba2aa4,6.47E+39,1,0,CSC Irrigated Rice,2,1,5600,5.6,DAGANA,RONKH,H3 KEUR L ISLAM,16.34232,-16.00423333
uuid:6ee0840c-cba1-4dad-81b4-febc340e1047,6.55E+39,1,0,CSC Irrigated Rice,2,2,17000,8.5,DAGANA,DIAMA,H2 POLLO,16.26120667,-16.24122667
uuid:69a93176-07a7-4e7f-833a-5aee1cf3ea55,6.92E+39,1,0,CSC Irrigated Rice,2,0.400000006,1500,3.749999944,DAGANA,NGNITH,Mbilor,16.48622,-15.55686
uuid:7f1c75a3-9d16-40f8-9764-803926ddd421,7.61E+39,1,0,CSC Irrigated Rice,2,2.299999952,20230,8.795652356,DAGANA,DIAMA,H3 YAYE FOUNDA,16.28039167,-16.21773333
uuid:7f1c75a3-9d16-40f8-9764-803926ddd421,7.61E+39,1,0,CSC Irrigated Rice,2,0.5,2295,4.59,DAGANA,DIAMA,H3 YAYE FOUNDA,16.28039167,-16.21773333
uuid:80ed7ad9-53a1-4b6c-9b2b-5ef6fdac6203,8.05E+39,1,0,CSC Irrigated Rice,2,0.8999999762,4000,4.444444562,DAGANA,BOKHOL,BOKHOL,16.52303,-15.39995833
uuid:8a74439a-58a5-414b-85bb-0457f8a14b1d,8.17E+39,1,0,CSC Irrigated Rice,2,3,19680,6.56,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39966167,-16.07556
uuid:8b3c8dba-0319-4cf0-8729-5995ef1dd6f8,8.23E+39,1,0,CSC Irrigated Rice,2,0.200000003,1000,4.999999925,DAGANA,MBANE,Keur Mbay Nar,16.47729333,-15.597715
uuid:8cf76266-7cb6-4fcc-9ffa-d497764efdbb,8.37E+39,1,0,CSC Irrigated Rice,2,1,8500,8.5,DAGANA,DIAMA,BIFFECHE,16.17059833,-16.30801333
uuid:84b2f77d-55fe-4397-b5da-ae3722df2fde,8.42E+39,1,0,CSC Irrigated Rice,2,1.350000024,8500,6.296296185,DAGANA,DIAMA,BIFFECHE,16.16998833,-16.30756333
uuid:8f05a123-16f5-44fd-8218-335a34ed6615,8.61E+39,1,0,CSC Irrigated Rice,2,0.5,1750,3.5,DAGANA,NGNITH,Mbilor,16.48524833,-15.56159167
uuid:971ad948-4e3b-4b1e-aa22-cc0f0cfbfff3,9.71E+39,1,0,CSC Irrigated Rice,2,1.399999976,6480,4.628571507,PODOR,FANAYE,FANAYE DIERY,16.52823667,-15.223465
uuid:1b20cd9d-a66e-4609-89ca-8bdcb9223ddd,1.22E+39,1,1,CSC Irrigated Rice,1,0.3000000119,550,1.83333326,DAGANA,MBANE,Keur Mbay Nar,16.476935,-15.59590833
uuid:adf93fce-0451-43a0-b201-35ef1bd6347a,1.47E+39,1,1,CSC Irrigated Rice,3,0.400000006,1620,4.04999994,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.51916667,-14.87187333
uuid:293dea87-7008-42f8-93ed-6308fe94db00,2.93E+39,1,1,CSC Irrigated Rice,1,0.400000006,2268,5.669999916,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.522445,-14.866905
uuid:cc8d4d35-db55-45a8-a3b9-a86d4eaae166,3.38E+39,1,1,CSC Irrigated Rice,2,0.3000000119,1350,4.499999821,PODOR,FANAYE,DIMAR DIERY,16.51347167,-15.12388333
uuid:cc902a9e-a312-4a52-a64d-33788ac0b713,3.39E+39,1,1,CSC Irrigated Rice,2,14,93500,6.678571429,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.399115,-16.07456
uuid:05895259-f6b5-410b-b758-2c33ceab405e,5.90E+38,1,1,CSC Irrigated Rice,2,0.5,2700,5.4,PODOR,FANAYE,DIMAR DIERY,16.51498833,-15.12941333
uuid:7efe855c-dfa2-4851-9b73-a7a635f699bd,7.57E+39,1,1,CSC Irrigated Rice,2,0.5,2700,5.4,PODOR,FANAYE,DIMAR DIERY,16.51566333,-15.12864333
uuid:8248df92-09ce-45a7-a7a7-11d359526f46,8.25E+39,1,1,CSC Irrigated Rice,2,1.649999976,14705,8.912121341,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.40089833,-16.075425
uuid:8248df92-09ce-45a7-a7a7-11d359526f46,8.25E+39,1,1,CSC Irrigated Rice,2,1,8500,8.5,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.40089833,-16.075425
uuid:ffe76f31-2944-43f4-95dc-6c24a1f6a473,6.66E+39,1,0,CSC Irrigated Rice,1,1.200000048,9720,8.099999678,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.52106167,-14.86751
uuid:13e3608d-2329-4cde-b437-0d08b7c2053f,1.35E+39,1,0,CSC Irrigated Rice,2,0.5,2080,4.16,DAGANA,BOKHOL,BOKHOL,16.52298167,-15.40180333
uuid:a4a13e84-2aad-4694-92e8-426dc93bda99,1.41E+39,1,0,CSC Irrigated Rice,2,0.3899999857,2160,5.538461742,PODOR,NDIAYENE PENDAO,H7 NGUENDAR WALO,16.606,-14.98130333
uuid:1de62e7f-54e7-45de-afd2-a44415ca9199,1.46E+39,1,0,CSC Irrigated Rice,2,0.200000003,860,4.299999936,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.60601833,-14.98177
uuid:01481fd1-1c99-4aa4-8ce9-350b7b41de4e,1.48E+38,1,0,CSC Irrigated Rice,2,0.3000000119,880,2.933333217,DAGANA,MBANE,Keur Mbaye Wolof,16.478905,-15.60295333
uuid:1ef65b49-b7dd-4ea9-9bb0-a5380bcc5756,1.57E+39,1,0,CSC Irrigated Rice,2,0.400000006,2000,4.999999925,PODOR,DODEL,THIENEL SAKHOBES,16.59768167,-14.92530667
uuid:a7579837-3813-4550-bdc1-c03713c607a1,1.76E+39,1,0,CSC Irrigated Rice,2,0.5,3000,6,DAGANA,BOKHOL,KHARE,16.527105,-15.61811167
uuid:a99037f9-0cb9-4acf-8df2-f875a459ad16,1.99E+39,1,0,CSC Irrigated Rice,2,2,12000,6,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.500595,-15.05436
uuid:b0341b8b-300b-4b23-9851-9b0119416862,2.03E+39,1,0,CSC Irrigated Rice,2,0.5,2050,4.1,DAGANA,NGNITH,Mbilor,16.48469333,-15.56125833
uuid:bb5a5f1c-7203-43ab-b215-8947119ed119,2.25E+39,1,0,CSC Irrigated Rice,2,0.400000006,2160,5.39999992,PODOR,FANAYE,DIMAR DIERY,16.51363667,-15.11644333
uuid:23dc8b6d-1a10-4ab2-8ea1-a7b0ecbdb77b,2.34E+39,1,0,CSC Irrigated Rice,2,0.9599999785,8050,8.385416854,DAGANA,BOKHOL,BOKHOL,16.5223,-15.40169
uuid:bd3412c7-95bc-45e1-870d-e0fad44b4d0f,2.43E+39,1,0,CSC Irrigated Rice,2,0.400000006,3300,8.249999877,DAGANA,BOKHOL,KHARE,16.52746667,-15.61800167
uuid:bdcfc760-8dcb-4a08-8df3-14b809028d6f,2.44E+39,1,0,CSC Irrigated Rice,2,1,5994,5.994,PODOR,FANAYE,DIMAR DIERY,16.51417167,-15.128705
uuid:26cc4553-7288-4476-8fb6-e971a683ea9c,2.63E+39,1,0,CSC Irrigated Rice,3,0.5,4000,8,DAGANA,MBANE,Toucouleur Diery,16.46834333,-15.633945
uuid:3add1696-c435-499a-b4b5-6688365f2216,3.14E+39,1,0,CSC Irrigated Rice,2,7,30000,4.285714286,DAGANA,DIAMA,TABA DAROU SALAM I,16.15436167,-16.411355
uuid:319b6e12-baa6-4bfc-a61d-b8dc359c6c55,3.19E+39,1,0,CSC Irrigated Rice,2,2,6480,3.24,PODOR,FANAYE,DIMAR DIERY,16.51353167,-15.127305
uuid:3e7301cb-bc7f-4b66-ad02-c1e339837fea,3.57E+39,1,0,CSC Irrigated Rice,2,0.6399999857,3780,5.906250132,PODOR,GUEDE VILLAGE,TAREDJI DECOLLE,16.52040833,-14.87287667
uuid:43f8876c-b364-4f3a-8f6e-94f6a32569d9,4.37E+39,1,0,CSC Irrigated Rice,2,0.5,5000,10,DAGANA,NGNITH,Mbilor,16.48613167,-15.55715167
uuid:46b30486-6222-4d3c-a05e-c23f329cd497,4.62E+39,1,0,CSC Irrigated Rice,2,0.5,2000,4,DAGANA,MBANE,Toucouleur Diery,16.46834,-15.63397167
uuid:d79081e9-7342-470c-93f0-c9089b090849,4.79E+39,1,0,CSC Irrigated Rice,2,0.9800000191,9408,9.599999813,DAGANA,DIAMA,BIFFECHE,16.17077667,-16.3075
uuid:51c94bbd-f090-422e-aa75-323a0812873d,5.14E+39,1,0,CSC Irrigated Rice,2,0.150000006,1500,9.999999603,DAGANA,MBANE,Keur Mbay Nar,16.47749667,-15.59709833
uuid:5c4debd6-acbf-48e3-ac03-6c2728622f8c,5.34E+39,1,0,CSC Irrigated Rice,2,1,4320,4.32,PODOR,NDIAYENE PENDAO,H7 NGUENDAR WALO,16.60636667,-14.98202667
uuid:ecfa43b0-5be5-46f2-ac60-b67f2895a82d,5.36E+39,1,0,CSC Irrigated Rice,2,0.400000006,2000,4.999999925,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.50376333,-15.04713667
uuid:ee04f280-6b61-4c1b-a3b1-9f060b1bc182,5.50E+39,1,0,CSC Irrigated Rice,2,1.5,11760,7.84,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39982,-16.07552333
uuid:05583819-bbbb-48cf-831f-90837030102a,5.58E+38,1,0,CSC Irrigated Rice,3,0.8000000119,850,1.062499984,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77545833,-13.46824833
uuid:e69ddfd1-bb6d-4ab2-93e7-bea4b2520768,5.69E+39,1,0,CSC Irrigated Rice,2,0.400000006,2376,5.939999911,PODOR,FANAYE,FANAYE DIERY,16.514045,-15.11876
uuid:59094bc0-a48b-4cd0-83fa-698bc3dc892e,5.91E+39,1,0,CSC Irrigated Rice,2,0.6800000072,10000,14.7058822,DAGANA,DIAMA,BIFFECHE,16.170425,-16.30695
uuid:61c8bf22-ac5a-4dd3-98c1-546b801e42ae,6.14E+39,1,0,CSC Irrigated Rice,2,1.75999999,15960,9.068181867,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39973,-16.07497667
uuid:f2afe53e-0de3-4684-9627-38bba654c12d,6.22E+39,1,0,CSC Irrigated Rice,2,0.400000006,2700,6.749999899,PODOR,FANAYE,DIMAR DIERY,16.51350667,-15.11869667
uuid:64e30c0b-35b6-415d-a0a0-b15fe7a8f6be,6.45E+39,1,0,CSC Irrigated Rice,1,1,7728,7.728,DAGANA,RONKH,KHEUNE,16.52132333,-16.10769667
uuid:fe2c0266-c8d3-4722-928d-d13d1985c23b,6.52E+39,1,0,CSC Irrigated Rice,2,0.200000003,600,2.999999955,DAGANA,BOKHOL,KHARE,16.52700833,-15.61754667
uuid:66bd1b2f-53b4-4bde-992e-752e1da73c15,6.62E+39,1,0,CSC Irrigated Rice,2,12,95760,7.98,DAGANA,RONKH,H1 GUILADO I,16.37471333,-15.93884
uuid:73bd4ac1-ae0e-4eb4-a4ba-3a9fb38163c3,7.32E+39,1,0,CSC Irrigated Rice,2,0.349999994,2700,7.714285846,DAGANA,MBANE,Toucouleur Diery,16.46845,-15.63380833
uuid:7f179d1b-ae7f-4ab9-b18e-b99d827d6944,7.62E+39,1,0,CSC Irrigated Rice,2,0.4799999893,3840,8.000000179,DAGANA,BOKHOL,BOKHOL,16.52221,-15.39946833
uuid:808820bc-a129-4035-a445-761befa4998f,8.09E+39,1,0,CSC Irrigated Rice,2,1,6720,6.72,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39920833,-16.07463
uuid:84da1a9e-b35a-4183-9619-e52cfd5c2be0,8.44E+39,1,0,CSC Irrigated Rice,2,1,5580,5.58,DAGANA,NGNITH,Mbilor,16.48474333,-15.55811833
uuid:876a374a-e65a-4aa2-a5a2-cbef7d1ace5f,8.76E+39,1,0,CSC Irrigated Rice,2,0.5,3200,6.4,DAGANA,NGNITH,Mbilor,16.4868,-15.56091333
uuid:9658774a-2ed7-46d2-9df4-106c3181b1e1,9.66E+39,1,0,CSC Irrigated Rice,3,0.5,1000,2,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77555667,-13.464725
uuid:099ddccf-89c3-4775-8565-da2bb2eb6222,9.94E+38,1,0,CSC Irrigated Rice,2,1,2870,2.87,DAGANA,NGNITH,Mbilor,16.48526167,-15.56084833
uuid:e2461231-0f84-431f-9e16-43113012d91a,5.25E+39,1,0,CSC Irrigated Rice,2,0.8999999762,5940,6.600000175,PODOR,NDIAYENE PENDAO,H9 KODITH NDIANDANE,16.59022833,-14.96609667
uuid:f9c5aa77-0a17-45c1-aa2c-b80b5331b337,6.94E+39,1,0,CSC Irrigated Rice,2,12,79680,6.64,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39842333,-16.074365
uuid:a8b2bb52-45cc-4deb-85e4-a94f8afd1d1e,1.82E+39,1,0,CSC Irrigated Rice,2,2,14450,7.225,DAGANA,RONKH,KHEUNE,16.52219667,-16.10803
uuid:20911ea8-cf85-4d68-b0df-f73c5cb93a4e,2.09E+39,1,0,CSC Irrigated Rice,2,0.5,4240,8.48,DAGANA,RONKH,"NDIAEL I, NDIAEL II, NDIAEL III",16.35863167,-15.97864667
uuid:2c88b61f-f2a7-4a4b-b47b-0fd6833cbf30,2.39E+39,1,0,CSC Irrigated Rice,2,0.5,2160,4.32,PODOR,NDIAYENE PENDAO,H8 MBANTHIE,16.599545,-14.97093167
uuid:c61157cb-3a4a-4cba-8057-4b943f5d31dc,3.61E+39,1,0,CSC Irrigated Rice,2,5.960000038,27846,4.672147621,DAGANA,RONKH,KHEUNE,16.52339833,-16.10646667
uuid:ed219374-5532-4d18-9eb7-a047fa7e8b25,5.42E+39,1,0,CSC Irrigated Rice,2,0.8999999762,4500,5.000000132,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.50162667,-15.05582667
uuid:f9c5aa77-0a17-45c1-aa2c-b80b5331b337,6.94E+39,1,0,CSC Irrigated Rice,2,4,24000,6,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39842333,-16.074365
uuid:b2db5d38-9240-48c1-8035-259d442669c0,2.24E+39,1,0,CSC Irrigated Rice,2,1.5,3735,2.49,DAGANA,RONKH,KHEUNE,16.522475,-16.10876
