KEY,ID_menage,crops_cult5,season_cult5,Area_cult5 (ha),QuantityProduced_cult5 (kg),Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:fc45832a-6c1b-44d2-904c-5a8bf8df4760,6.35E+39,Corn,1,1,500,0.5,BIRKELANE,MBEULEUP,3NDIOBENE GOUYE(ALLA GAWRY),13.94377,-15.59585167
uuid:66ecc241-7720-4292-a651-e9010c5f979e,6.65E+39,Corn,1,0.5,50,0.1,MEDINA YORO FOULAH,BOUROUCO,YEUME(SINTHIOU DEMBA SYLLA),,
uuid:779fc0f6-8e31-4140-b094-f79d6c8a0f70,7.80E+39,Corn,1,1.5,800,0.5333333333,KAFFRINE,DIAMAGADIO,MEODIAWENE,13.79014667,-15.42003833
uuid:9c8e1b10-9f22-4053-8eb3-9d8d00db88ce,9.39E+39,Corn,1,0.5,750,1.5,MEDINA YORO FOULAH,KEREWANE,A�NOUMANE,,
uuid:97e33e45-7ab5-40a8-ad66-b04d9a52baad,9.75E+39,Corn,1,1,350,0.35,NIORO,POROKHANE,KEUR ALASSANE KHODIA,13.64521833,-15.86325833
uuid:c1fce304-32dd-46ec-95f8-ccf9c21e1539,3.16E+39,Corn,1,1,1000,1,NIORO,DAROU SALAM,KEUR CHEIKHOU OUMAR,13.86916833,-15.848945
uuid:82861885-f0b2-4a26-9da1-076304aabd87,8.29E+39,Corn,1,1.5,2000,1.333333333,NIORO,GAINTE KAYE,FAOUROU SERERE,13.85289,-15.91365833
uuid:a1303d2c-d036-4bea-99dc-ea485da0d6c9,1.13E+39,Corn,1,1.3,3000,2.307692308,NIORO,DAROU SALAM,KEUR CHEIKHOU OUMAR,13.87017833,-15.85102333
uuid:242fb191-b595-4416-b862-c55dfda5537e,2.43E+39,Corn,1,1,500,0.5,KOLDA,TANKANTO ESCALE,OUMOUL KOURE (BOKH MAOUNDE),12.801795,-15.064935
uuid:e05c48b8-733d-4df6-8f74-511e4ab3e135,5.05E+39,Corn,1,1,300,0.3,MEDINA YORO FOULAH,NIAMING,TOUBA MBAYENE (KEUR SEYNI),13.35680667,-14.75588833
uuid:67ffb5f4-3ee1-4fac-a831-db1cabdae41c,6.77E+39,Corn,1,1,900,0.9,VELINGARA,MEDINA GOUNASS,MEDINA GOUNASS,13.13713333,-13.76254833
uuid:877749eb-55a3-4f1c-bedd-2c40eb3c3869,8.78E+39,Corn,1,0.25,200,0.8,BIGNONA,KAFOUNTINE,KAFOUNTINE,12.92179833,-16.73495833
uuid:a605e906-6888-41fb-95e9-56684801d5b9,1.61E+39,Corn,1,2,600,0.3,KOUNGHEUL,GAINTHE PATHE,YASSI,,
uuid:b622fb8a-2065-4592-ab9f-575fb3e7f351,2.62E+39,Corn,1,0.5,50,0.1,BIGNONA,TENGHORY,FRANCOUNDA,12.83641833,-16.18399833
uuid:b6c63c5c-558f-4f08-a857-3e7474bda50b,2.64E+39,Corn,1,3,2350,0.7833333333,VELINGARA,KANDIA,SARE YERO META,13.11743667,-14.27708167
uuid:c0454afe-af43-40ab-a1f5-346370952c1e,3.05E+39,Corn,1,0.5,500,1,SEDHIOU,DIENDE,DIATOUMA MANDINGUE,,
uuid:cb3cd40b-3ff8-4bdc-8aec-5aef5351ad8d,3.23E+39,Corn,1,1,250,0.25,VELINGARA,PAROUMBA,BODORA,12.73826667,-13.78217333
uuid:0c471143-c520-4094-8e05-fa5bb940bbc2,3.47E+38,Corn,1,2,2500,1.25,NIORO,MEDINA-SABAKH,KEUR AYIB GUEYE,13.59582,-15.60638833
uuid:3535e492-9642-4478-a453-8516a1689de4,3.54E+39,Corn,1,0.24,300,1.25,BIGNONA,DJINAKI,Kabiline,12.95190833,-16.52092
uuid:4a2148f5-3592-4fb8-8004-f8805689cf66,4.12E+39,Corn,1,0.5,50,0.1,BIGNONA,OULAMPANE,Oulampane,,
uuid:4178da42-c5fb-411b-a6f3-558bd67e098e,4.18E+39,Corn,1,1,65,0.065,BIRKELANE,N�DIOGNICK,SEGRE BAMBARA,14.04020833,-15.749855
uuid:e0041723-210a-41b0-b491-91566a605e6b,5.00E+39,Corn,1,0.5,500,1,NIORO,GAINTE KAYE,NDIAWARA AL KALY,13.786825,-16.01455333
uuid:e5ad59b9-ca15-49ca-ab7d-f0a9aaa4b016,5.51E+39,Corn,1,1,850,0.85,BIRKELANE,MBEULEUP,1LONKANE MBEULEUP(LONKANE MATH),13.92622,-15.565
uuid:59623331-fbfb-4292-ac61-944b12b9930f,5.96E+39,Corn,1,2.5,1500,0.6,VELINGARA,OUASSADOU,BOYA,12.79648,-14.19692333
uuid:62a691e8-6521-4ff1-a92d-66f2cb70270c,6.22E+39,Corn,1,1,500,0.5,NIORO,GAINTE KAYE,FAOUROU SERERE,13.85891,-15.91505667
uuid:786e839c-29fd-4211-8f29-c7ab504acc27,7.87E+39,Corn,1,1.5,1300,0.8666666667,NIORO,GAINTE KAYE,FAOUROU PEULH,13.86200833,-15.91524333
uuid:922ccb70-da37-45ac-a0da-220dcae31d9d,9.22E+39,Corn,1,1,500,0.5,KAFFRINE,DIAMAGADIO,MEODIAWENE,13.79080333,-15.42201
uuid:abf2505a-bbb6-473c-97f2-016015e70ed4,1.26E+39,Corn,1,1.5,1750,1.166666667,MEDINA YORO FOULAH,FAFACOUROU,PADIALA SINTHIANG,13.13426667,-14.54865167
uuid:a2692e25-0e97-407e-a55c-cc84c2292fd8,1.27E+39,Corn,1,0.5,60,0.12,KOUNGHEUL,MISSIRAH WADENE,MINAL NDRAME,,
uuid:13595610-0790-4355-ac72-075a7720867c,1.36E+39,Corn,1,0.5,40,0.08,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,,
uuid:1c9297ee-be1c-4660-a0cd-65e66f681735,1.39E+39,Corn,1,0,500,,BIRKELANE,MABO,NDIORAL DIA MBAYE,13.82490833,-15.640365
uuid:1437265c-9dfc-4190-be65-d8b4cdde03b5,1.44E+39,Corn,1,4,750,0.1875,BOUNKILING,KANDION MANGANA,Bougary Diamalathiel,12.993915,-15.83187167
uuid:ad579cfc-9485-4d11-9c71-7614f5e4240b,1.46E+39,Corn,1,0.25,300,1.2,KOLDA,MAMPATIM,MEDINA AMADOU SABALY (MEDINA THIERNO SABALY),13.03031333,-14.35387
uuid:a48c0877-0431-4c7c-8cdf-ce13b6bf6165,1.48E+39,Corn,1,2,400,0.2,MEDINA YORO FOULAH,FAFACOUROU,SINTHIANG DIOMOU,13.11682,-14.56500333
uuid:a6373f93-539a-4045-bae1-90d707722bee,1.64E+39,Corn,1,0,200,,KAFFRINE,KATHIOTE,Ngainte Gouye/Keur Sette Tabara,14.05991667,-15.57215833
uuid:0bad4ae9-4c48-41b2-8d40-460951fbedcf,2.14E+38,Corn,1,1,1500,1.5,KAOLACK,NDIAFFATE,DAROU MBITEYENE,13.983355,-16.139265
uuid:bad89c9f-7add-4a09-b99c-556c2dc93d9a,2.15E+39,Corn,1,1.25,550,0.44,VELINGARA,BONCONTO,DAROU SALAM DJIDERE (SINTHIANG DJIDERE),13.04725,-13.93832
uuid:2355636b-7815-4da7-83db-1e982702a986,2.36E+39,Corn,1,0.25,100,0.4,VELINGARA,SARE COLY SALLE,MISSIRA BASSI (SARE BASSI),13.15874,-14.07374
uuid:b4d0eeef-69bd-4490-ad24-a4feab723fce,2.44E+39,Corn,1,1,250,0.25,GOUDOMP,KOLIBANTANG,KERERE,12.71396333,-15.51839833
uuid:be2b59fc-0088-40b6-b469-2c3cdfe4d9b4,2.52E+39,Corn,1,1,750,0.75,NIORO,DAROU SALAM,KEUR CHEIKHOU OUMAR,13.87053,-15.85019
uuid:b5994c77-e8aa-445d-8d07-5825d028d1a5,2.60E+39,Corn,1,0.5,500,1,KOLDA,SARE BIDJI,SARE MAOUDE DIAO,12.95404667,-14.97698333
uuid:274d1ca2-7e6b-47b0-9af3-5df50130982a,2.74E+39,Corn,1,1,1500,1.5,VELINGARA,KANDIA,TABADIANG SAMBA,13.11211167,-14.24189167
uuid:b87232a9-99eb-4f4b-b9d4-c47aef2df47d,2.87E+39,Corn,1,1,100,0.1,KAOLACK,THIARE,PACATHIAR KHAYES,13.92990833,-15.77157333
uuid:29e1ec29-84b9-43a0-9432-417b55b727cf,2.95E+39,Corn,1,2,200,0.1,FOUNDIOUGNE,KEUR S.DIANE,KEUR SALOUM DIANE,13.75367333,-16.26779833
uuid:c307353b-8573-4ece-80bb-41ee4343e592,3.31E+39,Corn,1,1,700,0.7,KOUNGHEUL,MISSIRAH WADENE,MEDINA NDAWENE ( NDIRANE ),13.916855,-15.05501
uuid:00340f33-3cc3-4cfa-a829-f44c28bacf13,3.41E+37,Corn,1,1,200,0.2,KOUNGHEUL,MISSIRAH WADENE,KEUR MALICK MARAM,,
uuid:3445dfc9-a864-406a-a8e8-3e6a8ed28607,3.45E+39,Corn,1,1,100,0.1,KOUNGHEUL,GAINTHE PATHE,LOUMBOL,,
uuid:3d5a58a0-a101-42bb-8ea9-7d10b46d9423,3.45E+39,Corn,1,1,300,0.3,KOUNGHEUL,GAINTHE PATHE,LOUMBOL,,
uuid:34589105-d61e-4a8c-a475-f747d02ca82b,3.46E+39,Corn,1,1,700,0.7,NIORO,DAROU SALAM,H1 NDAMA THISSE,13.81495167,-15.68883333
uuid:ce13d561-ff45-4525-ac22-de6aa88d329c,3.51E+39,Corn,1,2,1000,0.5,GOUDOMP,YARANG BALANTE,SINA,12.53956667,-15.60323833
uuid:35e1f680-4b8b-4688-8701-84b281028724,3.55E+39,Corn,1,0,2000,,MALEM HODDAR,SAGNA,Darou Salam,13.97796,-15.20411833
uuid:35e4d0af-60b5-4215-acab-e8221ae78e1b,3.55E+39,Corn,1,1,600,0.6,BIRKELANE,DIAMAL,KELEL MOFEL,14.1271573,-15.7526975
uuid:c561a42f-122b-494e-90c4-9e13cf6d10ac,3.56E+39,Corn,1,1,400,0.4,NIORO,WACK NGOUNA,WACK NGOUNA,13.756185,-16.06473
uuid:c6b6b5ad-1635-46be-8ada-dca76536969d,3.63E+39,Corn,1,1,300,0.3,MEDINA YORO FOULAH,DINGUIRAYE,SINTHIANG BABOU DEME ( TAW KALTOU),13.19031667,-14.556595
uuid:37158f80-5e15-431d-94e1-77a6313b0123,3.72E+39,Corn,1,1,500,0.5,BIRKELANE,SEGRE GATTA,KEUR ALY MARAM,13.9719053,-15.6700633
