KEY,ID_menage,crops_cult4,season_cult4,Area_cult4 (ha),QuantityProduced_cult4 (kg),Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:78084537-d066-41a7-a977-7153b945cb8e,7.81E+39,Millet,1,1.5,800,0.5333333333,PODOR,DODEL,H20 PETE OBAK,16.32568167,-14.56680167
uuid:48e06561-280a-4f67-99a8-657b26b8677a,4.85E+39,Millet,1,2,300,0.15,PODOR,MBOLO BIRANE,THILOUKI (SARE MAWDE),,
uuid:5433f0ee-c8a5-4738-b1ec-60fa1b2081ae,5.43E+39,Millet,1,2,2000,1,PODOR,MBOLO BIRANE,THILOUKI (SARE MAWDE),,
uuid:8c8e8842-ce56-47a3-88ae-a75b8850881d,8.39E+39,Millet,1,3,1000,0.3333333333,PODOR,MBOLO BIRANE,THILOUKI (SARE MAWDE),,
uuid:c7f91540-f364-48e6-9dc8-649d9580fb2a,3.77E+39,Millet,1,0,400,,MALEM HODDAR,SAGNA,Maka Bella,14.10919,-15.235515
uuid:dc15ae60-613c-4c76-a5c0-794edb37d81c,4.32E+39,Millet,1,1.5,1000,0.6666666667,MEDINA YORO FOULAH,NDORNA,SINTHIANG THERNO SEYDI,13.23180667,-15.07187833
uuid:ed15212d-b460-4db8-9417-65934df243a6,5.42E+39,Millet,1,0,3000,,MALEM HODDAR,SAGNA,Sagna,14.09162667,-15.38428
uuid:b084b38e-9a98-47c7-9843-41de96792925,2.08E+39,Millet,,,,,SEDHIOU,DJIBABOUYA,DIAO SIMACOUNDA,12.684885,-15.96824
uuid:02af83d1-8d49-43e5-ba09-ebb17abd3dc4,2.17E+38,Millet,1,2,875,0.4375,GOUDOMP,SIMBANDI BRASSOU,SAMBOUCOUNDA,12.51315833,-15.50793333
uuid:36fc7161-072a-4e01-b36e-eb8a4544a889,3.66E+39,Millet,1,0.4,90,0.225,BIGNONA,COUBALAN,KOUBANAO,12.66894167,-16.09007833
uuid:569471e0-3416-40f2-aa71-c428fa1810be,5.69E+39,Millet,3,0.15,100,0.6666666667,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.991065,-13.66713833
uuid:f67d36fd-e2d5-4d88-b09e-bda0f8465064,6.67E+39,Millet,1,1,350,0.35,MATAM,AGNAM-CIVOL,AGNAM CIVOL,15.99150167,-13.660145
uuid:8dbb9168-19f1-4779-a790-589713616f45,8.42E+39,Millet,1,1.5,1200,0.8,SEDHIOU,OUDOUCAR,1. MARANDAN 2,12.87634,-15.29785333
uuid:94fc0cbe-fade-4f6b-b5c0-c03f14a2dd18,9.46E+39,Millet,1,0.5,200,0.4,SEDHIOU,SANSAMBA,TAMBANA(DIASSING TAMBANA),12.75846333,-15.77488333
uuid:45824817-823d-4a2b-b048-20798a1951f1,4.58E+39,Millet,1,1,200,0.2,KAFFRINE,KATHIOTE,TAIBA,13.935115,-15.45935667
uuid:15487435-b461-4639-aa6a-ba64e1881a63,1.55E+39,Millet,1,0.5,25,0.05,SEDHIOU,DJIREDJI,BONA LINKETO,12.68548667,-15.80724333
uuid:276e8442-b24f-4416-9100-412d1e00861e,2.77E+39,Millet,1,0.5,50,0.1,SEDHIOU,DJIREDJI,BONA LINKETO,,
uuid:336ffcdb-7e59-473b-aaf4-df96b795ed01,3.37E+39,Millet,1,1,1050,1.05,BOUNKILING,DIAROUME,DIAROUME,,
uuid:cef36f94-8a82-4e50-95fc-2c0f0b52a803,3.56E+39,Millet,1,2,1000,0.5,GOUDOMP,MANGAROUNGOU SANTO,SAMBELCOUNDA ( DJIRBAN),12.51346833,-15.50732667
uuid:3fac41b9-6424-44bf-9995-34daf978f528,3.61E+39,Millet,1,1.5,950,0.6333333333,SEDHIOU,Koussi,Hamdani,12.89068167,-15.59444333
uuid:3f597d6e-7eea-4acf-be13-9d26053ed9ef,3.66E+39,Millet,1,1,250,0.25,BIGNONA,KATABA I,SELETY,13.14498333,-16.57704167
uuid:c717be96-b331-4f2f-9c6a-6f2d814585f4,3.72E+39,Millet,,,,,BIGNONA,TENGHORY,H1 KATOL�,,
uuid:e25591ca-3c2c-43e2-b79f-855d18287eb0,5.26E+39,Millet,1,0.5,200,0.4,SEDHIOU,SANSAMBA,TAMBANA(DIASSING TAMBANA),,
uuid:569471e0-3416-40f2-aa71-c428fa1810be,5.69E+39,Millet,3,0.25,300,1.2,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.991065,-13.66713833
uuid:6b858f4a-2bc2-4937-a8a2-088761a4289b,6.29E+39,Millet,3,1,250,0.25,MATAM,AGNAM-CIVOL,AGNAM GOLY,16.00835167,-13.68971667
uuid:f67d36fd-e2d5-4d88-b09e-bda0f8465064,6.67E+39,Millet,3,1,200,0.2,MATAM,AGNAM-CIVOL,AGNAM CIVOL,15.99150167,-13.660145
uuid:838ba08d-c695-47f6-9af4-c1b4e2d6f9dc,8.38E+39,Millet,1,0.5,300,0.6,SEDHIOU,DJIREDJI,BONA LINKETO,12.686295,-15.80801167
uuid:84df0433-9161-4ca8-9b0e-af1962ff8b52,8.45E+39,Millet,3,0.95,150,0.1578947368,MATAM,AGNAM-CIVOL,AGNAM CIVOL,15.991385,-13.65904167
uuid:84df0433-9161-4ca8-9b0e-af1962ff8b52,8.45E+39,Millet,3,1,150,0.15,MATAM,AGNAM-CIVOL,AGNAM CIVOL,15.991385,-13.65904167
uuid:89d04a5e-e6ec-4fa2-bd41-cfc1033de636,8.94E+39,Millet,1,0.25,200,0.8,OUSSOUYE,DJEMBERING,CAP SKRING,12.38826667,-16.73847333
uuid:9c1fa44c-3f3d-42a2-9b5b-63192ac907cd,9.32E+39,Millet,1,1,150,0.15,SEDHIOU,KOUSSY,NIMZATT,12.88533667,-15.5987
uuid:95384124-dfc1-4349-92f1-017b3711924b,9.54E+39,Millet,1,1,300,0.3,GOUDOMP,KOLIBANTANG,SANDINIEREY,,
uuid:097c5b8e-3d30-4433-9784-66174cc38aa4,9.74E+38,Millet,1,1.5,50,0.03333333333,KOLDA,COUMBACARA,SARE NIYEL,12.76882833,-14.510785
uuid:19618bc8-a888-4d57-9711-66b3f66c83e6,1.96E+39,Millet,1,0.4,600,1.5,BIGNONA,KAFOUNTINE,KAFOUNTINE,12.92356667,-16.73614833
uuid:db0374b8-dc06-4c94-bce0-e928b816f0c2,4.20E+39,Millet,1,2,800,0.4,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99155667,-13.66775167
uuid:d2a39fa3-7281-4e17-91c7-d62e3f74c810,4.21E+39,Millet,1,0.3,400,1.333333333,ZIGUINCHOR,NIAGUIS,DJIFANGHOR,12.57207167,-16.20967
uuid:42422a66-1cc4-4769-a637-1e086bfcf2e3,4.24E+39,Millet,1,7,14000,2,BOUNKILING,TANKON,TANKON,,
uuid:2c444341-4d40-4e16-bb08-e9694d62fc07,2.34E+39,Millet,1,1,2500,2.5,VELINGARA,KANDIAYE,TEMENTO MADIA,12.99191333,-14.07396
uuid:b6c63c5c-558f-4f08-a857-3e7474bda50b,2.64E+39,Millet,1,2,1800,0.9,VELINGARA,KANDIA,SARE YERO META,13.11743667,-14.27708167
uuid:c0454afe-af43-40ab-a1f5-346370952c1e,3.05E+39,Millet,1,0.5,125,0.25,SEDHIOU,DIENDE,DIATOUMA MANDINGUE,,
uuid:cb3cd40b-3ff8-4bdc-8aec-5aef5351ad8d,3.23E+39,Millet,1,2,500,0.25,VELINGARA,PAROUMBA,BODORA,12.73826667,-13.78217333
uuid:66c56a72-41de-4965-8096-4830569b6a44,6.64E+39,Millet,1,1,1020,1.02,MEDINA YORO FOULAH,BADION,SARE YORO BAMBI,13.06306833,-14.401835
uuid:3d9bf46e-dacd-48e6-a2d7-efec6126f4e7,3.49E+39,Millet,1,0.5,135,0.27,SEDHIOU,KOUSSY,NIMZATT,,
uuid:37dd081a-4915-4e44-987d-f637fb52a85c,3.74E+39,Millet,1,2,250,0.125,BOUNKILING,FAOUNE,Touba Mouride,,
uuid:db0374b8-dc06-4c94-bce0-e928b816f0c2,4.20E+39,Millet,1,4,1500,0.375,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99155667,-13.66775167
uuid:05583819-bbbb-48cf-831f-90837030102a,5.58E+38,Millet,1,2.5,150,0.06,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77545833,-13.46824833
uuid:9baa7245-5b5e-4834-8c95-a15b0bf750f5,9.21E+39,Millet,1,1,20,0.02,BIGNONA,SUELLE,SUELLE,12.95186333,-16.27504
uuid:9df2c97f-7e5c-45f2-a670-0b7cc30dd562,9.46E+39,Millet,1,1.5,400,0.2666666667,VELINGARA,PAKOUR,PAKOUR,12.761085,-13.961495
uuid:de4ecdb1-363e-4cb0-9846-59b4d8e10099,4.55E+39,Millet,1,4,1200,0.3,FOUNDIOUGNE,KEUR S.DIANE,KEUR SALOUM DIANE,13.75206167,-16.26647333
uuid:90ef9021-2cf6-4f45-9352-4fa6eff3877c,9.06E+39,Millet,1,1,600,0.6,KAOLACK,NDIEDIENG,KEUR NIENE SERERE,13.97406667,-16.11609
uuid:0bf0b565-e760-43ba-8930-3685c90ccaf2,2.60E+38,Millet,1,5,1000,0.2,FOUNDIOUGNE,NIORO ALASSANE TALL,H1 KEUR ASSANE,13.85128667,-16.31278
uuid:b95f875e-9377-4cee-80f3-a57fd445220e,2.96E+39,Millet,1,1.5,600,0.4,KOUNGHEUL,SALY ESCALE,MEDINA SIWOL,13.91673333,-14.95601667
uuid:3b4aa865-bccb-4d73-8e7d-c2ea88cb8ed4,3.24E+39,Millet,1,2.2,800,0.3636363636,VELINGARA,PAROUMBA,DAHARATOU,12.78958333,-13.877365
uuid:cf806a2e-b23c-4889-b3c6-ac6e83b2f5f0,3.68E+39,Millet,1,1,500,0.5,KOLDA,BAGADADJI,BAGADADJI,12.849595,-14.65289833
uuid:44278b74-16e7-4e7b-aa70-d43e41cb2ed7,4.43E+39,Millet,1,2.2,300,0.1363636364,VELINGARA,PAROUMBA,DAHARATOU,12.78798667,-13.87768
uuid:e0d65d7e-4538-49d6-95a8-56b988380d7f,5.05E+39,Millet,1,1.5,1100,0.7333333333,KAOLACK,NDIAFFATE,DAROU MBITEYENE,13.98589667,-16.13927667
uuid:7e91ba6e-354c-4399-9e5a-4420e31760e6,7.59E+39,Millet,1,1,150,0.15,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77058333,-13.468415
uuid:79af2f04-f1db-4c26-9b2b-50cd66099423,7.92E+39,Millet,1,1,600,0.6,VELINGARA,OUASSADOU,BOYA,12.796095,-14.19584667
uuid:799e41ad-20a7-49e8-8538-b6e54a02dbe6,8.00E+39,Millet,1,2,1200,0.6,BIRKELANE,MBEULEUP,2HAMDALAYE MBEULEUP,13.91574667,-15.56366
uuid:87ef931d-cd53-4d7c-99cd-2dd4be1cf769,8.76E+39,Millet,1,1,6000,6,KAOLACK,THIARE,NDOUNE,13.921595,-15.78229667
uuid:aa07fd13-24eb-42cc-a9e2-e1a5ccf2b549,1.11E+39,Millet,1,0.75,1100,1.466666667,VELINGARA,SINTHIANG KOUNDARA,KENEBA SADIO,13.14765667,-13.924465
uuid:a2ee382f-3f61-4a31-b261-5e45f5b7a785,1.26E+39,Millet,1,1.5,500,0.3333333333,NIORO,NDRAME ESCALE,KEUR MACIR� DIAWARA,13.77745667,-16.14511
uuid:15dea9e7-14d6-4e6a-9501-4aa84fab6a90,1.55E+39,Millet,1,1,60,0.06,BIGNONA,TENGHORY,H1 KATOL�,,
uuid:a750c0b3-df44-498f-aeaf-00d6fa3d2965,1.75E+39,Millet,1,1,875,0.875,VELINGARA,LINKERING,KARAMATOU (KOUNTANG),12.90139833,-13.786775
uuid:19226fe2-457c-4e10-afe1-3ee9c877f16e,1.92E+39,Millet,3,2,250,0.125,KANEL,OURO SIDY,LEWE DAMGA,15.47617,-13.21852667
uuid:26bbaa5b-f140-4e90-9ec2-12bfef230d31,2.62E+39,Millet,1,2,200,0.1,GOUDOMP,YARANG BALANTE,SINA,12.5828361,-15.5695555
uuid:3bc8434e-946a-4dd5-bd7d-6d536c9b3d80,3.24E+39,Millet,1,1,600,0.6,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77333667,-13.46580167
uuid:cde75a45-3455-4173-8704-6540807ed7c6,3.46E+39,Millet,1,0.4,200,0.5,NIORO,DAROU SALAM,YALLE KEUR EL HADJI MALICK,13.86870667,-15.826655
uuid:35326ae7-f9e2-4358-9c87-b4690cafb475,3.53E+39,Millet,1,0.5,80,0.16,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99459,-13.664275
uuid:ce818192-11bd-493c-a82d-52f6b09fc1ff,3.58E+39,Millet,1,3,500,0.1666666667,BIRKELANE,SEGRE GATTA,KEUR ALY MARAM,13.8996761,-15.7696434
uuid:c810dd59-9704-4594-962d-701e05f8a8a9,3.81E+39,Millet,1,2,800,0.4,BOUNKILING,KANDION MANGANA,Bougary Diamalathiel,12.99320667,-15.83152667
uuid:db0374b8-dc06-4c94-bce0-e928b816f0c2,4.20E+39,Millet,1,3,500,0.1666666667,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99155667,-13.66775167
uuid:42d1bbf6-3602-4dc4-b89e-c1d9236f846d,4.24E+39,Millet,1,10,2000,0.2,KOUNGHEUL,GAINTHE PATHE,TOUBA BOWENE,,
uuid:4d15cddb-fcfa-46b7-9039-5119cc6b80c8,4.42E+39,Millet,1,0.3,100,0.3333333333,BIGNONA,KAFOUNTINE,KAFOUNTINE,12.9859,-16.71647833
uuid:0d4d1887-fbd6-48c3-aabc-f39d3addca28,4.44E+38,Millet,1,1,1000,1,VELINGARA,KANDIAYE,SARE YORO GANO,12.99264,-14.07191167
uuid:d567b7bf-d07c-42b5-9971-6de1d3b96e57,4.57E+39,Millet,1,5,2000,0.4,KAOLACK,NDIEDIENG,MBOUDAYE SERERE,13.93102333,-16.18018
uuid:489914db-0dc3-44d7-8209-993b6aa1de81,4.90E+39,Millet,1,0.5,180,0.36,MEDINA YORO FOULAH,KEREWANE,A�NOUMANE,13.40463833,-14.874025
uuid:496ee236-44fa-43d5-b365-ce6d02459066,4.97E+39,Millet,1,1.5,500,0.3333333333,KOUNGHEUL,GAINTHE PATHE,LOUMBOL,,
uuid:e1826e63-19fa-490b-9bab-c1b1164a9762,5.18E+39,Millet,1,0.01,50,5,GOUDOMP,KOLIBANTANG,KERERE,12.71381833,-15.51799667
uuid:ec3234e1-1a6b-45c9-81c1-d7a365d783f7,5.33E+39,Millet,1,1.25,175,0.14,KOLDA,GUIRO YERO BOCAR,TEMENTO SAMBA BAMBOUA,,
uuid:e3fef7d6-9d77-4b7f-ae1b-0abd6abe4d12,5.37E+39,Millet,1,1.5,300,0.2,KOUNGHEUL,SALY ESCALE,KOUCOTO (BOUSTANE),13.918905,-14.97811167
uuid:5e0582bb-6348-45ba-98f1-14c7497603de,5.51E+39,Millet,1,0.5,200,0.4,VELINGARA,PAROUMBA,DAHARATOU,12.79084333,-13.87792833
uuid:ef70944b-5c57-46fb-a8d5-7f8b0ed2612e,5.67E+39,Millet,1,2,700,0.35,NIORO,NDRAME ESCALE,KEUR MACIR� DIAWARA,13.77608833,-16.14687167
uuid:57b38564-532c-46e6-b191-6064d535e030,5.72E+39,Millet,1,1,700,0.7,KAFFRINE,DIAMAGADIO,MEODIAWENE,13.79043167,-15.42145667
uuid:e968e305-2084-44a2-8d39-a95573eda918,5.97E+39,Millet,3,7,150,0.02142857143,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99186333,-13.66519667
uuid:64b36444-5879-4185-919f-070a393b4b34,6.42E+39,Millet,3,0.15,100,0.6666666667,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,,
uuid:6db88072-6f64-4f58-97a0-d0488565c604,6.43E+39,Millet,1,0.4,100,0.25,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,12.74703167,-16.04898167
uuid:6e7dfd2d-c84e-459a-9190-c8c517b6614f,6.57E+39,Millet,1,1,525,0.525,BIRKELANE,MBEULEUP,2HAMDALAYE MBEULEUP,13.91704,-15.562005
uuid:f9a6d131-93c9-4cfc-8ef6-e2adebef7d9c,6.92E+39,Millet,2,0.3,100,0.3333333333,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99382333,-13.66244333
