KEY,ID_menage,crops_cult4,season_cult4,Area_cult4 (ha),QuantityProduced_cult4 (kg),Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:7b3655de-4530-4427-9b07-82ca55b8fa09,7.24E+39,Millet,1,3,2700,0.9,KOUNGHEUL,MISSIRAH WADENE,THISSE,14.09392167,-15.08329
uuid:80554fec-5e40-4f34-bccf-7286796f0fac,8.06E+39,Millet,1,0,525,,VELINGARA,MEDINA GOUNASS,MEDINA GOUNASS,13.13711167,-13.76303333
uuid:8a388b00-96d3-4e4e-86fe-080b5f362894,8.14E+39,Millet,1,1,1100,1.1,VELINGARA,PAROUMBA,PATIM COUTA,12.74265333,-13.76383667
uuid:8de06fd4-dde3-43ca-bfe6-ef4a01b16bdc,8.45E+39,Millet,1,0.75,500,0.6666666667,MEDINA YORO FOULAH,BADION,VELIN GARA DIOUHE,13.06692667,-14.40032167
uuid:86edbef3-f7b9-4a6c-b04f-5d0d5b6554a9,8.65E+39,Millet,1,2,300,0.15,BIRKELANE,N�DIOGNICK,KEUR MODOU WILANE,14.0098288,-15.4839723
uuid:89937e1f-4f11-45e9-9a58-354acac0ff4d,8.99E+39,Millet,3,0.5,300,0.6,SEDHIOU,DJIBABOUYA,DIAO SIMACOUNDA,,
uuid:9baa7245-5b5e-4834-8c95-a15b0bf750f5,9.21E+39,Millet,1,1,30,0.03,BIGNONA,SUELLE,SUELLE,12.95186333,-16.27504
uuid:e0041723-210a-41b0-b491-91566a605e6b,5.00E+39,Millet,1,1,700,0.7,NIORO,GAINTE KAYE,NDIAWARA AL KALY,13.786825,-16.01455333
uuid:786e839c-29fd-4211-8f29-c7ab504acc27,7.87E+39,Millet,1,1,900,0.9,NIORO,GAINTE KAYE,FAOUROU PEULH,13.86200833,-15.91524333
uuid:1c9297ee-be1c-4660-a0cd-65e66f681735,1.39E+39,Millet,1,0,800,,BIRKELANE,MABO,NDIORAL DIA MBAYE,13.82490833,-15.640365
uuid:4cc40b43-6738-4a28-a869-9cd92533825a,4.33E+39,Millet,1,2,3000,1.5,KAOLACK,NDIEDIENG,MBOUDAYE SERERE,13.92997667,-16.1813
uuid:46884f9b-0faf-48dd-981f-9f3f6aee621e,4.69E+39,Millet,1,1,500,0.5,MEDINA YORO FOULAH,DINGUIRAYE,SINTHIANG BABOU DEME ( TAW KALTOU),13.190735,-14.55772667
uuid:ea49f12c-e1d0-48e9-89b0-f35959a93e32,5.15E+39,Millet,1,2,700,0.35,NIORO,KEUR MABA DIAKHOU,NDRAM� NDIMB,13.604235,-15.963255
uuid:ef158c9e-ecbf-458d-940b-397f335ad6f0,5.62E+39,Millet,1,1,300,0.3,GOUDOMP,YARANG BALANTE,SINA,12.542995,-15.60551667
uuid:e8e4780e-7bda-41c7-84ae-9db64fdc3e3e,5.85E+39,Millet,1,2,2000,1,BIRKELANE,MBEULEUP,2HAMDALAYE MBEULEUP,13.91732667,-15.563065
uuid:590d95a2-2ebe-4cf8-a092-b2ce6f35a178,5.90E+39,Millet,1,2,800,0.4,NIORO,WACK NGOUNA,WACK NGOUNA,13.75856667,-16.06388167
uuid:6bd0f002-0bda-46c8-9936-70d7105ec954,6.24E+39,Millet,1,1,100,0.1,BIGNONA,OULAMPANE,Oulampane,12.96249,-15.98374
uuid:6ecd387d-28ba-4d86-827d-4e6527ff2053,6.53E+39,Millet,1,3,1000,0.3333333333,MEDINA YORO FOULAH,NIAMING,TOUBA MBAYENE (KEUR SEYNI),13.35787667,-14.756715
uuid:000be421-3444-486e-8d1c-23514be2cbde,2.54E+36,Millet,1,0.8,5,0.00625,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,12.74920333,-16.04972
uuid:b981d8f5-15d3-49ef-99ba-eec182289870,2.98E+39,Millet,1,0.2,30,0.15,BIGNONA,KATABA I,KABADIO,13.04710833,-16.70333
uuid:09b1a35c-c2b0-4b28-bc79-3b5ea0f8faac,9.21E+38,Millet,1,2,2500,1.25,MEDINA YORO FOULAH,FAFACOUROU,PADIALA SINTHIANG,13.13447,-14.54857333
uuid:a216ef53-7271-4f25-8488-8296d9f64c3f,1.22E+39,Millet,1,1,200,0.2,SEDHIOU,KOUSSY,NIMZATT,12.88480333,-15.59912333
uuid:a2ef6c60-beac-4435-adf3-9446abb192e1,1.26E+39,Millet,1,2,1050,0.525,BIRKELANE,MBEULEUP,3NDIOBENE GOUYE(ALLA GAWRY),13.92188667,-15.58923333
uuid:a405f773-df91-42b6-aaca-9b8964eaa951,1.41E+39,Millet,1,1.5,350,0.2333333333,GOUDOMP,DIOUBOUDOU,BAMBALI BRASSOU,,
uuid:a605e906-6888-41fb-95e9-56684801d5b9,1.61E+39,Millet,1,3,1200,0.4,KOUNGHEUL,GAINTHE PATHE,YASSI,,
uuid:17aa035b-e937-41a0-99f3-441f6bb4c482,1.71E+39,Millet,1,0.5,300,0.6,BIGNONA,DJINAKI,Kabiline,12.95082,-16.52140833
uuid:20c12693-979c-4331-b40d-2017b8eaee09,2.03E+39,Millet,1,3,1200,0.4,KAFFRINE,DIAMAGADIO,MEODIAWENE,13.78936,-15.42250333
uuid:242096ab-621c-48db-8971-ad08644f222d,2.42E+39,Millet,1,1.5,1000,0.6666666667,NIORO,K. MANDONGO,TA�BA MBAY�NE,13.83885167,-16.12020167
uuid:b622fb8a-2065-4592-ab9f-575fb3e7f351,2.62E+39,Millet,1,1,300,0.3,BIGNONA,TENGHORY,FRANCOUNDA,12.83641833,-16.18399833
uuid:3a484fd8-61e2-43dc-b910-27d72c137f66,3.15E+39,Millet,1,1,150,0.15,BIGNONA,KATABA I,SELETY,13.14666667,-16.57721333
uuid:c1fce304-32dd-46ec-95f8-ccf9c21e1539,3.16E+39,Millet,1,1,1100,1.1,NIORO,DAROU SALAM,KEUR CHEIKHOU OUMAR,13.86916833,-15.848945
uuid:c37e791a-161b-4719-8b32-295b5e8c21df,3.38E+39,Millet,1,1,350,0.35,NIORO,GAINTE KAYE,FAOUROU PEULH,13.86323333,-15.91597833
uuid:cc9d7462-74ee-4b27-9078-aa49d75273c2,3.39E+39,Millet,1,1,200,0.2,BIGNONA,KAFOUNTINE,KAFOUNTINE,12.9259826,-16.7391087
uuid:3535e492-9642-4478-a453-8516a1689de4,3.54E+39,Millet,1,0.5,500,1,BIGNONA,DJINAKI,Kabiline,12.95190833,-16.52092
uuid:4a2148f5-3592-4fb8-8004-f8805689cf66,4.12E+39,Millet,1,1,150,0.15,BIGNONA,OULAMPANE,Oulampane,,
uuid:d1fc55e6-6540-4092-8ff9-a7e9122bb139,4.16E+39,Millet,1,1,250,0.25,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77537333,-13.467205
uuid:4178da42-c5fb-411b-a6f3-558bd67e098e,4.18E+39,Millet,1,1,1000,1,BIRKELANE,N�DIOGNICK,SEGRE BAMBARA,14.04020833,-15.749855
uuid:e0afcde2-632f-41a2-a046-59383b89c6d4,5.02E+39,Millet,1,3,3000,1,NIORO,K. MANDONGO,TA�BA MBAY�NE,13.83849333,-16.118925
uuid:e32517c2-a31f-46ad-a39a-598d84ae4cbb,5.33E+39,Millet,1,5,3000,0.6,KAOLACK,THIARE,MAKA FASS,13.98900833,-15.83844167
uuid:e5ad59b9-ca15-49ca-ab7d-f0a9aaa4b016,5.51E+39,Millet,1,1.5,1100,0.7333333333,BIRKELANE,MBEULEUP,1LONKANE MBEULEUP(LONKANE MATH),13.92622,-15.565
uuid:e9624ab4-1f9d-48b0-b857-ed3b104cf803,5.96E+39,Millet,1,6,4000,0.6666666667,KAOLACK,LATMINGUE,THIALANE,,
uuid:62a691e8-6521-4ff1-a92d-66f2cb70270c,6.22E+39,Millet,1,1.5,300,0.2,NIORO,GAINTE KAYE,FAOUROU SERERE,13.85891,-15.91505667
uuid:6b4ff8e7-4b71-43f4-9ec0-0e7885b40b26,6.25E+39,Millet,1,1,150,0.15,KOLDA,SARE BIDJI,BOGUEL,12.81494667,-15.08336333
uuid:f6e3bf74-a6e7-4032-91d4-700ec2df9d8f,6.65E+39,Millet,1,4,1100,0.275,KOUNGHEUL,MISSIRAH WADENE,THISSE,14.09499667,-15.08244
uuid:66f2a3c6-5e78-49b8-92a4-cc57510fcb58,6.66E+39,Millet,1,2,600,0.3,KOUNGHEUL,GAINTHE PATHE,YASSI,,
uuid:f9999e51-5e15-427b-a586-5eb67d8434c0,7.00E+39,Millet,1,5,3500,0.7,MEDINA YORO FOULAH,NIAMING,TOUBA MBAYENE (KEUR SEYNI),,
uuid:82861885-f0b2-4a26-9da1-076304aabd87,8.29E+39,Millet,1,2,2800,1.4,NIORO,GAINTE KAYE,FAOUROU SERERE,13.85289,-15.91365833
uuid:943649e6-bbec-4a7e-976a-21ca1af75630,9.44E+39,Millet,1,1,700,0.7,KOUNGHEUL,SALY ESCALE,KOUCOTO (BOUSTANE),13.91953667,-14.978145
uuid:98055d9c-7462-46e9-a27f-0824167ec3f6,9.81E+39,Millet,1,5,102,0.0204,VELINGARA,KANDIAYE,SARE YORO GANO,12.99259833,-14.07210333
uuid:aa1f1573-4025-49e8-9be5-fd3f3f62c74b,1.12E+39,Millet,1,0.75,250,0.3333333333,VELINGARA,SINTHIANG KOUNDARA,MEDINA AFIA,13.41007333,-13.77047167
uuid:a124b13f-fff9-4516-a9be-4e0881c3d638,1.12E+39,Millet,1,2,1500,0.75,BIRKELANE,N�DIOGNICK,KEUR MODOU WILANE,14.0098288,-15.4839723
uuid:a1303d2c-d036-4bea-99dc-ea485da0d6c9,1.13E+39,Millet,1,1,1100,1.1,NIORO,DAROU SALAM,KEUR CHEIKHOU OUMAR,13.87017833,-15.85102333
uuid:a1420cee-8e13-4663-a85d-112de9beb503,1.14E+39,Millet,1,1,400,0.4,BIRKELANE,SEGRE GATTA,KEUR ALY MARAM,13.8996761,-15.7696434
uuid:a1ea5c23-5a61-4237-8804-aebf4a5f0ace,1.15E+39,Millet,1,5,2000,0.4,BIRKELANE,DIAMAL,KELEL MOFEL,14.1271573,-15.7526975
uuid:a216ef53-7271-4f25-8488-8296d9f64c3f,1.22E+39,Millet,1,1,250,0.25,SEDHIOU,KOUSSY,NIMZATT,12.88480333,-15.59912333
uuid:a216ef53-7271-4f25-8488-8296d9f64c3f,1.22E+39,Millet,1,1,250,0.25,SEDHIOU,KOUSSY,NIMZATT,12.88480333,-15.59912333
uuid:1231b8c6-4bb1-487f-a7cb-4421d4187c23,1.23E+39,Millet,1,1,300,0.3,BIGNONA,SUELLE,SUELLE,12.95298333,-16.277755
uuid:1b955a73-465f-4561-9768-90ed308f96c8,1.30E+39,Millet,1,1,300,0.3,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.775315,-13.46529333
uuid:a3c7eb15-ec38-4cb3-acfa-5cdabad97326,1.34E+39,Millet,1,1,80,0.08,BIGNONA,KATABA I,KABADIO,13.04656,-16.70349333
uuid:acec8177-ce72-43ee-8af7-007c9181e2b0,1.35E+39,Millet,1,1,115,0.115,BIGNONA,OULAMPANE,Oulampane,12.959365,-15.99439667
uuid:13595610-0790-4355-ac72-075a7720867c,1.36E+39,Millet,1,1,300,0.3,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,,
uuid:136a3e7d-8da3-4fc7-ad51-2cd338b9e41d,1.36E+39,Millet,1,3,3000,1,NIORO,NDRAME ESCALE,NDIOFFORY,13.79433167,-16.148145
