Year,Month Average,Temperature - (Celsius)
2009,Mar Average,27.0794
2009,Apr Average,26.8432
2009,May Average,25.418
2009,Jun Average,24.6483
2009,Jul Average,23.8074
2009,Aug Average,24.7409
2009,Sep Average,25.2241
2009,Oct Average,25.6667
2009,Nov Average,25.5432
2009,Dec Average,26.582
2010,Jan Average,26.2326
2010,Feb Average,26.4022
2010,Mar Average,27.0585
2010,Apr Average,26.7494
2010,May Average,25.2216
2010,Jun Average,24.1788
2010,Jul Average,23.5993
2010,Aug Average,24.1275
2010,Sep Average,24.7352
2010,Oct Average,25.7465
2010,Nov Average,25.2708
2010,Dec Average,25.984
2011,Jan Average,26.1305
2011,Feb Average,26.0875
2011,Mar Average,26.8969
2011,Apr Average,27.0179
2011,May Average,25.8316
2011,Jun Average,24.4374
2011,Jul Average,23.8652
2011,Aug Average,23.9092
2011,Sep Average,24.8131
2011,Oct Average,24.8914
2011,Nov Average,24.9862
2011,Dec Average,25.0738
2012,Jan Average,24.9748
2012,Feb Average,25.9048
2012,Mar Average,27.5007
2012,Apr Average,26.1119
2012,May Average,25.5211
2012,Jun Average,24.1384
2012,Jul Average,23.423
2012,Aug Average,24.3426
2012,Sep Average,25.22
2012,Oct Average,25.7267
2012,Nov Average,25.4841
2012,Dec Average,24.5937
2013,Jan Average,25.5601
2013,Feb Average,26.66
2013,Mar Average,27.1454
2013,Apr Average,25.0039
2013,May Average,25.5921
2013,Jun Average,23.2803
2013,Jul Average,23.7706
2013,Aug Average,23.5732
2013,Sep Average,25.195
2013,Oct Average,25.2564
2013,Nov Average,25.812
2013,Dec Average,25.3371
2014,Jan Average,25.6409
2014,Feb Average,26.6889
2014,Mar Average,26.8922
2014,Apr Average,25.4701
2014,May Average,25.6096
2014,Jun Average,25.0937
2014,Jul Average,24.5677
2014,Aug Average,23.8324
2014,Sep Average,24.8383
2014,Oct Average,25.4047
2014,Nov Average,25.4512
2014,Dec Average,25.4477
2015,Jan Average,25.0435
2015,Feb Average,26.386
2015,Mar Average,26.5572
2015,Apr Average,26.0706
2015,May Average,25.0663
2015,Jun Average,24.5884
2015,Jul Average,24.4622
2015,Aug Average,24.3538
2015,Sep Average,25.425
2015,Oct Average,26.9733
2015,Nov Average,25.2908
2015,Dec Average,26.2345
2016,Jan Average,27.0367
2016,Feb Average,27.5964
2016,Mar Average,27.7507
2016,Apr Average,26.9416
2016,May Average,25.3344
2016,Jun Average,24.2913
2016,Jul Average,24.256
2016,Aug Average,24.0942
2016,Sep Average,24.437
2016,Oct Average,26.0317
2016,Nov Average,25.5692
2016,Dec Average,25.7401
