Year,Month Average,Temperature - (Celsius)
1991,Jan Average,25.1631
1991,Feb Average,26.0839
1991,Mar Average,26.2236
1991,Apr Average,25.5812
1991,May Average,24.6618
1991,Jun Average,23.9439
1991,Jul Average,22.9982
1991,Aug Average,23.0391
1991,Sep Average,23.9423
1991,Oct Average,25.5236
1991,Nov Average,24.5875
1991,Dec Average,24.7398
1992,Jan Average,24.4359
1992,Feb Average,26.2892
1992,Mar Average,26.5409
1992,Apr Average,26.0819
1992,May Average,24.7852
1992,Jun Average,24.0563
1992,Jul Average,22.8377
1992,Aug Average,22.7902
1992,Sep Average,23.8958
1992,Oct Average,24.7925
1992,Nov Average,24.4195
1992,Dec Average,24.4344
1993,Jan Average,24.2897
1993,Feb Average,25.0506
1993,Mar Average,25.7925
1993,Apr Average,25.9763
1993,May Average,24.9779
1993,Jun Average,23.7715
1993,Jul Average,22.8375
1993,Aug Average,23.5543
1993,Sep Average,23.8431
1993,Oct Average,24.2092
1993,Nov Average,25.2338
1993,Dec Average,24.5048
1994,Jan Average,24.6522
1994,Feb Average,25.9058
1994,Mar Average,25.7528
1994,Apr Average,25.6103
1994,May Average,24.6294
1994,Jun Average,23.7561
1994,Jul Average,22.8275
1994,Aug Average,23.5708
1994,Sep Average,24.1753
1994,Oct Average,25.222
1994,Nov Average,24.1713
1994,Dec Average,24.3497
1995,Jan Average,24.9216
1995,Feb Average,25.9945
1995,Mar Average,26.1929
1995,Apr Average,26.0064
1995,May Average,24.8333
1995,Jun Average,24.1121
1995,Jul Average,23.2944
1995,Aug Average,23.6887
1995,Sep Average,24.3098
1995,Oct Average,25.3407
1995,Nov Average,25.0667
1995,Dec Average,25.0193
1996,Jan Average,25.7146
1996,Feb Average,26.4811
1996,Mar Average,26.5805
1996,Apr Average,25.7333
1996,May Average,24.6923
1996,Jun Average,23.7897
1996,Jul Average,23.1185
1996,Aug Average,23.2079
1996,Sep Average,24.014
1996,Oct Average,24.8826
1996,Nov Average,24.6425
1996,Dec Average,24.9152
1997,Jan Average,25.5562
1997,Feb Average,25.9044
1997,Mar Average,26.1192
1997,Apr Average,25.2267
1997,May Average,24.7565
1997,Jun Average,23.8643
1997,Jul Average,23.3821
1997,Aug Average,23.5251
1997,Sep Average,24.9931
1997,Oct Average,25.0558
1997,Nov Average,24.4959
1997,Dec Average,24.6103
1998,Jan Average,25.613
1998,Feb Average,26.3175
1998,Mar Average,26.7041
1998,Apr Average,25.8261
1998,May Average,24.5654
1998,Jun Average,24.1029
1998,Jul Average,23.3852
1998,Aug Average,23.313
1998,Sep Average,24.3268
1998,Oct Average,25.8522
1998,Nov Average,24.8346
1998,Dec Average,24.7358
1999,Jan Average,25.5838
1999,Feb Average,26.7698
1999,Mar Average,26.7005
1999,Apr Average,25.8207
1999,May Average,25.3357
1999,Jun Average,23.9813
1999,Jul Average,23.1006
1999,Aug Average,23.2923
1999,Sep Average,24.4701
1999,Oct Average,24.4443
1999,Nov Average,24.4406
1999,Dec Average,24.4371
2000,Jan Average,24.5514
2000,Feb Average,25.5136
2000,Mar Average,26.5248
2000,Apr Average,26.3236
2000,May Average,25.2045
2000,Jun Average,23.5084
2000,Jul Average,24.1301
2000,Aug Average,24.0395
2000,Sep Average,24.0184
2000,Oct Average,24.5562
2000,Nov Average,25.8349
2000,Dec Average,24.6516
2001,Jan Average,25.6423
2001,Feb Average,26.8772
2001,Mar Average,27.1555
2001,Apr Average,25.7671
2001,May Average,24.9937
2001,Jun Average,23.4213
2001,Jul Average,23.153
2001,Aug Average,23.4107
2001,Sep Average,24.7741
2001,Oct Average,25.855
2001,Nov Average,24.8915
2001,Dec Average,25.2077
2002,Jan Average,25.5658
2002,Feb Average,26.4501
2002,Mar Average,27.0802
2002,Apr Average,26.4038
2002,May Average,25.7182
2002,Jun Average,24.4419
2002,Jul Average,23.7321
2002,Aug Average,24.5022
2002,Sep Average,25.0192
2002,Oct Average,25.6157
2002,Nov Average,25.5577
2002,Dec Average,25.6499
2003,Jan Average,25.9206
2003,Feb Average,26.2382
2003,Mar Average,27.1914
2003,Apr Average,27.0047
2003,May Average,25.8128
2003,Jun Average,24.411
2003,Jul Average,23.8584
2003,Aug Average,23.9016
2003,Sep Average,24.5353
2003,Oct Average,25.4204
2003,Nov Average,25.3879
2003,Dec Average,25.77
2004,Jan Average,26.3393
2004,Feb Average,26.9267
2004,Mar Average,26.6257
2004,Apr Average,25.8352
2004,May Average,25.6915
2004,Jun Average,24.6079
2004,Jul Average,23.7949
2004,Aug Average,24.5243
2004,Sep Average,24.4596
2004,Oct Average,24.4763
2004,Nov Average,25.1573
2004,Dec Average,25.3106
2005,Jan Average,24.8122
2005,Feb Average,27.1921
2005,Mar Average,27.4049
2005,Apr Average,26.7171
2005,May Average,25.1366
2005,Jun Average,24.1579
2005,Jul Average,23.5231
2005,Aug Average,23.9151
2005,Sep Average,25.2023
2005,Oct Average,25.1685
2005,Nov Average,25.3178
2005,Dec Average,25.4102
2006,Jan Average,26.012
2006,Feb Average,26.9355
2006,Mar Average,27.0357
2006,Apr Average,25.8867
2006,May Average,24.986
2006,Jun Average,24.4074
2006,Jul Average,23.548
2006,Aug Average,24.2949
2006,Sep Average,24.1269
2006,Oct Average,25.8045
2006,Nov Average,25.1589
2006,Dec Average,24.8899
2007,Jan Average,25.5855
2007,Feb Average,26.4363
2007,Mar Average,26.6092
2007,Apr Average,26.0444
2007,May Average,25.5509
2007,Jun Average,23.7128
2007,Jul Average,22.7807
2007,Aug Average,23.6905
2007,Sep Average,24.7334
2007,Oct Average,25.5032
2007,Nov Average,24.8829
2007,Dec Average,25.1843
2008,Jan Average,25.9522
2008,Feb Average,26.0127
2008,Mar Average,26.2269
2008,Apr Average,25.4593
2008,May Average,24.5696
2008,Jun Average,23.5775
2008,Jul Average,23.2604
2008,Aug Average,24.4005
2008,Sep Average,25.4872
2008,Oct Average,25.3388
2008,Nov Average,24.499
2008,Dec Average,24.8051
2009,Jan Average,25.6666
2009,Feb Average,26.1369
